name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
SHANGLA,SHANGLA,DISTRICT,OVERALL,125540,85344,67298,58242,79473,2390,4133,,171,39373
SHANGLA,SHANGLA,DISTRICT,RURAL,125540,85344,67298,58242,79473,2390,4133,,171,39373
SHANGLA,SHANGLA,DISTRICT,URBAN,,,,,,,,,,
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,178636,83065,57909,120727,36926,25023,26027,2,359,90299
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,178636,83065,57909,120727,36926,25023,26027,2,359,90299
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,,,,,,,,,,
SWABI,SWABI,DISTRICT,OVERALL,278976,262696,234194,44782,35486,195571,36050,172,63,11634
SWABI,SWABI,DISTRICT,RURAL,229655,214636,191612,38043,28638,158807,31618,6,55,10531
SWABI,SWABI,DISTRICT,URBAN,49321,48060,42582,6739,6848,36764,4432,166,8,1103
SWAT,SWAT,DISTRICT,OVERALL,381212,304345,225946,155266,198611,51921,55356,101,217,75006
SWAT,SWAT,DISTRICT,RURAL,263159,191801,131143,132016,124102,30400,38612,100,143,69802
SWAT,SWAT,DISTRICT,URBAN,118053,112544,94803,23250,74509,21521,16744,1,74,5204
TANK,TANK,DISTRICT,OVERALL,70563,54317,34616,35947,23543,23721,4031,44,21,19203
TANK,TANK,DISTRICT,RURAL,63302,47358,30934,32368,18939,22449,3999,14,21,17880
TANK,TANK,DISTRICT,URBAN,7261,6959,3682,3579,4604,1272,32,30,,1323
TORGHAR,TORGHAR,DISTRICT,OVERALL,29410,20065,7759,21651,19527,274,428,,131,9050
TORGHAR,TORGHAR,DISTRICT,RURAL,29410,20065,7759,21651,19527,274,428,,131,9050
TORGHAR,TORGHAR,DISTRICT,URBAN,,,,,,,,,,
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,26365,19090,7524,18841,18520,221,371,,3,7250
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,26365,19090,7524,18841,18520,221,371,,3,7250
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,,,,,,,,,,
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,149536,71885,42534,107002,62020,5899,4134,4,139,77340
UPPER DIR,UPPER DIR,DISTRICT,RURAL,142928,68946,40673,102255,59653,5574,3886,4,139,73672
UPPER DIR,UPPER DIR,DISTRICT,URBAN,6608,2939,1861,4747,2367,325,248,,,3668
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,63712,16621,14647,49065,16098,329,363,19,44,46859
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,63712,16621,14647,49065,16098,329,363,19,44,46859
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
