name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BAHAWALNAGAR,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,4,2,,4,2,,0,0,
BAHAWALNAGAR,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,978,274,,748,223,,230,51,
BAHAWALNAGAR,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,17,8,0,12,6,0,5,2,0
BAHAWALNAGAR,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,606,1088,0,459,844,0,147,244,0
BAHAWALNAGAR,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,7046,8387,0,4947,6069,0,2099,2318,0
BAHAWALNAGAR,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,6,3,0,6,2,0,0,1,0
BAHAWALNAGAR,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,12,10,0,10,8,0,2,2,0
BAHAWALNAGAR,DISTRICT,HEAD,DIVORCED,1061,1642,0,619,1148,0,442,494,0
BAHAWALNAGAR,DISTRICT,HEAD,MARRIED,11219,495642,0,7033,360083,0,4186,135559,0
BAHAWALNAGAR,DISTRICT,HEAD,NEVER MARRIED,494,17143,96,302,11878,25,192,5265,71
BAHAWALNAGAR,DISTRICT,HEAD,SEPARATION,375,908,0,249,689,0,126,219,0
BAHAWALNAGAR,DISTRICT,HEAD,WIDOWED,13248,15798,0,7965,11233,0,5283,4565,0
BAHAWALNAGAR,DISTRICT,NEPHEW/NIECE,DIVORCED,53,31,0,40,21,0,13,10,0
BAHAWALNAGAR,DISTRICT,NEPHEW/NIECE,MARRIED,774,2093,0,617,1647,0,157,446,0
BAHAWALNAGAR,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,5607,7043,3,4060,5113,1,1547,1930,2
BAHAWALNAGAR,DISTRICT,NEPHEW/NIECE,SEPARATION,18,13,0,16,11,0,2,2,0
BAHAWALNAGAR,DISTRICT,NEPHEW/NIECE,WIDOWED,36,30,0,30,26,0,6,4,0
