name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,TOTAL,182275,96706,85566,3,31257,100
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,REGULAR,166418,88165,78250,3,28892,99.98
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,INSTITUTIONAL,50,39,11,,4,.01
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,HOMELESS,2,1,1,,1,0
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,TOTAL,166470,88205,78262,3,28897,100
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,REGULAR,15805,8501,7304,,2360,100
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,HOMELESS,,,,,,0
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,TOTAL,15805,8501,7304,,2360,100
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,REGULAR,563150,287796,275336,18,87526,99.98
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,INSTITUTIONAL,,,,,,0
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,HOMELESS,165,106,59,,14,.02
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,TOTAL,563315,287902,275395,18,87540,100
NASIRABAD,NASIRABAD,DISTRICT,RURAL,REGULAR,456321,234450,221855,16,73253,99.98999999999999
NASIRABAD,NASIRABAD,DISTRICT,RURAL,INSTITUTIONAL,,,,,,0
NASIRABAD,NASIRABAD,DISTRICT,RURAL,HOMELESS,42,20,22,,9,.01
NASIRABAD,NASIRABAD,DISTRICT,RURAL,TOTAL,456363,234470,221877,16,73262,100
NASIRABAD,NASIRABAD,DISTRICT,URBAN,REGULAR,106829,53346,53481,2,14273,99.95999999999999
NASIRABAD,NASIRABAD,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
NASIRABAD,NASIRABAD,DISTRICT,URBAN,HOMELESS,123,86,37,,5,.04
NASIRABAD,NASIRABAD,DISTRICT,URBAN,TOTAL,106952,53432,53518,2,14278,100
NUSHKI,NUSHKI,DISTRICT,OVERALL,REGULAR,207128,107917,99206,5,31255,99.95999999999999
NUSHKI,NUSHKI,DISTRICT,OVERALL,INSTITUTIONAL,44,32,12,,10,.03
NUSHKI,NUSHKI,DISTRICT,OVERALL,HOMELESS,28,18,10,,3,.01
NUSHKI,NUSHKI,DISTRICT,OVERALL,TOTAL,207200,107967,99228,5,31268,100
NUSHKI,NUSHKI,DISTRICT,RURAL,REGULAR,159045,82686,76355,4,23995,99.95999999999999
NUSHKI,NUSHKI,DISTRICT,RURAL,INSTITUTIONAL,23,17,6,,6,.02
NUSHKI,NUSHKI,DISTRICT,RURAL,HOMELESS,28,18,10,,3,.01
NUSHKI,NUSHKI,DISTRICT,RURAL,TOTAL,159096,82721,76371,4,24004,100
NUSHKI,NUSHKI,DISTRICT,URBAN,REGULAR,48083,25231,22851,1,7260,99.94
NUSHKI,NUSHKI,DISTRICT,URBAN,INSTITUTIONAL,21,15,6,,4,.06
NUSHKI,NUSHKI,DISTRICT,URBAN,HOMELESS,,,,,,0
NUSHKI,NUSHKI,DISTRICT,URBAN,TOTAL,48104,25246,22857,1,7264,100
PANJGUR,PANJGUR,DISTRICT,OVERALL,REGULAR,509553,269234,240224,95,117089,99.94
PANJGUR,PANJGUR,DISTRICT,OVERALL,INSTITUTIONAL,157,92,65,,41,.03
PANJGUR,PANJGUR,DISTRICT,OVERALL,HOMELESS,71,46,25,,27,.02
PANJGUR,PANJGUR,DISTRICT,OVERALL,TOTAL,509781,269372,240314,95,117157,100
PANJGUR,PANJGUR,DISTRICT,RURAL,REGULAR,351941,184479,167430,32,87916,99.94
PANJGUR,PANJGUR,DISTRICT,RURAL,INSTITUTIONAL,88,45,43,,30,.03
PANJGUR,PANJGUR,DISTRICT,RURAL,HOMELESS,59,38,21,,22,.03
PANJGUR,PANJGUR,DISTRICT,RURAL,TOTAL,352088,184562,167494,32,87968,100
PANJGUR,PANJGUR,DISTRICT,URBAN,REGULAR,157612,84755,72794,63,29173,99.95
PANJGUR,PANJGUR,DISTRICT,URBAN,INSTITUTIONAL,69,47,22,,11,.04
PANJGUR,PANJGUR,DISTRICT,URBAN,HOMELESS,12,8,4,,5,.02
PANJGUR,PANJGUR,DISTRICT,URBAN,TOTAL,157693,84810,72820,63,29189,100
PISHIN,PISHIN,DISTRICT,OVERALL,REGULAR,834422,425678,408721,23,147186,99.95999999999999
PISHIN,PISHIN,DISTRICT,OVERALL,INSTITUTIONAL,864,805,59,,35,.02
PISHIN,PISHIN,DISTRICT,OVERALL,HOMELESS,196,114,82,,20,.01
PISHIN,PISHIN,DISTRICT,OVERALL,TOTAL,835482,426597,408862,23,147241,100
PISHIN,PISHIN,DISTRICT,RURAL,REGULAR,590701,301486,289200,15,105247,99.95999999999999
PISHIN,PISHIN,DISTRICT,RURAL,INSTITUTIONAL,816,763,53,,28,.03
PISHIN,PISHIN,DISTRICT,RURAL,HOMELESS,180,105,75,,17,.02
PISHIN,PISHIN,DISTRICT,RURAL,TOTAL,591697,302354,289328,15,105292,100
PISHIN,PISHIN,DISTRICT,URBAN,REGULAR,243721,124192,119521,8,41939,99.98
PISHIN,PISHIN,DISTRICT,URBAN,INSTITUTIONAL,48,42,6,,7,.02
PISHIN,PISHIN,DISTRICT,URBAN,HOMELESS,16,9,7,,3,.01
PISHIN,PISHIN,DISTRICT,URBAN,TOTAL,243785,124243,119534,8,41949,100
QUETTA,QUETTA,DISTRICT,OVERALL,REGULAR,2265883,1160513,1105259,111,288464,99.92
QUETTA,QUETTA,DISTRICT,OVERALL,INSTITUTIONAL,2814,1973,841,,126,.04
QUETTA,QUETTA,DISTRICT,OVERALL,HOMELESS,2593,1762,831,,100,.03
QUETTA,QUETTA,DISTRICT,OVERALL,TOTAL,2271290,1164248,1106931,111,288690,100
QUETTA,QUETTA,DISTRICT,RURAL,REGULAR,975736,499283,476424,29,127343,99.91
QUETTA,QUETTA,DISTRICT,RURAL,INSTITUTIONAL,1788,1586,202,,65,.05
QUETTA,QUETTA,DISTRICT,RURAL,HOMELESS,1910,1301,609,,47,.04
QUETTA,QUETTA,DISTRICT,RURAL,TOTAL,979434,502170,477235,29,127455,100
QUETTA,QUETTA,DISTRICT,URBAN,REGULAR,1290147,661230,628835,82,161121,99.93000000000001
QUETTA,QUETTA,DISTRICT,URBAN,INSTITUTIONAL,1026,387,639,,61,.04
QUETTA,QUETTA,DISTRICT,URBAN,HOMELESS,683,461,222,,53,.03
QUETTA,QUETTA,DISTRICT,URBAN,TOTAL,1291856,662078,629696,82,161235,100
SHERANI,SHERANI,DISTRICT,OVERALL,REGULAR,191639,105315,86318,6,36100,99.98
SHERANI,SHERANI,DISTRICT,OVERALL,INSTITUTIONAL,33,22,11,,7,.02
SHERANI,SHERANI,DISTRICT,OVERALL,HOMELESS,1,1,,,1,0
SHERANI,SHERANI,DISTRICT,OVERALL,TOTAL,191673,105338,86329,6,36108,100
SHERANI,SHERANI,DISTRICT,RURAL,REGULAR,191639,105315,86318,6,36100,99.98
SHERANI,SHERANI,DISTRICT,RURAL,INSTITUTIONAL,33,22,11,,7,.02
SHERANI,SHERANI,DISTRICT,RURAL,HOMELESS,1,1,,,1,0
SHERANI,SHERANI,DISTRICT,RURAL,TOTAL,191673,105338,86329,6,36108,100
SHERANI,SHERANI,DISTRICT,URBAN,REGULAR,,,,,,0
SHERANI,SHERANI,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
SHERANI,SHERANI,DISTRICT,URBAN,HOMELESS,,,,,,0
SHERANI,SHERANI,DISTRICT,URBAN,TOTAL,,,,,,100
SIBI,SIBI,DISTRICT,OVERALL,REGULAR,224033,114944,109084,5,31296,99.98
SIBI,SIBI,DISTRICT,OVERALL,INSTITUTIONAL,3,2,1,,2,.01
SIBI,SIBI,DISTRICT,OVERALL,HOMELESS,112,87,25,,5,.02
SIBI,SIBI,DISTRICT,OVERALL,TOTAL,224148,115033,109110,5,31303,100
SIBI,SIBI,DISTRICT,RURAL,REGULAR,154734,79851,74878,5,19771,99.97
SIBI,SIBI,DISTRICT,RURAL,INSTITUTIONAL,2,1,1,,1,.01
SIBI,SIBI,DISTRICT,RURAL,HOMELESS,112,87,25,,5,.03
SIBI,SIBI,DISTRICT,RURAL,TOTAL,154848,79939,74904,5,19777,100
