name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
MOHMAND,MOHMAND,DISTRICT,URBAN,TOTAL,,,,,,100
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,REGULAR,693025,354454,338556,15,99595,99.97
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,INSTITUTIONAL,82,73,9,,24,.02
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,HOMELESS,30,15,15,,6,.01
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,TOTAL,693137,354542,338580,15,99625,100
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,REGULAR,689107,352300,336793,14,98985,99.98
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,INSTITUTIONAL,64,56,8,,9,.01
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,HOMELESS,30,15,15,,6,.01
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,TOTAL,689201,352371,336816,14,99000,100
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,REGULAR,3918,2154,1763,1,610,97.59999999999999
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,INSTITUTIONAL,18,17,1,,15,2.4
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,HOMELESS,,,,,,0
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,TOTAL,3936,2171,1764,1,625,100
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,REGULAR,1729284,878229,851005,50,259774,99.95
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,INSTITUTIONAL,6343,5797,546,,127,.05
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,HOMELESS,62,40,22,,10,0
