name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
NAROWAL,NAROWAL,DISTRICT,RURAL,REGULAR,1600646,817990,782610,46,227230,99.97
NAROWAL,NAROWAL,DISTRICT,RURAL,INSTITUTIONAL,826,723,103,,34,.01
NAROWAL,NAROWAL,DISTRICT,RURAL,HOMELESS,277,166,111,,26,.01
NAROWAL,NAROWAL,DISTRICT,RURAL,TOTAL,1601749,818879,782824,46,227290,100
NAROWAL,NAROWAL,DISTRICT,URBAN,REGULAR,348369,177058,171272,39,54306,99.94
NAROWAL,NAROWAL,DISTRICT,URBAN,INSTITUTIONAL,406,279,127,,16,.03
NAROWAL,NAROWAL,DISTRICT,URBAN,HOMELESS,245,141,104,,16,.03
NAROWAL,NAROWAL,DISTRICT,URBAN,TOTAL,349020,177478,171503,39,54338,100
OKARA,OKARA,DISTRICT,OVERALL,REGULAR,3494520,1777436,1716782,302,549729,99.94
OKARA,OKARA,DISTRICT,OVERALL,INSTITUTIONAL,5641,4704,937,,113,.02
OKARA,OKARA,DISTRICT,OVERALL,HOMELESS,3290,1826,1431,33,215,.04
OKARA,OKARA,DISTRICT,OVERALL,TOTAL,3503451,1783966,1719150,335,550057,100
OKARA,OKARA,DISTRICT,RURAL,REGULAR,2324166,1184718,1139377,71,360647,99.94
OKARA,OKARA,DISTRICT,RURAL,INSTITUTIONAL,1758,1404,354,,50,.01
OKARA,OKARA,DISTRICT,RURAL,HOMELESS,2051,1142,899,10,154,.04
OKARA,OKARA,DISTRICT,RURAL,TOTAL,2327975,1187264,1140630,81,360851,100
OKARA,OKARA,DISTRICT,URBAN,REGULAR,1170354,592718,577405,231,189082,99.93000000000001
OKARA,OKARA,DISTRICT,URBAN,INSTITUTIONAL,3883,3300,583,,63,.03
OKARA,OKARA,DISTRICT,URBAN,HOMELESS,1239,684,532,23,61,.03
OKARA,OKARA,DISTRICT,URBAN,TOTAL,1175476,596702,578520,254,189206,100
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,REGULAR,2130248,1081893,1048195,160,344549,99.94
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,INSTITUTIONAL,3339,1955,1384,,63,.02
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,HOMELESS,1924,1152,772,,132,.04
PAKPATTAN,PAKPATTAN,DISTRICT,OVERALL,TOTAL,2135511,1085000,1050351,160,344744,100
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,REGULAR,1660076,843643,816385,48,267418,99.95
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,INSTITUTIONAL,1817,1202,615,,38,.01
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,HOMELESS,1098,727,371,,84,.03
PAKPATTAN,PAKPATTAN,DISTRICT,RURAL,TOTAL,1662991,845572,817371,48,267540,100
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,REGULAR,470172,238250,231810,112,77131,99.91
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,INSTITUTIONAL,1522,753,769,,25,.03
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,HOMELESS,826,425,401,,48,.06
PAKPATTAN,PAKPATTAN,DISTRICT,URBAN,TOTAL,472520,239428,232980,112,77204,100
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,REGULAR,5548418,2885967,2661913,538,826949,99.93000000000001
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,INSTITUTIONAL,7941,6247,1694,,198,.02
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,HOMELESS,5361,3176,2172,13,378,.05
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,OVERALL,TOTAL,5561720,2895390,2665779,551,827525,100
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,REGULAR,4213068,2196673,2016208,187,617089,99.93000000000001
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,INSTITUTIONAL,3828,2920,908,,90,.01
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,HOMELESS,4738,2784,1945,9,315,.05
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,RURAL,TOTAL,4221634,2202377,2019061,196,617494,100
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,REGULAR,1335350,689294,645705,351,209860,99.92
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,INSTITUTIONAL,4113,3327,786,,108,.05
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,HOMELESS,623,392,227,4,63,.03
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,URBAN,TOTAL,1340086,693013,646718,355,210031,100
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,REGULAR,2317819,1177589,1140112,118,354018,99.93000000000001
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,INSTITUTIONAL,3378,2498,880,,66,.02
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,HOMELESS,2783,1702,1081,,187,.05
RAJANPUR,RAJANPUR,DISTRICT,OVERALL,TOTAL,2323980,1181789,1142073,118,354271,100
RAJANPUR,RAJANPUR,DISTRICT,RURAL,REGULAR,1692182,863957,828206,19,257507,99.93000000000001
RAJANPUR,RAJANPUR,DISTRICT,RURAL,INSTITUTIONAL,734,646,88,,40,.02
RAJANPUR,RAJANPUR,DISTRICT,RURAL,HOMELESS,1365,763,602,,129,.05
RAJANPUR,RAJANPUR,DISTRICT,RURAL,TOTAL,1694281,865366,828896,19,257676,100
RAJANPUR,RAJANPUR,DISTRICT,URBAN,REGULAR,625637,313632,311906,99,96511,99.91
RAJANPUR,RAJANPUR,DISTRICT,URBAN,INSTITUTIONAL,2644,1852,792,,26,.03
RAJANPUR,RAJANPUR,DISTRICT,URBAN,HOMELESS,1418,939,479,,58,.06
RAJANPUR,RAJANPUR,DISTRICT,URBAN,TOTAL,629699,316423,313177,99,96595,100
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,REGULAR,6024814,3055372,2968187,1255,998014,99.87
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,INSTITUTIONAL,25292,18214,7076,2,587,.06
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,HOMELESS,8434,7244,1103,87,746,.07
RAWALPINDI,RAWALPINDI,DISTRICT,OVERALL,TOTAL,6058540,3080830,2976366,1344,999347,100
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,REGULAR,1902543,936918,965587,38,325262,99.95999999999999
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,INSTITUTIONAL,4244,3322,922,,110,.03
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,HOMELESS,324,198,125,1,35,.01
RAWALPINDI,RAWALPINDI,DISTRICT,RURAL,TOTAL,1907111,940438,966634,39,325407,100
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,REGULAR,4122271,2118454,2002600,1217,672752,99.81999999999999
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,INSTITUTIONAL,21048,14892,6154,2,477,.07
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,HOMELESS,8110,7046,978,86,711,.11
RAWALPINDI,RAWALPINDI,DISTRICT,URBAN,TOTAL,4151429,2140392,2009732,1305,673940,100
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,REGULAR,2872733,1455022,1417558,153,446607,99.95999999999999
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,INSTITUTIONAL,4606,3509,1097,,107,.02
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,HOMELESS,783,450,333,,73,.02
SAHIWAL,SAHIWAL,DISTRICT,OVERALL,TOTAL,2878122,1458981,1418988,153,446787,100
SAHIWAL,SAHIWAL,DISTRICT,RURAL,REGULAR,2122980,1076334,1046559,87,324448,99.98
SAHIWAL,SAHIWAL,DISTRICT,RURAL,INSTITUTIONAL,531,384,147,,23,.01
SAHIWAL,SAHIWAL,DISTRICT,RURAL,HOMELESS,617,342,275,,56,.02
SAHIWAL,SAHIWAL,DISTRICT,RURAL,TOTAL,2124128,1077060,1046981,87,324527,100
SAHIWAL,SAHIWAL,DISTRICT,URBAN,REGULAR,749753,378688,370999,66,122159,99.92
SAHIWAL,SAHIWAL,DISTRICT,URBAN,INSTITUTIONAL,4075,3125,950,,84,.07
SAHIWAL,SAHIWAL,DISTRICT,URBAN,HOMELESS,166,108,58,,17,.01
SAHIWAL,SAHIWAL,DISTRICT,URBAN,TOTAL,753994,381921,372007,66,122260,100
SARGODHA,SARGODHA,DISTRICT,OVERALL,REGULAR,4303249,2174611,2128270,368,684324,99.93000000000001
SARGODHA,SARGODHA,DISTRICT,OVERALL,INSTITUTIONAL,19068,13223,5845,,255,.04
SARGODHA,SARGODHA,DISTRICT,OVERALL,HOMELESS,4946,2873,2060,13,220,.03
SARGODHA,SARGODHA,DISTRICT,OVERALL,TOTAL,4327263,2190707,2136175,381,684799,100
SARGODHA,SARGODHA,DISTRICT,RURAL,REGULAR,2716444,1374261,1342059,124,424978,99.95999999999999
SARGODHA,SARGODHA,DISTRICT,RURAL,INSTITUTIONAL,3085,2099,986,,45,.01
SARGODHA,SARGODHA,DISTRICT,RURAL,HOMELESS,3030,1666,1364,,127,.03
SARGODHA,SARGODHA,DISTRICT,RURAL,TOTAL,2722559,1378026,1344409,124,425150,100
SARGODHA,SARGODHA,DISTRICT,URBAN,REGULAR,1586805,800350,786211,244,259346,99.88
SARGODHA,SARGODHA,DISTRICT,URBAN,INSTITUTIONAL,15983,11124,4859,,210,.08
SARGODHA,SARGODHA,DISTRICT,URBAN,HOMELESS,1916,1207,696,13,93,.04
SARGODHA,SARGODHA,DISTRICT,URBAN,TOTAL,1604704,812681,791766,257,259649,100
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,REGULAR,4032719,2064958,1967157,604,593260,99.95999999999999
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,INSTITUTIONAL,15564,13739,1825,,161,.03
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,HOMELESS,1094,662,430,2,85,.01
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,OVERALL,TOTAL,4049377,2079359,1969412,606,593506,100
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,REGULAR,2485621,1275134,1210134,353,362146,99.95999999999999
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,INSTITUTIONAL,12029,10724,1305,,99,.03
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,HOMELESS,975,575,398,2,61,.02
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,RURAL,TOTAL,2498625,1286433,1211837,355,362306,100
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,REGULAR,1547098,789824,757023,251,231114,99.95999999999999
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,INSTITUTIONAL,3535,3015,520,,62,.03
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,HOMELESS,119,87,32,,24,.01
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,URBAN,TOTAL,1550752,792926,757575,251,231200,100
SIALKOT,SIALKOT,DISTRICT,OVERALL,REGULAR,4466010,2259815,2205339,856,671323,99.95999999999999
SIALKOT,SIALKOT,DISTRICT,OVERALL,INSTITUTIONAL,4817,4132,682,3,151,.02
SIALKOT,SIALKOT,DISTRICT,OVERALL,HOMELESS,1635,1065,570,,115,.02
SIALKOT,SIALKOT,DISTRICT,OVERALL,TOTAL,4472462,2265012,2206591,859,671589,100
SIALKOT,SIALKOT,DISTRICT,RURAL,REGULAR,3013315,1516677,1496442,196,445609,99.95999999999999
SIALKOT,SIALKOT,DISTRICT,RURAL,INSTITUTIONAL,2270,1707,560,3,75,.02
SIALKOT,SIALKOT,DISTRICT,RURAL,HOMELESS,1502,961,541,,94,.02
SIALKOT,SIALKOT,DISTRICT,RURAL,TOTAL,3017087,1519345,1497543,199,445778,100
SIALKOT,SIALKOT,DISTRICT,URBAN,REGULAR,1452695,743138,708897,660,225714,99.95999999999999
SIALKOT,SIALKOT,DISTRICT,URBAN,INSTITUTIONAL,2547,2425,122,,76,.03
SIALKOT,SIALKOT,DISTRICT,URBAN,HOMELESS,133,104,29,,21,.01
SIALKOT,SIALKOT,DISTRICT,URBAN,TOTAL,1455375,745667,709048,660,225811,100
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,REGULAR,2514763,1289372,1225163,228,391606,99.93000000000001
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,INSTITUTIONAL,6654,4662,1992,,109,.03
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,HOMELESS,2627,1612,1007,8,146,.04
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,OVERALL,TOTAL,2524044,1295646,1228162,236,391861,100
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,REGULAR,1955766,1003661,952017,88,302356,99.95
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,INSTITUTIONAL,2820,2145,675,,50,.02
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,HOMELESS,1933,1188,742,3,114,.04
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,RURAL,TOTAL,1960519,1006994,953434,91,302520,100
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,REGULAR,558997,285711,273146,140,89250,99.90000000000001
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,INSTITUTIONAL,3834,2517,1317,,59,.07
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,HOMELESS,694,424,265,5,32,.04
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,URBAN,TOTAL,563525,288652,274728,145,89341,100
VEHARI,VEHARI,DISTRICT,OVERALL,REGULAR,3417267,1726180,1690659,428,543037,99.94
VEHARI,VEHARI,DISTRICT,OVERALL,INSTITUTIONAL,8715,6168,2547,,181,.03
VEHARI,VEHARI,DISTRICT,OVERALL,HOMELESS,2209,1317,881,11,166,.03
VEHARI,VEHARI,DISTRICT,OVERALL,TOTAL,3428191,1733665,1694087,439,543384,100
