name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
DADU,DADU,DISTRICT,Seeing,13 - 14,218,166,52
DADU,DADU,DISTRICT,Seeing,15 - 24,937,664,273
DADU,DADU,DISTRICT,Seeing,15 - 49,4039,2870,1169
DADU,DADU,DISTRICT,Seeing,25 - 40,953,676,277
DADU,DADU,DISTRICT,Seeing,41 - 60,7847,5614,2233
DADU,DADU,DISTRICT,Seeing,5 - 16,1261,976,285
DADU,DADU,DISTRICT,Seeing,5 - 9,489,379,110
DADU,DADU,DISTRICT,Seeing,>18,17585,12948,4637
DADU,DADU,DISTRICT,Seeing,>60,8265,6307,1958
DADU,DADU,DISTRICT,Self care etc,0 - 4,44,15,29
DADU,DADU,DISTRICT,Self care etc,10 - 12,63,12,51
DADU,DADU,DISTRICT,Self care etc,13 - 14,33,5,28
DADU,DADU,DISTRICT,Self care etc,15 - 24,164,30,134
DADU,DADU,DISTRICT,Self care etc,15 - 49,1426,913,513
DADU,DADU,DISTRICT,Self care etc,25 - 40,329,122,207
DADU,DADU,DISTRICT,Self care etc,41 - 60,4593,3589,1004
DADU,DADU,DISTRICT,Self care etc,5 - 16,180,52,128
DADU,DADU,DISTRICT,Self care etc,5 - 9,59,26,33
DADU,DADU,DISTRICT,Self care etc,>18,10007,7558,2449
DADU,DADU,DISTRICT,Self care etc,>60,4973,3829,1144
DADU,DADU,DISTRICT,Walking/ Climbing,0 - 4,508,372,136
DADU,DADU,DISTRICT,Walking/ Climbing,10 - 12,720,513,207
DADU,DADU,DISTRICT,Walking/ Climbing,13 - 14,469,312,157
DADU,DADU,DISTRICT,Walking/ Climbing,15 - 24,2079,1353,726
DADU,DADU,DISTRICT,Walking/ Climbing,15 - 49,8157,5403,2754
DADU,DADU,DISTRICT,Walking/ Climbing,25 - 40,2356,1407,949
DADU,DADU,DISTRICT,Walking/ Climbing,41 - 60,12488,9281,3207
DADU,DADU,DISTRICT,Walking/ Climbing,5 - 16,2711,1940,771
DADU,DADU,DISTRICT,Walking/ Climbing,5 - 9,1065,792,273
DADU,DADU,DISTRICT,Walking/ Climbing,>18,29000,21208,7792
