name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,5 - 16,73.77,73.15000000000001,74.31999999999999,77.78,74.48,74.29000000000001,74.65000000000001,50,72.93000000000001,71.75,73.95,85.70999999999999
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,6 - 10,65.79000000000001,65.61,65.95,,66.91,66.67,67.14,,64.44,64.31,64.56,
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,>18,81.58,75.48,86.98999999999999,44.84,82.43000000000001,76.31,88,44.44,80.58,74.45999999999999,85.84,44.93
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,>60,70.67,56.1,81.54000000000001,100,69.31999999999999,52.3,81.88,,72.29000000000001,60.6,81.12,100
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),11 - 13,3251,1958,1293,,996,237,759,,2255,1721,534,
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),14 - 15,7514,3310,4202,2,3407,1398,2008,1,4107,1912,2194,1
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),15 - 24,53078,28017,25051,10,24074,12890,11183,1,29004,15127,13868,9
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),15 - 49,204774,121436,83202,136,99566,60323,39222,21,105208,61113,43980,115
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),25 - 40,102162,61772,40277,113,50101,30689,19395,17,52061,31083,20882,96
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),41 - 60,103345,66436,36885,24,54524,36333,18184,7,48821,30103,18701,17
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),5,14225,7162,7063,,6882,3556,3326,,7343,3606,3737,
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),5 - 16,40477,20531,19944,2,18552,9107,9444,1,21925,11424,10500,1
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),6 - 10,10351,5575,4776,,5013,2818,2195,,5338,2757,2581,
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),>18,285415,176109,109161,145,146832,93149,53658,25,138583,82960,55503,120
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),>60,48046,30373,17673,,27466,17865,9601,,20580,12508,8072,
ISLAMABAD,ISLAMABAD,DISTRICT,Population,11 - 13,149838,69858,79980,,81004,38551,42453,,68834,31307,37527,
ISLAMABAD,ISLAMABAD,DISTRICT,Population,14 - 15,96576,44278,52291,7,51689,24134,27553,2,44887,20144,24738,5
ISLAMABAD,ISLAMABAD,DISTRICT,Population,15 - 24,422609,194533,228042,34,224711,105313,119387,11,197898,89220,108655,23
ISLAMABAD,ISLAMABAD,DISTRICT,Population,15 - 49,1218134,577413,640470,251,657727,316570,341112,45,560407,260843,299358,206
ISLAMABAD,ISLAMABAD,DISTRICT,Population,25 - 40,567477,277023,290256,198,310448,153959,156459,30,257029,123064,133797,168
ISLAMABAD,ISLAMABAD,DISTRICT,Population,41 - 60,411932,189545,222356,31,220380,103007,117365,8,191552,86538,104991,23
ISLAMABAD,ISLAMABAD,DISTRICT,Population,5,50270,24205,26065,,27709,13374,14335,,22561,10831,11730,
ISLAMABAD,ISLAMABAD,DISTRICT,Population,5 - 16,591703,278773,312921,9,321116,153309,167805,2,270587,125464,145116,7
ISLAMABAD,ISLAMABAD,DISTRICT,Population,6 - 10,249389,119597,129792,,136265,66024,70241,,113124,53573,59551,
ISLAMABAD,ISLAMABAD,DISTRICT,Population,>18,1366273,640941,725080,252,738110,351435,386630,45,628163,289506,338450,207
ISLAMABAD,ISLAMABAD,DISTRICT,Population,>60,144105,61571,82532,2,78681,33416,45265,,65424,28155,37267,2
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,11 - 13,34114,14909,19205,,18937,8463,10474,,15177,6446,8731,
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,14 - 15,7288,2737,4551,,3845,1517,2328,,3443,1220,2223,
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,15 - 24,19157,7940,11214,3,10304,4375,5927,2,8853,3565,5287,1
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,15 - 49,68938,33695,35232,11,39762,20243,19516,3,29176,13452,15716,8
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,25 - 40,33893,17185,16701,7,19729,10393,9335,1,14164,6792,7366,6
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,41 - 60,30152,15831,14320,1,18355,10058,8297,,11797,5773,6023,1
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,5,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,5 - 16,56665,24804,31861,,31096,13940,17156,,25569,10864,14705,
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,6 - 10,13024,6265,6759,,7164,3494,3670,,5860,2771,3089,
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,>18,84380,42294,42076,10,50039,25847,24191,1,34341,16447,17885,9
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,>60,10187,4811,5375,1,6336,2876,3460,,3851,1935,1915,1
