name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
BARKHAN,BARKHAN,DISTRICT,60 - 64,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,60 - 64,OTHERS,1,1,,1,1,,,,,,,
BARKHAN,BARKHAN,DISTRICT,60 - 64,PAKISTANI,3017,2779,238,1415,1305,110,1602,1474,128,,,
BARKHAN,BARKHAN,DISTRICT,65 - 69,AFGHANI,2,2,,2,2,,,,,,,
BARKHAN,BARKHAN,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,65 - 69,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,65 - 69,OTHERS,2,2,,2,2,,,,,,,
BARKHAN,BARKHAN,DISTRICT,65 - 69,PAKISTANI,2102,1942,160,1060,981,79,1042,961,81,,,
BARKHAN,BARKHAN,DISTRICT,70 - 74,AFGHANI,1,1,,1,1,,,,,,,
BARKHAN,BARKHAN,DISTRICT,70 - 74,BENGALI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,70 - 74,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,70 - 74,OTHERS,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,70 - 74,PAKISTANI,1854,1737,117,884,825,59,970,912,58,,,
BARKHAN,BARKHAN,DISTRICT,75 & ABOVE,AFGHANI,2,1,1,2,1,1,,,,,,
BARKHAN,BARKHAN,DISTRICT,75 & ABOVE,BENGALI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,75 & ABOVE,OTHERS,1,1,,,,,1,1,,,,
BARKHAN,BARKHAN,DISTRICT,75 & ABOVE,PAKISTANI,1879,1771,108,946,882,64,933,889,44,,,
BARKHAN,BARKHAN,DISTRICT,ALL AGES,AFGHANI,72,67,5,35,31,4,37,36,1,,,
BARKHAN,BARKHAN,DISTRICT,ALL AGES,BENGALI,3,3,,3,3,,,,,,,
BARKHAN,BARKHAN,DISTRICT,ALL AGES,CHINESE,1,1,,,,,1,1,,,,
BARKHAN,BARKHAN,DISTRICT,ALL AGES,OTHERS,100,94,6,50,46,4,50,48,2,,,
BARKHAN,BARKHAN,DISTRICT,ALL AGES,PAKISTANI,210073,195659,14414,100529,93511,7018,109536,102141,7395,8,7,1
CHAGAI,CHAGAI,DISTRICT,00 - 04,AFGHANI,3990,3968,22,2000,1991,9,1990,1977,13,,,
CHAGAI,CHAGAI,DISTRICT,00 - 04,BENGALI,3,3,,1,1,,2,2,,,,
CHAGAI,CHAGAI,DISTRICT,00 - 04,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,00 - 04,OTHERS,140,135,5,39,38,1,101,97,4,,,
CHAGAI,CHAGAI,DISTRICT,00 - 04,PAKISTANI,48022,44960,3062,23282,21794,1488,24740,23166,1574,,,
CHAGAI,CHAGAI,DISTRICT,05 - 09,AFGHANI,3751,3724,27,1772,1758,14,1979,1966,13,,,
CHAGAI,CHAGAI,DISTRICT,05 - 09,BENGALI,4,2,2,2,2,,2,,2,,,
CHAGAI,CHAGAI,DISTRICT,05 - 09,CHINESE,,,,,,,,,,,,
CHAGAI,CHAGAI,DISTRICT,05 - 09,OTHERS,180,173,7,74,71,3,106,102,4,,,
CHAGAI,CHAGAI,DISTRICT,05 - 09,PAKISTANI,45333,42045,3288,21937,20325,1612,23396,21720,1676,,,
CHAGAI,CHAGAI,DISTRICT,10 - 14,AFGHANI,2877,2855,22,1349,1342,7,1528,1513,15,,,
