name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
BARKHAN,BARKHAN,DISTRICT,Hearing,15 - 24,227,210,17
BARKHAN,BARKHAN,DISTRICT,Hearing,15 - 49,1740,1604,136
BARKHAN,BARKHAN,DISTRICT,Hearing,25 - 40,691,636,55
BARKHAN,BARKHAN,DISTRICT,Hearing,41 - 60,2258,2074,184
BARKHAN,BARKHAN,DISTRICT,Hearing,5 - 16,311,295,16
BARKHAN,BARKHAN,DISTRICT,Hearing,5 - 9,130,123,7
BARKHAN,BARKHAN,DISTRICT,Hearing,>18,5181,4794,387
BARKHAN,BARKHAN,DISTRICT,Hearing,>60,2086,1951,135
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,0 - 4,44,38,6
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,10 - 12,78,72,6
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,13 - 14,30,29,1
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,15 - 24,188,177,11
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,15 - 49,1184,1080,104
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,25 - 40,488,442,46
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,41 - 60,1374,1244,130
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,5 - 16,271,253,18
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,5 - 9,122,113,9
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,>18,3130,2864,266
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,>60,1155,1074,81
BARKHAN,BARKHAN,DISTRICT,Population,0 - 4,43726,41243,2483
BARKHAN,BARKHAN,DISTRICT,Population,10 - 12,19989,18867,1122
BARKHAN,BARKHAN,DISTRICT,Population,13 - 14,10124,9396,728
BARKHAN,BARKHAN,DISTRICT,Population,15 - 24,33262,30568,2694
BARKHAN,BARKHAN,DISTRICT,Population,15 - 49,77703,71426,6277
BARKHAN,BARKHAN,DISTRICT,Population,25 - 40,32352,29694,2658
BARKHAN,BARKHAN,DISTRICT,Population,41 - 60,21564,19829,1735
BARKHAN,BARKHAN,DISTRICT,Population,5 - 16,79816,74795,5021
BARKHAN,BARKHAN,DISTRICT,Population,5 - 9,41064,38629,2435
BARKHAN,BARKHAN,DISTRICT,Population,>18,79837,73451,6386
BARKHAN,BARKHAN,DISTRICT,Population,>60,8168,7598,570
BARKHAN,BARKHAN,DISTRICT,Seeing,0 - 4,87,85,2
BARKHAN,BARKHAN,DISTRICT,Seeing,10 - 12,114,109,5
BARKHAN,BARKHAN,DISTRICT,Seeing,13 - 14,39,38,1
BARKHAN,BARKHAN,DISTRICT,Seeing,15 - 24,262,244,18
BARKHAN,BARKHAN,DISTRICT,Seeing,15 - 49,1674,1552,122
BARKHAN,BARKHAN,DISTRICT,Seeing,25 - 40,696,648,48
BARKHAN,BARKHAN,DISTRICT,Seeing,41 - 60,2008,1840,168
BARKHAN,BARKHAN,DISTRICT,Seeing,5 - 16,339,326,13
BARKHAN,BARKHAN,DISTRICT,Seeing,5 - 9,136,130,6
BARKHAN,BARKHAN,DISTRICT,Seeing,>18,5122,4753,369
BARKHAN,BARKHAN,DISTRICT,Seeing,>60,2244,2105,139
BARKHAN,BARKHAN,DISTRICT,Self care etc,0 - 4,1,1,0
BARKHAN,BARKHAN,DISTRICT,Self care etc,10 - 12,0,0,0
BARKHAN,BARKHAN,DISTRICT,Self care etc,13 - 14,1,1,0
BARKHAN,BARKHAN,DISTRICT,Self care etc,15 - 24,31,27,4
BARKHAN,BARKHAN,DISTRICT,Self care etc,15 - 49,624,551,73
BARKHAN,BARKHAN,DISTRICT,Self care etc,25 - 40,245,219,26
BARKHAN,BARKHAN,DISTRICT,Self care etc,41 - 60,996,898,98
BARKHAN,BARKHAN,DISTRICT,Self care etc,5 - 16,3,3,0
BARKHAN,BARKHAN,DISTRICT,Self care etc,5 - 9,2,2,0
BARKHAN,BARKHAN,DISTRICT,Self care etc,>18,1848,1674,174
BARKHAN,BARKHAN,DISTRICT,Self care etc,>60,576,530,46
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,0 - 4,101,96,5
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,10 - 12,109,103,6
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,13 - 14,57,53,4
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,15 - 24,374,354,20
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,15 - 49,2341,2165,176
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,25 - 40,944,876,68
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,41 - 60,2803,2568,235
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,5 - 16,421,402,19
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,5 - 9,192,184,8
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,>18,6628,6134,494
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,>60,2617,2441,176
CHAGAI,CHAGAI,DISTRICT,Communication,0 - 4,104,101,3
CHAGAI,CHAGAI,DISTRICT,Communication,10 - 12,61,57,4
CHAGAI,CHAGAI,DISTRICT,Communication,13 - 14,31,28,3
