name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
CHARSADDA,CHARSADDA,DISTRICT,HINDKO,396,196,200,,323,152,171,,73,44,29,
CHARSADDA,CHARSADDA,DISTRICT,KALASHA,13,10,3,,6,6,,,7,4,3,
CHARSADDA,CHARSADDA,DISTRICT,KASHMIRI,38,20,18,,26,12,14,,12,8,4,
CHARSADDA,CHARSADDA,DISTRICT,KOHIOSTANI,984,449,535,,755,354,401,,229,95,134,
CHARSADDA,CHARSADDA,DISTRICT,MEWATI,,,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OTHERS,2042,1020,1022,,1865,921,944,,177,99,78,
CHARSADDA,CHARSADDA,DISTRICT,PUNJABI,338,155,183,,118,41,77,,220,114,106,
CHARSADDA,CHARSADDA,DISTRICT,PUSHTO,1828826,881270,947537,19,1538033,741430,796587,16,290793,139840,150950,3
CHARSADDA,CHARSADDA,DISTRICT,SARAIKI,32,20,12,,12,8,4,,20,12,8,
CHARSADDA,CHARSADDA,DISTRICT,SHINA,7,3,4,,1,1,,,6,2,4,
CHARSADDA,CHARSADDA,DISTRICT,SINDHI,155,72,83,,114,50,64,,41,22,19,
CHARSADDA,CHARSADDA,DISTRICT,TOTAL,1835136,884419,950698,19,1542721,743776,798929,16,292415,140643,151769,3
CHARSADDA,CHARSADDA,DISTRICT,URDU,991,498,493,,406,223,183,,585,275,310,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,BALOCHI,791,375,416,,655,316,339,,136,59,77,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,BALTI,2,,2,,,,,,2,,2,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,BRAHVI,5,1,4,,2,1,1,,3,,3,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,HINDKO,2738,1316,1422,,2552,1247,1305,,186,69,117,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,KALASHA,3,,3,,1,,1,,2,,2,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,KASHMIRI,490,189,301,,286,113,173,,204,76,128,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,MEWATI,,,,,,,,,,,,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OTHERS,524,192,332,,280,88,192,,244,104,140,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,PUNJABI,4765,2035,2718,12,1254,620,633,1,3511,1415,2085,11
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,PUSHTO,582703,274252,308447,4,503226,236811,266411,4,79477,37441,42036,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,SARAIKI,1198862,573487,625244,131,935023,447971,487044,8,263839,125516,138200,123
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,SHINA,18,10,8,,2,2,,,16,8,8,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,SINDHI,863,389,474,,679,324,355,,184,65,119,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,TOTAL,1822916,866667,956098,151,1451454,690828,760613,13,371462,175839,195485,138
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URDU,31152,14421,16727,4,7494,3335,4159,,23658,11086,12568,4
HANGU,HANGU,DISTRICT,BALOCHI,436,224,212,,355,181,174,,81,43,38,
HANGU,HANGU,DISTRICT,BALTI,2,2,,,2,2,,,,,,
HANGU,HANGU,DISTRICT,BRAHVI,,,,,,,,,,,,
HANGU,HANGU,DISTRICT,HINDKO,24,15,9,,15,9,6,,9,6,3,
HANGU,HANGU,DISTRICT,KALASHA,1,,1,,,,,,1,,1,
HANGU,HANGU,DISTRICT,KASHMIRI,61,14,47,,14,4,10,,47,10,37,
HANGU,HANGU,DISTRICT,KOHIOSTANI,107,52,55,,,,,,107,52,55,
HANGU,HANGU,DISTRICT,MEWATI,,,,,,,,,,,,
HANGU,HANGU,DISTRICT,OTHERS,49,26,23,,9,5,4,,40,21,19,
HANGU,HANGU,DISTRICT,PUNJABI,1001,513,488,,562,299,263,,439,214,225,
HANGU,HANGU,DISTRICT,PUSHTO,523446,265784,257654,8,440782,225022,215756,4,82664,40762,41898,4
HANGU,HANGU,DISTRICT,SARAIKI,33,14,19,,8,5,3,,25,9,16,
HANGU,HANGU,DISTRICT,SHINA,,,,,,,,,,,,
HANGU,HANGU,DISTRICT,SINDHI,70,38,32,,63,33,30,,7,5,2,
HANGU,HANGU,DISTRICT,TOTAL,525623,266894,258721,8,442054,225692,216358,4,83569,41202,42363,4
HANGU,HANGU,DISTRICT,URDU,393,212,181,,244,132,112,,149,80,69,
HARIPUR,HARIPUR,DISTRICT,BALOCHI,271,152,119,,164,89,75,,107,63,44,
HARIPUR,HARIPUR,DISTRICT,BALTI,79,45,34,,69,44,25,,10,1,9,
HARIPUR,HARIPUR,DISTRICT,BRAHVI,334,179,155,,298,164,134,,36,15,21,
HARIPUR,HARIPUR,DISTRICT,HINDKO,942172,469274,472871,27,819077,407752,411313,12,123095,61522,61558,15
HARIPUR,HARIPUR,DISTRICT,KALASHA,12,5,7,,9,3,6,,3,2,1,
HARIPUR,HARIPUR,DISTRICT,KASHMIRI,985,502,483,,913,470,443,,72,32,40,
HARIPUR,HARIPUR,DISTRICT,KOHIOSTANI,3070,1436,1634,,2878,1370,1508,,192,66,126,
HARIPUR,HARIPUR,DISTRICT,MEWATI,7,4,3,,7,4,3,,,,,
HARIPUR,HARIPUR,DISTRICT,OTHERS,15598,7623,7975,,15235,7443,7792,,363,180,183,
