name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
ATTOCK,ATTOCK,DISTRICT,ALL AGES,CHINESE,18,14,4,10,6,4,8,8,,,,
ATTOCK,ATTOCK,DISTRICT,ALL AGES,OTHERS,943,484,459,525,277,248,418,207,211,,,
ATTOCK,ATTOCK,DISTRICT,ALL AGES,PAKISTANI,2063449,1507157,556292,1026805,751350,275455,1036563,755789,280774,81,18,63
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,00 - 04,AFGHANI,117,87,30,58,45,13,59,42,17,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,00 - 04,BENGALI,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,00 - 04,CHINESE,1,,1,,,,1,,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,00 - 04,OTHERS,154,139,15,69,61,8,85,78,7,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,00 - 04,PAKISTANI,492406,372200,120206,237046,178912,58134,255360,193288,62072,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,05 - 09,AFGHANI,85,55,30,31,19,12,54,36,18,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,05 - 09,BENGALI,1,1,,1,1,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,05 - 09,CHINESE,3,2,1,,,,3,2,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,05 - 09,OTHERS,132,114,18,69,60,9,63,54,9,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,05 - 09,PAKISTANI,479022,357724,121298,228597,170618,57979,250425,187106,63319,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,10 - 14,AFGHANI,88,63,25,38,29,9,50,34,16,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,10 - 14,BENGALI,1,,1,,,,1,,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,10 - 14,CHINESE,1,1,,,,,1,1,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,10 - 14,OTHERS,137,105,32,57,45,12,80,60,20,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,10 - 14,PAKISTANI,450220,324251,125969,205939,149439,56500,244267,174801,69466,14,11,3
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 19,AFGHANI,63,40,23,32,21,11,31,19,12,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 19,BENGALI,4,2,2,3,1,2,1,1,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 19,CHINESE,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 19,OTHERS,113,91,22,42,29,13,71,62,9,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 19,PAKISTANI,349579,247201,102378,164912,116854,48058,184634,130328,54306,33,19,14
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,20 - 24,AFGHANI,66,47,19,40,30,10,26,17,9,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,20 - 24,BENGALI,1,,1,,,,1,,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,20 - 24,CHINESE,2,2,,,,,2,2,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,20 - 24,OTHERS,79,59,20,45,34,11,34,25,9,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,20 - 24,PAKISTANI,284514,200962,83552,140669,99011,41658,143784,101942,41842,61,9,52
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,25 - 29,AFGHANI,74,52,22,50,34,16,24,18,6,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,25 - 29,BENGALI,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,25 - 29,CHINESE,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,25 - 29,OTHERS,95,82,13,51,42,9,44,40,4,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,25 - 29,PAKISTANI,254193,180799,73394,127139,89981,37158,126977,90807,36170,77,11,66
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,30 - 34,AFGHANI,75,45,30,37,27,10,37,18,19,1,,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,30 - 34,BENGALI,2,1,1,1,1,,1,,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,30 - 34,CHINESE,4,2,2,2,,2,2,2,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,30 - 34,OTHERS,91,74,17,50,42,8,41,32,9,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,30 - 34,PAKISTANI,226278,160809,65469,115028,81624,33404,111203,79176,32027,47,9,38
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,35 - 39,AFGHANI,69,47,22,43,28,15,26,19,7,,,
