name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
GUJRAT,GUJRAT,DISTRICT,Walking/ Climbing,138353,74429,63924,83828,44269,39559,54525,30160,24365
GUJRAT,GUJRAT,DISTRICT,Communication,46676,25742,20934,29146,16112,13034,17530,9630,7900
GUJRAT,GUJRAT,DISTRICT,Memorization/ Focus,64665,34604,30061,39482,20867,18615,25183,13737,11446
GUJRAT,GUJRAT,DISTRICT,Self care etc,48964,26078,22886,29575,15151,14424,19389,10927,8462
HAFIZABAD,HAFIZABAD,DISTRICT,Population,1319651,669960,649691,815517,414551,400966,504134,255409,248725
HAFIZABAD,HAFIZABAD,DISTRICT,Disability,40672,21719,18953,27458,14501,12957,13214,7218,5996
HAFIZABAD,HAFIZABAD,DISTRICT,Functional limitation,155147,82229,72918,98882,52287,46595,56265,29942,26323
HAFIZABAD,HAFIZABAD,DISTRICT,Seeing,29089,15479,13610,18255,9718,8537,10834,5761,5073
HAFIZABAD,HAFIZABAD,DISTRICT,Hearing,32212,17240,14972,20470,10951,9519,11742,6289,5453
HAFIZABAD,HAFIZABAD,DISTRICT,Walking/ Climbing,48312,25854,22458,30904,16562,14342,17408,9292,8116
HAFIZABAD,HAFIZABAD,DISTRICT,Communication,16324,8869,7455,10452,5699,4753,5872,3170,2702
HAFIZABAD,HAFIZABAD,DISTRICT,Memorization/ Focus,22860,12215,10645,14654,7816,6838,8206,4399,3807
HAFIZABAD,HAFIZABAD,DISTRICT,Self care etc,17281,9033,8248,11079,5718,5361,6202,3315,2887
JHANG,JHANG,DISTRICT,Population,3065639,1585868,1479771,2264713,1172446,1092267,800926,413422,387504
JHANG,JHANG,DISTRICT,Disability,132964,73530,59434,101200,55905,45295,31764,17625,14139
JHANG,JHANG,DISTRICT,Functional limitation,394147,208887,185260,293419,155573,137846,100728,53314,47414
JHANG,JHANG,DISTRICT,Seeing,71938,38112,33826,53697,28452,25245,18241,9660,8581
JHANG,JHANG,DISTRICT,Hearing,80590,42848,37742,60401,32177,28224,20189,10671,9518
