name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Matric,>60,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,11 - 13,3077,870,2207,,2832,749,2083,,245,121,124,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,14 - 15,1072,275,797,,1013,268,745,,59,7,52,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,15 - 24,1246,323,923,,1130,305,825,,116,18,98,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,15 - 49,1246,323,923,,1130,305,825,,116,18,98,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,25 - 40,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,41 - 60,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,5,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,5 - 16,5090,1382,3708,,4737,1245,3492,,353,137,216,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,6 - 10,639,170,469,,615,164,451,,24,6,18,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,>18,226,75,151,,198,70,128,,28,5,23,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Middle,>60,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,11 - 13,2351,854,1497,,2161,791,1370,,190,63,127,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,14 - 15,447,155,292,,406,145,261,,41,10,31,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,15 - 24,481,172,309,,425,156,269,,56,16,40,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,15 - 49,481,172,309,,425,156,269,,56,16,40,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,25 - 40,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,41 - 60,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,5,1719,590,1129,,1598,574,1024,,121,16,105,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,5 - 16,19388,6018,13370,,17430,5436,11994,,1958,582,1376,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,6 - 10,14758,4378,10380,,13166,3887,9279,,1592,491,1101,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,>18,108,36,72,,94,31,63,,14,5,9,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Enrolment Primary,>60,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,11 - 13,7319,2551,4768,,6770,2316,4454,,549,235,314,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,14 - 15,4041,1260,2781,,3789,1200,2589,,252,60,192,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,15 - 24,17103,4493,12609,1,15975,4276,11698,1,1128,217,911,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,15 - 49,34120,7189,26930,1,32013,6852,25160,1,2107,337,1770,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,25 - 40,13391,2278,11113,,12630,2183,10447,,761,95,666,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,41 - 60,5511,644,4867,,5174,601,4573,,337,43,294,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,5,1929,677,1252,,1797,657,1140,,132,20,112,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,5 - 16,32347,10439,21908,,29584,9567,20017,,2763,872,1891,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,6 - 10,17128,5374,11754,,15428,4838,10590,,1700,536,1164,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Ever Attended,>18,29784,5427,24356,1,27981,5156,22824,1,1803,271,1532,
