name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
JAFFARABAD,DISTRICT,JAFFARABAD,RURAL,LESS THAN 200,14,1537,773,764,,Rural Localities
JAFFARABAD,DISTRICT,JAFFARABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,OVERALL,195,179238,91912,87315,11,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,"5,000 AND ABOVE",2,12971,6591,6379,1,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,"2,000 -- 4,999",11,34799,17839,16960,,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,"1,000 -- 1,999",42,56280,28798,27478,4,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,500 -- 999,82,58441,30025,28410,6,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,200 -- 499,40,14785,7656,7129,,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,LESS THAN 200,18,1962,1003,959,,Rural Localities
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,UN-INHABITED,,,,,,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,OVERALL,310,362222,192336,169859,27,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,"5,000 AND ABOVE",7,66240,35820,30412,8,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,"2,000 -- 4,999",54,165382,88009,77359,14,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,"1,000 -- 1,999",38,56386,30147,26235,4,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,500 -- 999,59,43237,22525,20712,,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,200 -- 499,71,22676,11531,11145,,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,LESS THAN 200,79,8301,4304,3996,1,Rural Localities
KACHHI,DISTRICT,KACHHI,RURAL,UN-INHABITED,2,,,,,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,OVERALL,404,227120,115646,111468,6,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,"5,000 AND ABOVE",2,14349,7198,7150,1,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,"2,000 -- 4,999",17,56219,28293,27926,,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,"1,000 -- 1,999",47,66355,34180,32173,2,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,500 -- 999,57,40585,20548,20037,,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,200 -- 499,103,32923,16842,16078,3,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,LESS THAN 200,178,16689,8585,8104,,Rural Localities
KALAT,DISTRICT,KALAT,RURAL,UN-INHABITED,,,,,,Rural Localities
KECH,DISTRICT,KECH,RURAL,OVERALL,317,674285,349807,324432,46,Rural Localities
KECH,DISTRICT,KECH,RURAL,"5,000 AND ABOVE",32,282068,149355,132694,19,Rural Localities
