name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
SIBI,SIBI,DISTRICT,URBAN,11525,11195,245,85,8096,35,3327,67,5745,1826
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,33734,25983,3203,4548,814,61,22285,10574,8076,21709
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,31941,24265,3195,4481,613,34,20957,10337,7596,20900
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,1793,1718,8,67,201,27,1328,237,480,809
SURAB,SURAB,DISTRICT,OVERALL,51227,24162,21861,5204,3238,1128,39129,7732,24987,4431
SURAB,SURAB,DISTRICT,RURAL,45045,18475,21553,5017,484,668,36580,7313,20975,4219
SURAB,SURAB,DISTRICT,URBAN,6182,5687,308,187,2754,460,2549,419,4012,212
WASHUK,WASHUK,DISTRICT,OVERALL,49049,12897,19994,16158,393,2269,42042,4345,28916,9545
WASHUK,WASHUK,DISTRICT,RURAL,41953,11191,15737,15025,319,2254,35465,3915,26504,7494
WASHUK,WASHUK,DISTRICT,URBAN,7096,1706,4257,1133,74,15,6577,430,2412,2051
ZHOB,ZHOB,DISTRICT,OVERALL,47901,23464,19478,4959,663,956,43155,3127,23679,6880
ZHOB,ZHOB,DISTRICT,RURAL,41474,17156,19378,4940,457,236,37729,3052,19918,6602
ZHOB,ZHOB,DISTRICT,URBAN,6427,6308,100,19,206,720,5426,75,3761,278
ZIARAT,ZIARAT,DISTRICT,OVERALL,22894,10802,10067,2025,6178,374,15534,808,8752,2962
ZIARAT,ZIARAT,DISTRICT,RURAL,17299,5928,9497,1874,2550,351,13668,730,6515,2616
ZIARAT,ZIARAT,DISTRICT,URBAN,5595,4874,570,151,3628,23,1866,78,2237,346
