name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,RURAL,123667,119302,73028,50639,67812,50393,638,425,281,4118
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,URBAN,53804,52356,36751,17053,15801,32103,291,3306,432,1871
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,OVERALL,143798,138220,89680,54118,82797,52888,760,594,930,5829
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,RURAL,112538,108089,67496,45042,70865,36364,707,297,134,4171
TANDO MUHAMMAD KHAN,TANDO MUHAMMAD KHAN,DISTRICT,URBAN,31260,30131,22184,9076,11932,16524,53,297,796,1658
THARPARKAR,THARPARKAR,DISTRICT,OVERALL,327584,180494,48865,278719,32872,61847,207688,1721,351,23105
THARPARKAR,THARPARKAR,DISTRICT,RURAL,300328,161334,35784,264544,20604,57890,202702,1576,271,17285
THARPARKAR,THARPARKAR,DISTRICT,URBAN,27256,19160,13081,14175,12268,3957,4986,145,80,5820
THATTA,THATTA,DISTRICT,OVERALL,206202,160980,66638,139564,94552,54062,6164,1029,1759,48636
THATTA,THATTA,DISTRICT,RURAL,172496,130670,48878,123618,73488,47286,5810,819,920,44173
THATTA,THATTA,DISTRICT,URBAN,33706,30310,17760,15946,21064,6776,354,210,839,4463
UMER KOT,UMER KOT,DISTRICT,OVERALL,222562,150862,68842,153720,77975,54572,30972,655,429,57959
UMER KOT,UMER KOT,DISTRICT,RURAL,171106,105696,38479,132627,53943,37318,29082,272,81,50410
UMER KOT,UMER KOT,DISTRICT,URBAN,51456,45166,30363,21093,24032,17254,1890,383,348,7549
