name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,"2,000 -- 4,999",16,46300,23733,22567,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,"1,000 -- 1,999",74,106400,54558,51842,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,500 -- 999,105,76893,38926,37967,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,200 -- 499,85,29951,15190,14761,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,LESS THAN 200,27,3706,1895,1811,,Rural Localities
LOWER CHITRAL,DISTRICT,LOWER CHITRAL ,RURAL,UN-INHABITED,,,,,,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,OVERALL,1167,1602323,789132,813165,26,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,"5,000 AND ABOVE",33,237346,120449,116892,5,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,"2,000 -- 4,999",190,569915,280728,289179,8,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,"1,000 -- 1,999",335,472074,229776,242289,9,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,500 -- 999,330,240627,117760,122864,3,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,200 -- 499,205,73432,35983,37448,1,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,LESS THAN 200,70,8929,4436,4493,,Rural Localities
LOWER DIR,DISTRICT,LOWER DIR,RURAL,UN-INHABITED,4,,,,,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,OVERALL,436,340017,173655,166351,11,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,"5,000 AND ABOVE",2,12167,6038,6129,,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,"2,000 -- 4,999",23,60002,30570,29428,4,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,"1,000 -- 1,999",88,120461,61135,59325,1,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,500 -- 999,125,90621,46480,44136,5,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,200 -- 499,146,50067,25952,24114,1,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,LESS THAN 200,49,6699,3480,3219,,Rural Localities
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,UN-INHABITED,3,,,,,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,OVERALL,51,752725,384443,368276,6,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,"5,000 AND ABOVE",34,716885,366183,350697,5,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,"2,000 -- 4,999",7,27239,13834,13404,1,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,"1,000 -- 1,999",4,5982,3144,2838,,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,500 -- 999,2,1365,700,665,,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,200 -- 499,4,1254,582,672,,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,LESS THAN 200,,,,,,Rural Localities
MALAKAND,DISTRICT,MALAKAND,RURAL,UN-INHABITED,,,,,,Rural Localities
