name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
NAROWAL,NAROWAL,DISTRICT,Primary Completed,151628,79536,72087,5,128550,67511,61036,3,23078,12025,11051,2
NAROWAL,NAROWAL,DISTRICT,Enrolment Primary,258009,134131,123878,,215616,112166,103450,,42393,21965,20428,
NAROWAL,NAROWAL,DISTRICT,Enrolment Middle,126386,64095,62290,1,104364,52565,51798,1,22022,11530,10492,
NAROWAL,NAROWAL,DISTRICT,Enrolment Matric,78209,36756,41452,1,62482,28994,33487,1,15727,7762,7965,
NAROWAL,NAROWAL,DISTRICT,Enrolment Intermidiate,44850,19503,25342,5,34139,14578,19558,3,10711,4925,5784,2
NAROWAL,NAROWAL,DISTRICT,Enrolment Graduation above,37380,13633,23746,1,25258,8828,16430,,12122,4805,7316,1
NAROWAL,NAROWAL,DISTRICT,Never to School (all),400664,168218,232393,53,342443,142930,199486,27,58221,25288,32907,26
NAROWAL,NAROWAL,DISTRICT,Drop Out (5 - 16),42997,25014,17981,2,36609,21232,15375,2,6388,3782,2606,
NAROWAL,NAROWAL,DISTRICT,Never to School (5-16),36037,18432,17605,,28261,14517,13744,,7776,3915,3861,
NAROWAL,NAROWAL,DISTRICT,Out of School Children (5-16),79034,43446,35586,2,64870,35749,29119,2,14164,7697,6467,
OKARA,OKARA,DISTRICT,Population >=5,2992955,1526612,1466008,335,1974153,1008359,965713,81,1018802,518253,500295,254
OKARA,OKARA,DISTRICT,Population >=10,2544906,1301286,1243285,335,1667483,853944,813458,81,877423,447342,429827,254
OKARA,OKARA,DISTRICT,Literate >=10,1533378,865568,667714,96,898494,524614,373858,22,634884,340954,293856,74
OKARA,OKARA,DISTRICT,Literate %,60.25,66.52,53.71,28.66,53.88,61.43,45.96,27.16,72.36,76.22,68.37,29.13
OKARA,OKARA,DISTRICT,Ever Attended,1847093,1026864,820139,90,1107039,630645,476371,23,740054,396219,343768,67
OKARA,OKARA,DISTRICT,Primary Completed,286632,154078,132536,18,186434,101247,85183,4,100198,52831,47353,14
OKARA,OKARA,DISTRICT,Enrolment Primary,459680,236750,222929,1,306918,157220,149698,,152762,79530,73231,1
OKARA,OKARA,DISTRICT,Enrolment Middle,170929,85692,85235,2,107212,55147,52063,2,63717,30545,33172,
OKARA,OKARA,DISTRICT,Enrolment Matric,98070,47601,50464,5,57055,29029,28025,1,41015,18572,22439,4
OKARA,OKARA,DISTRICT,Enrolment Intermidiate,53035,26499,26536,,28417,14868,13549,,24618,11631,12987,
OKARA,OKARA,DISTRICT,Enrolment Graduation above,50674,24428,26242,4,24623,12821,11800,2,26051,11607,14442,2
OKARA,OKARA,DISTRICT,Never to School (all),1145862,499748,645869,245,867114,377714,489342,58,278748,122034,156527,187
OKARA,OKARA,DISTRICT,Drop Out (5 - 16),94496,49644,44849,3,64440,33129,31309,2,30056,16515,13540,1
OKARA,OKARA,DISTRICT,Never to School (5-16),170393,81521,88866,6,132985,62957,70025,3,37408,18564,18841,3
OKARA,OKARA,DISTRICT,Out of School Children (5-16),264889,131165,133715,9,197425,96086,101334,5,67464,35079,32381,4
PAKPATTAN,PAKPATTAN,DISTRICT,Population >=5,1795762,913163,882439,160,1393046,709133,683865,48,402716,204030,198574,112
PAKPATTAN,PAKPATTAN,DISTRICT,Population >=10,1521954,775423,746371,160,1175671,599443,576180,48,346283,175980,170191,112
PAKPATTAN,PAKPATTAN,DISTRICT,Literate >=10,869422,501669,367701,52,623153,368774,254363,16,246269,132895,113338,36
PAKPATTAN,PAKPATTAN,DISTRICT,Literate %,57.13,64.7,49.27,32.5,53,61.52,44.15,33.33,71.12,75.52,66.59,32.14
PAKPATTAN,PAKPATTAN,DISTRICT,Ever Attended,1070376,605087,465245,44,781290,450943,330335,12,289086,154144,134910,32
PAKPATTAN,PAKPATTAN,DISTRICT,Primary Completed,198681,108467,90200,14,156635,85865,70767,3,42046,22602,19433,11
PAKPATTAN,PAKPATTAN,DISTRICT,Enrolment Primary,279120,143933,135187,,218650,113583,105067,,60470,30350,30120,
PAKPATTAN,PAKPATTAN,DISTRICT,Enrolment Middle,104440,53216,51223,1,77113,40164,36948,1,27327,13052,14275,
PAKPATTAN,PAKPATTAN,DISTRICT,Enrolment Matric,50600,26531,24068,1,34506,18881,15625,,16094,7650,8443,1
PAKPATTAN,PAKPATTAN,DISTRICT,Enrolment Intermidiate,27787,14370,13415,2,17794,9615,8179,,9993,4755,5236,2
PAKPATTAN,PAKPATTAN,DISTRICT,Enrolment Graduation above,25116,12367,12748,1,14298,7454,6843,1,10818,4913,5905,
PAKPATTAN,PAKPATTAN,DISTRICT,Never to School (all),725386,308076,417194,116,611756,258190,353530,36,113630,49886,63664,80
PAKPATTAN,PAKPATTAN,DISTRICT,Drop Out (5 - 16),65804,34590,31212,2,54022,27784,26236,2,11782,6806,4976,
PAKPATTAN,PAKPATTAN,DISTRICT,Never to School (5-16),110205,49982,60217,6,95523,41860,53662,1,14682,8122,6555,5
PAKPATTAN,PAKPATTAN,DISTRICT,Out of School Children (5-16),176009,84572,91429,8,149545,69644,79898,3,26464,14928,11531,5
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Population >=5,4677514,2433408,2243555,551,3526261,1839211,1686854,196,1151253,594197,556701,355
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Population >=10,3877479,2014718,1862210,551,2895146,1508139,1386811,196,982333,506579,475399,355
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Literate >=10,1858774,1110952,747667,155,1164302,728446,435793,63,694472,382506,311874,92
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Literate %,47.94,55.14,40.15,28.13,40.22,48.3,31.42,32.14,70.7,75.51000000000001,65.59999999999999,25.92
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Ever Attended,2247306,1321889,925277,140,1424308,871436,552816,56,822998,450453,372461,84
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Primary Completed,343889,202754,141091,44,242276,146860,95402,14,101613,55894,45689,30
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Enrolment Primary,605139,330599,274540,,429385,237434,191951,,175754,93165,82589,
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Enrolment Middle,198592,107981,90611,,127152,70478,56674,,71440,37503,33937,
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Enrolment Matric,110491,62111,48378,2,64191,37800,26390,1,46300,24311,21988,1
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Enrolment Intermidiate,55796,30145,25648,3,29176,16793,12381,2,26620,13352,13267,1
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Enrolment Graduation above,58160,29430,28728,2,25112,14131,10979,2,33048,15299,17749,
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Never to School (all),2430208,1111519,1318278,411,2101953,967775,1134038,140,328255,143744,184240,271
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Drop Out (5 - 16),135730,77672,58053,5,102600,58149,44448,3,33130,19523,13605,2
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Never to School (5-16),646200,319585,326596,19,592321,293722,298587,12,53879,25863,28009,7
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,Out of School Children (5-16),781930,397257,384649,24,694921,351871,343035,15,87009,45386,41614,9
RAJANPUR,RAJANPUR,DISTRICT,Population >=5,1891721,963665,927938,118,1365225,699084,666122,19,526496,264581,261816,99
RAJANPUR,RAJANPUR,DISTRICT,Population >=10,1507085,768805,738162,118,1070244,548832,521393,19,436841,219973,216769,99
RAJANPUR,RAJANPUR,DISTRICT,Literate >=10,543915,335833,208040,42,293095,194746,98348,1,250820,141087,109692,41
RAJANPUR,RAJANPUR,DISTRICT,Literate %,36.09,43.68,28.18,35.59,27.39,35.48,18.86,5.26,57.42,64.14,50.6,41.41
RAJANPUR,RAJANPUR,DISTRICT,Ever Attended,684283,413901,270345,37,376838,244275,132562,1,307445,169626,137783,36
RAJANPUR,RAJANPUR,DISTRICT,Primary Completed,95029,57843,37172,14,56683,36741,19941,1,38346,21102,17231,13
RAJANPUR,RAJANPUR,DISTRICT,Enrolment Primary,226342,124638,101704,,143690,82943,60747,,82652,41695,40957,
RAJANPUR,RAJANPUR,DISTRICT,Enrolment Middle,71503,41686,29817,,40722,25564,15158,,30781,16122,14659,
RAJANPUR,RAJANPUR,DISTRICT,Enrolment Matric,38560,22643,15916,1,18595,12137,6458,,19965,10506,9458,1
RAJANPUR,RAJANPUR,DISTRICT,Enrolment Intermidiate,21095,11968,9127,,9672,6440,3232,,11423,5528,5895,
RAJANPUR,RAJANPUR,DISTRICT,Enrolment Graduation above,22076,12324,9752,,8860,6234,2626,,13216,6090,7126,
RAJANPUR,RAJANPUR,DISTRICT,Never to School (all),1207438,549764,657593,81,988387,454809,533560,18,219051,94955,124033,63
RAJANPUR,RAJANPUR,DISTRICT,Drop Out (5 - 16),44684,24967,19713,4,30077,16932,13145,,14607,8035,6568,4
RAJANPUR,RAJANPUR,DISTRICT,Never to School (5-16),398135,182583,215542,10,352990,162604,190377,9,45145,19979,25165,1
RAJANPUR,RAJANPUR,DISTRICT,Out of School Children (5-16),442819,207550,235255,14,383067,179536,203522,9,59752,28014,31733,5
RAWALPINDI,RAWALPINDI,DISTRICT,Population >=5,5337821,2719876,2616601,1344,1687809,831484,856286,39,3650012,1888392,1760315,1305
RAWALPINDI,RAWALPINDI,DISTRICT,Population >=10,4696941,2399059,2296538,1344,1486174,731678,754457,39,3210767,1667381,1542081,1305
RAWALPINDI,RAWALPINDI,DISTRICT,Literate >=10,3909007,2108785,1799459,763,1198793,643212,555560,21,2710214,1465573,1243899,742
RAWALPINDI,RAWALPINDI,DISTRICT,Literate %,83.22,87.90000000000001,78.36,56.77,80.66,87.91,73.64,53.85,84.41,87.90000000000001,80.66,56.86
RAWALPINDI,RAWALPINDI,DISTRICT,Ever Attended,4432758,2375767,2056335,656,1380262,738011,642233,18,3052496,1637756,1414102,638
RAWALPINDI,RAWALPINDI,DISTRICT,Primary Completed,409814,197081,212578,155,165640,74214,91424,2,244174,122867,121154,153
RAWALPINDI,RAWALPINDI,DISTRICT,Enrolment Primary,694957,353896,341059,2,227572,117875,109697,,467385,236021,231362,2
RAWALPINDI,RAWALPINDI,DISTRICT,Enrolment Middle,347085,170551,176531,3,112568,54888,57680,,234517,115663,118851,3
RAWALPINDI,RAWALPINDI,DISTRICT,Enrolment Matric,208687,102184,106496,7,68727,33888,34838,1,139960,68296,71658,6
RAWALPINDI,RAWALPINDI,DISTRICT,Enrolment Intermidiate,155233,75672,79554,7,41395,19059,22334,2,113838,56613,57220,5
RAWALPINDI,RAWALPINDI,DISTRICT,Enrolment Graduation above,183941,83063,100871,7,32370,11958,20412,,151571,71105,80459,7
RAWALPINDI,RAWALPINDI,DISTRICT,Never to School (all),905063,344109,560266,688,307547,93473,214053,21,597516,250636,346213,667
RAWALPINDI,RAWALPINDI,DISTRICT,Drop Out (5 - 16),120677,64515,56154,8,30037,15109,14928,,90640,49406,41226,8
RAWALPINDI,RAWALPINDI,DISTRICT,Never to School (5-16),118738,56316,62412,10,27985,9263,18721,1,90753,47053,43691,9
RAWALPINDI,RAWALPINDI,DISTRICT,Out of School Children (5-16),239415,120831,118566,18,58022,24372,33649,1,181393,96459,84917,17
SAHIWAL,SAHIWAL,DISTRICT,Population >=5,2454662,1245176,1209333,153,1804532,915518,888927,87,650130,329658,320406,66
