name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,41 - 60,137297,100091,37206
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,5 - 16,16193,11843,4350
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,5 - 9,5365,4085,1280
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,>18,319363,233338,86025
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,>60,161545,117999,43546
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,0 - 4,445,349,96
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,10 - 12,955,688,267
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,13 - 14,594,425,169
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,15 - 24,2475,1790,685
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,15 - 49,14241,10498,3743
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,25 - 40,2504,1926,578
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,41 - 60,28549,21113,7436
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,5 - 16,3386,2487,899
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,5 - 9,1255,941,314
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,>18,62353,46133,16220
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,>60,29964,22147,7817
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Memorization/ Focus,0 - 4,559,359,200
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Memorization/ Focus,10 - 12,1267,893,374
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Memorization/ Focus,13 - 14,863,601,262
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Memorization/ Focus,15 - 24,3281,2303,978
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Memorization/ Focus,15 - 49,12824,9455,3369
