name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
LAYYAH,DISTRICT,LAYYAH,RURAL,OVERALL,669,1716104,885147,830922,35,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,"5,000 AND ABOVE",67,650395,336179,314197,19,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,"2,000 -- 4,999",215,641713,330234,311469,10,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,"1,000 -- 1,999",230,336329,173335,162988,6,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,500 -- 999,101,76590,39671,36919,,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,200 -- 499,27,9154,4733,4421,,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,LESS THAN 200,25,1923,995,928,,Rural Localities
LAYYAH,DISTRICT,LAYYAH,RURAL,UN-INHABITED,4,,,,,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,OVERALL,438,1603246,830802,772395,49,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,"5,000 AND ABOVE",86,843911,436861,407010,40,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,"2,000 -- 4,999",193,601856,312313,289534,9,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,"1,000 -- 1,999",81,122910,63840,59070,,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,500 -- 999,32,24577,12603,11974,,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,200 -- 499,24,8387,4346,4041,,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,LESS THAN 200,18,1605,839,766,,Rural Localities
LODHRAN,DISTRICT,LODHRAN,RURAL,UN-INHABITED,4,,,,,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,OVERALL,422,1483345,743168,740095,82,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,"5,000 AND ABOVE",90,876894,439478,437354,62,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,"2,000 -- 4,999",123,395103,197414,197673,16,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,"1,000 -- 1,999",115,167365,83915,83446,4,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,500 -- 999,50,36843,18652,18191,,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,200 -- 499,16,5874,3050,2824,,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,LESS THAN 200,16,1266,659,607,,Rural Localities
MANDI BAHAUDDIN,DISTRICT,MANDI BAHAUDDIN,RURAL,UN-INHABITED,12,,,,,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,OVERALL,251,1434815,732190,702599,26,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,"5,000 AND ABOVE",78,1141178,580983,560174,21,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,"2,000 -- 4,999",66,213275,109750,103520,5,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,"1,000 -- 1,999",36,54200,28122,26078,,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,500 -- 999,30,20856,10450,10406,,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,200 -- 499,9,2896,1509,1387,,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,LESS THAN 200,26,2410,1376,1034,,Rural Localities
MIANWALI,DISTRICT,MIANWALI,RURAL,UN-INHABITED,6,,,,,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,OVERALL,492,2862434,1452332,1409966,136,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,"5,000 AND ABOVE",191,2227447,1129726,1097603,118,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,"2,000 -- 4,999",152,493139,250269,242858,12,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,"1,000 -- 1,999",66,97386,49517,47864,5,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,500 -- 999,46,34913,17916,16996,1,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,200 -- 499,24,8434,4315,4119,,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,LESS THAN 200,12,1115,589,526,,Rural Localities
MULTAN,DISTRICT,MULTAN,RURAL,UN-INHABITED,1,,,,,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,OVERALL,948,4068531,2067097,2001370,64,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,"5,000 AND ABOVE",279,3005659,1527441,1478166,52,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,"2,000 -- 4,999",194,628601,318484,310113,4,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,"1,000 -- 1,999",214,313512,159416,154088,8,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,500 -- 999,115,86821,44210,42611,,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,200 -- 499,82,28905,14894,14011,,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,LESS THAN 200,54,5033,2652,2381,,Rural Localities
MUZAFFARGARH,DISTRICT,MUZAFFARGARH,RURAL,UN-INHABITED,10,,,,,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,OVERALL,413,1311483,669583,641867,33,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,"5,000 AND ABOVE",79,721305,368024,353256,25,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,"2,000 -- 4,999",122,400916,203611,197298,7,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,"1,000 -- 1,999",86,130303,67036,63266,1,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,500 -- 999,60,46553,24352,22201,,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,200 -- 499,29,10068,5331,4737,,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,LESS THAN 200,32,2338,1229,1109,,Rural Localities
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,UN-INHABITED,5,,,,,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,OVERALL,1300,1601859,818931,782882,46,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,"5,000 AND ABOVE",25,190350,97609,92730,11,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,"2,000 -- 4,999",169,510971,260590,250364,17,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,"1,000 -- 1,999",411,585208,299023,286172,13,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,500 -- 999,322,243536,124707,118825,4,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,200 -- 499,179,65019,33427,31591,1,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,LESS THAN 200,98,6775,3575,3200,,Rural Localities
NAROWAL,DISTRICT,NAROWAL,RURAL,UN-INHABITED,96,,,,,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,OVERALL,868,2327986,1187269,1140636,81,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,"5,000 AND ABOVE",124,936030,477921,458069,40,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,"2,000 -- 4,999",304,1005936,511937,493967,32,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,"1,000 -- 1,999",179,257228,131273,125949,6,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,500 -- 999,133,97020,49701,47316,3,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,200 -- 499,71,25648,13187,12461,,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,LESS THAN 200,56,6124,3250,2874,,Rural Localities
OKARA,DISTRICT,OKARA,RURAL,UN-INHABITED,1,,,,,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,OVERALL,565,1663595,845862,817685,48,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,"5,000 AND ABOVE",83,619569,314867,304679,23,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,"2,000 -- 4,999",233,792735,402695,390024,16,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,"1,000 -- 1,999",124,183446,93593,89849,4,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,500 -- 999,74,54815,27999,26814,2,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,200 -- 499,31,10702,5468,5231,3,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,LESS THAN 200,20,2328,1240,1088,,Rural Localities
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,UN-INHABITED,,,,,,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,OVERALL,1422,4222451,2202768,2019487,196,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,"5,000 AND ABOVE",303,2468748,1287409,1181185,154,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,"2,000 -- 4,999",341,1141147,594777,546336,34,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,"1,000 -- 1,999",297,437468,227893,209567,8,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,500 -- 999,180,136309,72024,64285,,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,200 -- 499,95,33628,17838,15790,,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,LESS THAN 200,67,5151,2827,2324,,Rural Localities
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,RURAL,UN-INHABITED,139,,,,,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,OVERALL,505,1749826,892029,857778,19,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,"5,000 AND ABOVE",117,1143309,582664,560635,10,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,"2,000 -- 4,999",119,381267,193595,187664,8,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,"1,000 -- 1,999",104,149297,76075,73222,,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,500 -- 999,78,55595,28848,26747,,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,200 -- 499,50,16836,8947,7888,1,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,LESS THAN 200,31,3522,1900,1622,,Rural Localities
RAJANPUR,DISTRICT,RAJANPUR,RURAL,UN-INHABITED,6,,,,,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,OVERALL,1072,1908126,940924,967163,39,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,"5,000 AND ABOVE",68,542465,268980,273465,20,Rural Localities
RAWALPINDI,DISTRICT,RAWALPINDI,RURAL,"2,000 -- 4,999",258,777643,383543,394088,12,Rural Localities
