name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
DADU,DISTRICT,55 - 59,WIDOWED,4201,3403,798,0,2872,2296,576,0,1329,1107,222,0
DADU,DISTRICT,60 - 64,DIVORCED,29,17,12,0,20,12,8,0,9,5,4,0
DADU,DISTRICT,60 - 64,MARRIED,25754,10762,14992,0,19271,8158,11113,0,6483,2604,3879,0
DADU,DISTRICT,60 - 64,NEVER MARRIED,324,135,189,0,207,83,124,0,117,52,65,0
DADU,DISTRICT,60 - 64,SEPERATION,55,34,21,0,42,26,16,0,13,8,5,0
DADU,DISTRICT,60 - 64,WIDOWED,4788,3919,869,0,3426,2776,650,0,1362,1143,219,0
DADU,DISTRICT,65 - 69,DIVORCED,20,13,7,0,15,11,4,0,5,2,3,0
DADU,DISTRICT,65 - 69,MARRIED,17307,7045,10262,0,13074,5378,7696,0,4233,1667,2566,0
DADU,DISTRICT,65 - 69,NEVER MARRIED,176,69,105,2,118,43,75,0,58,26,30,2
DADU,DISTRICT,65 - 69,SEPERATION,39,23,16,0,32,20,12,0,7,3,4,0
DADU,DISTRICT,65 - 69,WIDOWED,4835,3973,862,0,3439,2818,621,0,1396,1155,241,0
DADU,DISTRICT,70 - 74,DIVORCED,16,12,4,0,11,9,2,0,5,3,2,0
DADU,DISTRICT,70 - 74,MARRIED,11517,4150,7367,0,8850,3206,5644,0,2667,944,1723,0
DADU,DISTRICT,70 - 74,NEVER MARRIED,111,50,60,1,81,37,44,0,30,13,16,1
DADU,DISTRICT,70 - 74,SEPERATION,24,11,13,0,19,9,10,0,5,2,3,0
DADU,DISTRICT,70 - 74,WIDOWED,4766,3853,913,0,3431,2783,648,0,1335,1070,265,0
DADU,DISTRICT,75 & ABOVE,DIVORCED,9,4,5,0,7,3,4,0,2,1,1,0
DADU,DISTRICT,75 & ABOVE,MARRIED,8505,2710,5795,0,6742,2127,4615,0,1763,583,1180,0
DADU,DISTRICT,75 & ABOVE,NEVER MARRIED,75,32,43,0,49,19,30,0,26,13,13,0
DADU,DISTRICT,75 & ABOVE,SEPERATION,33,10,23,0,24,8,16,0,9,2,7,0
DADU,DISTRICT,75 & ABOVE,WIDOWED,5734,4474,1260,0,4214,3326,888,0,1520,1148,372,0
GHOTKI,DISTRICT,15 &  ABOVE,DIVORCED,1185,815,370,0,733,519,214,0,452,296,156,0
GHOTKI,DISTRICT,15 &  ABOVE,MARRIED,694390,350759,343631,0,542786,274734,268052,0,151604,76025,75579,0
GHOTKI,DISTRICT,15 &  ABOVE,NEVER MARRIED,251138,93937,157159,42,182260,66304,115938,18,68878,27633,41221,24
GHOTKI,DISTRICT,15 &  ABOVE,SEPERATION,669,379,290,0,478,257,221,0,191,122,69,0
GHOTKI,DISTRICT,15 &  ABOVE,WIDOWED,34669,27873,6796,0,26246,20937,5309,0,8423,6936,1487,0
