name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,URBAN,21074,9370,19332,1394,348,9163,1046
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,23046,11773,11659,7276,4111,11483,4438
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23046,11773,11659,7276,4111,11483,4438
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,URBAN,,,,,,,
WARAH,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,48615,22647,26555,12094,9966,22061,11813
WARAH,KAMBAR SHAHDAD KOT,TALUKA,RURAL,34748,15758,16336,11068,7344,15144,9328
WARAH,KAMBAR SHAHDAD KOT,TALUKA,URBAN,13867,6889,10219,1026,2622,6917,2485
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,536051,634411,13897,2960,529137,8285
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,536051,634411,13897,2960,529137,8285
GULBERG,KARACHI CENTRAL,SUB-DIVISION,OVERALL,106679,88570,103891,2061,727,87641,1069
GULBERG,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,
GULBERG,KARACHI CENTRAL,SUB-DIVISION,URBAN,106679,88570,103891,2061,727,87641,1069
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,97560,88435,95715,1582,263,86718,2008
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,97560,88435,95715,1582,263,86718,2008
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,96275,80774,94388,1494,393,80385,584
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,96275,80774,94388,1494,393,80385,584
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,OVERALL,196488,148992,189944,5545,999,146362,3157
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,URBAN,196488,148992,189944,5545,999,146362,3157
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,154266,129280,150473,3215,578,128031,1467
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,154266,129280,150473,3215,578,128031,1467
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,544976,622592,25105,11692,536329,19576
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,544976,622592,25105,11692,536329,19576
FEROZABAD,KARACHI EAST,SUB-DIVISION,OVERALL,180708,144518,171805,7246,1657,142528,4242
FEROZABAD,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,
FEROZABAD,KARACHI EAST,SUB-DIVISION,URBAN,180708,144518,171805,7246,1657,142528,4242
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,OVERALL,179357,161454,172022,4748,2587,159751,3405
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,URBAN,179357,161454,172022,4748,2587,159751,3405
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,OVERALL,193691,148185,175793,11204,6694,143857,10995
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,URBAN,193691,148185,175793,11204,6694,143857,10995
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,OVERALL,105633,90819,102972,1907,754,90193,934
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,URBAN,105633,90819,102972,1907,754,90193,934
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,371037,410465,12169,2459,365141,8803
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,371037,410465,12169,2459,365141,8803
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OVERALL,44611,36433,42365,2020,226,35698,1716
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,URBAN,44611,36433,42365,2020,226,35698,1716
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,OVERALL,95323,83446,92755,2269,299,82374,1463
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,URBAN,95323,83446,92755,2269,299,82374,1463
GARDEN,KARACHI SOUTH,SUB-DIVISION,OVERALL,89718,82028,86141,3184,393,81250,1144
GARDEN,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,
GARDEN,KARACHI SOUTH,SUB-DIVISION,URBAN,89718,82028,86141,3184,393,81250,1144
LYARI,KARACHI SOUTH,SUB-DIVISION,OVERALL,166943,143650,161145,4313,1485,141600,3237
LYARI,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,
LYARI,KARACHI SOUTH,SUB-DIVISION,URBAN,166943,143650,161145,4313,1485,141600,3237
SADDAR,KARACHI SOUTH,SUB-DIVISION,OVERALL,28498,25480,28059,383,56,24219,1243
SADDAR,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,
SADDAR,KARACHI SOUTH,SUB-DIVISION,URBAN,28498,25480,28059,383,56,24219,1243
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,357469,443773,15588,5395,350982,11105
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,31563,40151,2590,607,30775,1502
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,325906,403622,12998,4788,320207,9603
MANGHOPIR,KARACHI WEST,SUB-DIVISION,OVERALL,195372,145545,180547,10839,3986,142084,7477
MANGHOPIR,KARACHI WEST,SUB-DIVISION,RURAL,43348,31563,40151,2590,607,30775,1502
MANGHOPIR,KARACHI WEST,SUB-DIVISION,URBAN,152024,113982,140396,8249,3379,111309,5975
MOMINABAD,KARACHI WEST,SUB-DIVISION,OVERALL,174256,137280,171320,1777,1159,135040,2795
MOMINABAD,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,
MOMINABAD,KARACHI WEST,SUB-DIVISION,URBAN,174256,137280,171320,1777,1159,135040,2795
ORANGI,KARACHI WEST,SUB-DIVISION,OVERALL,95128,74644,91906,2972,250,73858,833
ORANGI,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,
ORANGI,KARACHI WEST,SUB-DIVISION,URBAN,95128,74644,91906,2972,250,73858,833
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,77737,103009,40414,65471,70321,72426
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,56380,63224,36543,63172,49716,68907
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,21357,39785,3871,2299,20605,3519
KANDHKOT,KASHMORE,TALUKA,OVERALL,69182,31462,44778,14129,10275,30104,11514
KANDHKOT,KASHMORE,TALUKA,RURAL,43791,20418,22240,11978,9573,19194,10650
KANDHKOT,KASHMORE,TALUKA,URBAN,25391,11044,22538,2151,702,10910,864
KASHMORE,KASHMORE,TALUKA,OVERALL,81957,26968,38342,14919,28696,22930,33691
KASHMORE,KASHMORE,TALUKA,RURAL,65838,18441,24136,13921,27781,14720,32125
KASHMORE,KASHMORE,TALUKA,URBAN,16119,8527,14206,998,915,8210,1566
TANGWANI,KASHMORE,TALUKA,OVERALL,57755,19307,19889,11366,26500,17287,27221
TANGWANI,KASHMORE,TALUKA,RURAL,53310,17521,16848,10644,25818,15802,26132
TANGWANI,KASHMORE,TALUKA,URBAN,4445,1786,3041,722,682,1485,1089
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,255299,302537,12267,4317,248692,11082
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,319121,255299,302537,12267,4317,248692,11082
BALDIA,KEAMARI,SUB-DIVISION,OVERALL,148116,120145,142808,4579,729,117814,3204
BALDIA,KEAMARI,SUB-DIVISION,RURAL,,,,,,,
BALDIA,KEAMARI,SUB-DIVISION,URBAN,148116,120145,142808,4579,729,117814,3204
KEAMARI,KEAMARI,SUB-DIVISION,OVERALL,68571,53082,62291,4626,1654,51297,3612
KEAMARI,KEAMARI,SUB-DIVISION,RURAL,,,,,,,
KEAMARI,KEAMARI,SUB-DIVISION,URBAN,68571,53082,62291,4626,1654,51297,3612
MAURIPUR,KEAMARI,SUB-DIVISION,OVERALL,37369,30428,34664,1092,1613,29925,2217
MAURIPUR,KEAMARI,SUB-DIVISION,RURAL,,,,,,,
