name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
KAMALIA,TOBA TEK SINGH,TEHSIL,ALL AGES,422477,216549,205877,51,255860,131267,124583,10,166617,85282,81294,41
KAMALIA,TOBA TEK SINGH,TEHSIL,UNDER 1,8711,4412,4299,,5431,2727,2704,,3280,1685,1595,
KAMALIA,TOBA TEK SINGH,TEHSIL,UNDER 5,53224,27225,25999,,33290,16905,16385,,19934,10320,9614,
KAMALIA,TOBA TEK SINGH,TEHSIL,UNDER 10,104798,53422,51376,,65803,33406,32397,,38995,20016,18979,
KAMALIA,TOBA TEK SINGH,TEHSIL,UNDER 15,152920,78578,74342,,95097,48729,46368,,57823,29849,27974,
KAMALIA,TOBA TEK SINGH,TEHSIL,05 - 24,178018,91680,86333,5,109019,56287,52731,1,68999,35393,33602,4
KAMALIA,TOBA TEK SINGH,TEHSIL,15 - 49,210019,106020,103958,41,124124,62840,61274,10,85895,43180,42684,31
KAMALIA,TOBA TEK SINGH,TEHSIL,15 - 64,250561,127526,122987,48,148515,75750,72755,10,102046,51776,50232,38
KAMALIA,TOBA TEK SINGH,TEHSIL,18 - 60,216898,109629,107222,47,127912,64750,63152,10,88986,44879,44070,37
KAMALIA,TOBA TEK SINGH,TEHSIL,18 &  ABOVE,243723,124271,119402,50,144858,74052,70796,10,98865,50219,48606,40
KAMALIA,TOBA TEK SINGH,TEHSIL,60 &  ABOVE,29434,15910,13521,3,18581,10080,8501,,10853,5830,5020,3
KAMALIA,TOBA TEK SINGH,TEHSIL,65 &  ABOVE,18996,10445,8548,3,12248,6788,5460,,6748,3657,3088,3
PIRMAHAL,TOBA TEK SINGH,TEHSIL,ALL AGES,496636,255241,241334,61,437179,224569,212589,21,59457,30672,28745,40
PIRMAHAL,TOBA TEK SINGH,TEHSIL,UNDER 1,10936,5728,5208,,9870,5178,4692,,1066,550,516,
