name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
SHAHEED,TEHSIL,MUZAFFARGARH,URBAN,,63421,31489,31931,1,98.62,,,5.9,56117,2.07
JATOI,TEHSIL,MUZAFFARGARH,OVERALL,1010,862046,436682,425324,40,102.67,853.51,25.22,6.2,715177,3.17
JATOI,TEHSIL,MUZAFFARGARH,RURAL,,644666,327462,317183,21,103.24,,,6.3,555795,2.51
JATOI,TEHSIL,MUZAFFARGARH,URBAN,,217380,109220,108141,19,101,,,6,159382,5.32
KOT ADDU,TEHSIL,MUZAFFARGARH,OVERALL,1686,1072180,538796,533362,22,101.02,635.93,20.56,5.7,981787,1.48
KOT ADDU,TEHSIL,MUZAFFARGARH,RURAL,,851782,429077,422699,6,101.51,,,5.8,783757,1.4
KOT ADDU,TEHSIL,MUZAFFARGARH,URBAN,,220398,109719,110663,16,99.15000000000001,,,5.7,198030,1.8
MUZAFFARGARH,TEHSIL,MUZAFFARGARH,OVERALL,2377,1905995,974422,931544,29,104.6,801.85,14.05,6.2,1625487,2.7
MUZAFFARGARH,TEHSIL,MUZAFFARGARH,RURAL,,1638293,836051,802217,25,104.22,,,6.1,1385109,2.85
MUZAFFARGARH,TEHSIL,MUZAFFARGARH,URBAN,,267702,138371,129327,4,106.99,,,6.5,240378,1.82
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,OVERALL,2216,1634871,831931,802859,81,103.62,737.76,19.78,6.6,1354986,3.19
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,RURAL,,1311483,669583,641867,33,104.32,,,6.6,1109862,2.83
NANKANA SAHIB,DISTRICT,NANKANA SAHIB,URBAN,,323388,162348,160992,48,100.84,,,6.3,245124,4.74
NANKANA SAHIB,TEHSIL,NANKANA SAHIB,OVERALL,1662,1065063,545638,519382,43,105.06,640.83,12.21,6.6,884006,3.16
NANKANA SAHIB,TEHSIL,NANKANA SAHIB,RURAL,,935022,480218,454777,27,105.59,,,6.6,773871,3.21
NANKANA SAHIB,TEHSIL,NANKANA SAHIB,URBAN,,130041,65420,64605,16,101.26,,,6.3,110135,2.82
SANGLA HILL,TEHSIL,NANKANA SAHIB,OVERALL,223,269993,134999,134979,15,100.01,1210.73,38.41,6.5,227604,2.9
SANGLA HILL,TEHSIL,NANKANA SAHIB,RURAL,,166284,83295,82987,2,100.37,,,6.6,166106,.02
SANGLA HILL,TEHSIL,NANKANA SAHIB,URBAN,,103709,51704,51992,13,99.45,,,6.4,61498,9.130000000000001
SHAH KOT,TEHSIL,NANKANA SAHIB,OVERALL,331,299815,151294,148498,23,101.88,905.79,29.9,6.6,243376,3.55
SHAH KOT,TEHSIL,NANKANA SAHIB,RURAL,,210177,106070,104103,4,101.89,,,6.7,169885,3.62
SHAH KOT,TEHSIL,NANKANA SAHIB,URBAN,,89638,45224,44395,19,101.87,,,6.3,73491,3.38
NAROWAL,DISTRICT,NAROWAL,OVERALL,2337,1950954,996445,954424,85,104.4,834.8099999999999,17.89,6.9,1707575,2.25
NAROWAL,DISTRICT,NAROWAL,RURAL,,1601859,818931,782882,46,104.6,,,7,1450918,1.67
NAROWAL,DISTRICT,NAROWAL,URBAN,,349095,177514,171542,39,103.48,,,6.4,256657,5.28
NAROWAL,TEHSIL,NAROWAL,OVERALL,1065,680402,347737,332644,21,104.54,638.88,24.94,6.7,596539,2.22
NAROWAL,TEHSIL,NAROWAL,RURAL,,510688,261433,249244,11,104.89,,,6.9,460844,1.73
NAROWAL,TEHSIL,NAROWAL,URBAN,,169714,86304,83400,10,103.48,,,6.4,135695,3.81
SHAKARGARH,TEHSIL,NAROWAL,OVERALL,835,769339,393500,375809,30,104.71,921.36,16.47,7,672030,2.29
SHAKARGARH,TEHSIL,NAROWAL,RURAL,,642597,329020,313559,18,104.93,,,7.2,590387,1.43
SHAKARGARH,TEHSIL,NAROWAL,URBAN,,126742,64480,62250,12,103.58,,,6.4,81643,7.63
ZAFARWAL,TEHSIL,NAROWAL,OVERALL,437,501213,255208,245971,34,103.76,1146.94,10.5,6.9,439006,2.24
ZAFARWAL,TEHSIL,NAROWAL,RURAL,,448574,228478,220079,17,103.82,,,6.9,399687,1.95
ZAFARWAL,TEHSIL,NAROWAL,URBAN,,52639,26730,25892,17,103.24,,,6.4,39319,5
OKARA,DISTRICT,OKARA,OVERALL,4377,3515490,1789744,1725411,335,103.73,803.17,33.78,6.3,3040826,2.45
OKARA,DISTRICT,OKARA,RURAL,,2327986,1187269,1140636,81,104.09,,,6.4,2198262,.96
OKARA,DISTRICT,OKARA,URBAN,,1187504,602475,584775,254,103.03,,,6.2,842564,5.9
DEPALPUR,TEHSIL,OKARA,OVERALL,2502,1592201,810875,781186,140,103.8,636.37,28.98,6.2,1375785,2.47
DEPALPUR,TEHSIL,OKARA,RURAL,,1130731,577765,552929,37,104.49,,,6.3,1033260,1.52
DEPALPUR,TEHSIL,OKARA,URBAN,,461470,233110,228257,103,102.13,,,6.1,342525,5.11
OKARA,TEHSIL,OKARA,OVERALL,1241,1393746,709348,684235,163,103.67,1123.08,44.91,6.4,1206319,2.44
OKARA,TEHSIL,OKARA,RURAL,,767766,390803,376931,32,103.68,,,6.5,760440,.16
OKARA,TEHSIL,OKARA,URBAN,,625980,318545,307304,131,103.66,,,6.3,445879,5.83
RENALA KHURD,TEHSIL,OKARA,OVERALL,634,529543,269521,259990,32,103.67,835.24,18.89,6.6,458722,2.43
RENALA KHURD,TEHSIL,OKARA,RURAL,,429489,218701,210776,12,103.76,,,6.7,404562,1
RENALA KHURD,TEHSIL,OKARA,URBAN,,100054,50820,49214,20,103.26,,,6.6,54160,10.8
PAKPATTAN,DISTRICT,PAKPATTAN,OVERALL,2724,2136170,1085316,1050694,160,103.3,784.2,22.12,6.1,1824228,2.67
PAKPATTAN,DISTRICT,PAKPATTAN,RURAL,,1663595,845862,817685,48,103.45,,,6.2,1535236,1.35
PAKPATTAN,DISTRICT,PAKPATTAN,URBAN,,472575,239454,233009,112,102.77,,,6.1,288992,8.57
ARIF WALA,TEHSIL,PAKPATTAN,OVERALL,1241,999278,506782,492406,90,102.92,805.22,20.97,6.2,855029,2.64
ARIF WALA,TEHSIL,PAKPATTAN,RURAL,,789720,399609,390083,28,102.44,,,6.2,742723,1.03
ARIF WALA,TEHSIL,PAKPATTAN,URBAN,,209558,107173,102323,62,104.74,,,6.2,112306,10.99
PAKPATTAN,TEHSIL,PAKPATTAN,OVERALL,1483,1136892,578534,558288,70,103.63,766.62,23.13,6.1,969199,2.7
PAKPATTAN,TEHSIL,PAKPATTAN,RURAL,,873875,446253,427602,20,104.36,,,6.2,792513,1.65
PAKPATTAN,TEHSIL,PAKPATTAN,URBAN,,263017,132281,130686,50,101.22,,,6,176686,6.87
RAHIM YAR KHAN,DISTRICT,RAHIM YAR KHAN,OVERALL,11880,5564703,2896819,2667333,551,108.6,468.41,24.12,6.7,4807762,2.47
