name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BANDA DAUD SHAH,KARAK,TEHSIL,BRAHVI,,,,,,,,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,HINDKO,1,1,,,1,1,,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,KALASHA,,,,,,,,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,KASHMIRI,6,1,5,,6,1,5,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,KOHIOSTANI,,,,,,,,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,MEWATI,,,,,,,,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,OTHERS,5,3,2,,5,3,2,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,PUNJABI,9,8,1,,9,8,1,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,PUSHTO,176885,87952,88932,1,176885,87952,88932,1,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,SARAIKI,10,4,6,,10,4,6,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,SHINA,,,,,,,,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,SINDHI,9,6,3,,9,6,3,,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,TOTAL,177136,88091,89044,1,177136,88091,89044,1,,,,
BANDA DAUD SHAH,KARAK,TEHSIL,URDU,58,36,22,,58,36,22,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,BALOCHI,17,6,11,,17,6,11,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,BALTI,12,7,5,,12,7,5,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,BRAHVI,,,,,,,,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,HINDKO,2,1,1,,2,1,1,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,KALASHA,14,9,5,,14,9,5,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,KASHMIRI,4,1,3,,4,1,3,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,KOHIOSTANI,155111,75177,79927,7,155111,75177,79927,7,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,MEWATI,,,,,,,,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,OTHERS,1106,575,531,,1106,575,531,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,PUNJABI,69,25,44,,69,25,44,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,PUSHTO,16444,8035,8409,,16444,8035,8409,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,SARAIKI,4,3,1,,4,3,1,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,SHINA,17,13,4,,17,13,4,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,SINDHI,13,8,5,,13,8,5,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,TOTAL,177057,85709,91341,7,177057,85709,91341,7,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,URDU,4244,1849,2395,,4244,1849,2395,,,,,
BANNU,BANNU,DISTRICT,BALOCHI,1309,682,627,,1191,634,557,,118,48,70,
BANNU,BANNU,DISTRICT,BALTI,,,,,,,,,,,,
BANNU,BANNU,DISTRICT,BRAHVI,1,,1,,,,,,1,,1,
BANNU,BANNU,DISTRICT,HINDKO,165,73,92,,26,12,14,,139,61,78,
BANNU,BANNU,DISTRICT,KALASHA,1,1,,,1,1,,,,,,
BANNU,BANNU,DISTRICT,KASHMIRI,138,76,62,,98,63,35,,40,13,27,
BANNU,BANNU,DISTRICT,KOHIOSTANI,1,,1,,1,,1,,,,,
BANNU,BANNU,DISTRICT,MEWATI,,,,,,,,,,,,
BANNU,BANNU,DISTRICT,OTHERS,241,106,135,,214,94,120,,27,12,15,
BANNU,BANNU,DISTRICT,PUNJABI,4395,2079,2316,,746,350,396,,3649,1729,1920,
BANNU,BANNU,DISTRICT,PUSHTO,1342395,644272,698104,19,1300402,624901,675489,12,41993,19371,22615,7
BANNU,BANNU,DISTRICT,SARAIKI,1131,553,578,,561,289,272,,570,264,306,
BANNU,BANNU,DISTRICT,SHINA,7,4,3,,2,1,1,,5,3,2,
BANNU,BANNU,DISTRICT,SINDHI,379,168,211,,173,88,85,,206,80,126,
BANNU,BANNU,DISTRICT,TOTAL,1354674,650099,704556,19,1306578,627928,678638,12,48096,22171,25918,7
BANNU,BANNU,DISTRICT,URDU,4511,2085,2426,,3163,1495,1668,,1348,590,758,
BANNU,BANNU,TEHSIL,BALOCHI,580,291,289,,462,243,219,,118,48,70,
BANNU,BANNU,TEHSIL,BALTI,,,,,,,,,,,,
BANNU,BANNU,TEHSIL,BRAHVI,1,,1,,,,,,1,,1,
BANNU,BANNU,TEHSIL,HINDKO,163,73,90,,24,12,12,,139,61,78,
BANNU,BANNU,TEHSIL,KALASHA,,,,,,,,,,,,
