name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
JHAL MAGSI,JHAL MAGSI,TEHSIL,OVERALL,17155,15515,89,1366,27,8,150,16620,350,10125,5202,1361,467
JHAL MAGSI,JHAL MAGSI,TEHSIL,RURAL,17155,15515,89,1366,27,8,150,16620,350,10125,5202,1361,467
JHAL MAGSI,JHAL MAGSI,TEHSIL,URBAN,,,,,,,,,,,,,
MIRPUR,JHAL MAGSI,SUB-TEHSIL,OVERALL,2689,2585,18,67,2,2,15,2641,29,1786,651,166,86
MIRPUR,JHAL MAGSI,SUB-TEHSIL,RURAL,2689,2585,18,67,2,2,15,2641,29,1786,651,166,86
MIRPUR,JHAL MAGSI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
KACHHI,KACHHI,DISTRICT,OVERALL,50032,42409,984,5546,165,16,912,48102,837,16813,15290,7683,10246
KACHHI,KACHHI,DISTRICT,RURAL,41450,34755,392,5343,45,12,903,39823,667,13584,12180,6381,9305
KACHHI,KACHHI,DISTRICT,URBAN,8582,7654,592,203,120,4,9,8279,170,3229,3110,1302,941
BALANARI,KACHHI,SUB-TEHSIL,OVERALL,6523,4131,51,2142,4,3,192,6263,61,2502,2296,882,843
BALANARI,KACHHI,SUB-TEHSIL,RURAL,6523,4131,51,2142,4,3,192,6263,61,2502,2296,882,843
BALANARI,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
BHAG,KACHHI,SUB-DIVISION,OVERALL,16312,14652,204,951,15,3,487,15467,340,8030,5629,1873,780
BHAG,KACHHI,SUB-DIVISION,RURAL,12865,11340,100,936,3,3,483,12102,274,6496,4272,1473,624
BHAG,KACHHI,SUB-DIVISION,URBAN,3447,3312,104,15,12,,4,3365,66,1534,1357,400,156
DHADAR,KACHHI,SUB-DIVISION,OVERALL,7176,5134,248,1733,38,4,19,7002,113,2987,2552,945,692
DHADAR,KACHHI,SUB-DIVISION,RURAL,4361,2710,58,1565,9,2,17,4257,76,1583,1636,617,525
DHADAR,KACHHI,SUB-DIVISION,URBAN,2815,2424,190,168,29,2,2,2745,37,1404,916,328,167
KHATTAN,KACHHI,SUB-TEHSIL,OVERALL,2723,2582,7,117,1,,16,2648,58,708,977,542,496
KHATTAN,KACHHI,SUB-TEHSIL,RURAL,2723,2582,7,117,1,,16,2648,58,708,977,542,496
KHATTAN,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
MACH,KACHHI,SUB-DIVISION,OVERALL,5699,4844,414,181,106,3,151,5319,120,1240,1994,1266,1199
MACH,KACHHI,SUB-DIVISION,RURAL,3379,2926,116,161,27,1,148,3150,53,949,1157,692,581
MACH,KACHHI,SUB-DIVISION,URBAN,2320,1918,298,20,79,2,3,2169,67,291,837,574,618
SANNI,KACHHI,SUB-DIVISION,OVERALL,11599,11066,60,422,1,3,47,11403,145,1346,1842,2175,6236
SANNI,KACHHI,SUB-DIVISION,RURAL,11599,11066,60,422,1,3,47,11403,145,1346,1842,2175,6236
SANNI,KACHHI,SUB-DIVISION,URBAN,,,,,,,,,,,,,
KALAT,KALAT,DISTRICT,OVERALL,33101,29399,765,1977,184,11,765,31546,595,6461,10681,7565,8394
KALAT,KALAT,DISTRICT,RURAL,27903,24869,327,1908,50,8,741,26579,525,5870,9092,6280,6661
KALAT,KALAT,DISTRICT,URBAN,5198,4530,438,69,134,3,24,4967,70,591,1589,1285,1733
GAZG,KALAT,SUB-TEHSIL,OVERALL,1274,1151,5,49,1,,68,1172,33,318,426,253,277
GAZG,KALAT,SUB-TEHSIL,RURAL,1274,1151,5,49,1,,68,1172,33,318,426,253,277
GAZG,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
JOHAN,KALAT,SUB-TEHSIL,OVERALL,2486,2288,4,137,,,57,2364,65,494,881,620,491
JOHAN,KALAT,SUB-TEHSIL,RURAL,2486,2288,4,137,,,57,2364,65,494,881,620,491
JOHAN,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,,,,,
KALAT,KALAT,SUB-DIVISION,OVERALL,20124,18174,587,797,169,10,387,19176,382,4106,6332,4489,5197
KALAT,KALAT,SUB-DIVISION,RURAL,14926,13644,149,728,35,7,363,14209,312,3515,4743,3204,3464
KALAT,KALAT,SUB-DIVISION,URBAN,5198,4530,438,69,134,3,24,4967,70,591,1589,1285,1733
