name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
CHARSADDA,CHARSADDA,DISTRICT,RURAL,225615,8,3,3,186715,30938,4170,273,3517
CHARSADDA,CHARSADDA,DISTRICT,URBAN,50057,1,11,,37327,11024,840,17,837
CHARSADDA,CHARSADDA,TEHSIL,OVERALL,144855,8,6,,117414,22706,2353,72,2305
CHARSADDA,CHARSADDA,TEHSIL,RURAL,117179,8,3,,96571,16740,1933,57,1876
CHARSADDA,CHARSADDA,TEHSIL,URBAN,27676,,3,,20843,5966,420,15,429
SHABQADAR,CHARSADDA,TEHSIL,OVERALL,60204,1,8,,49225,8588,1325,33,1024
SHABQADAR,CHARSADDA,TEHSIL,RURAL,44847,,,,37690,5333,1079,31,714
SHABQADAR,CHARSADDA,TEHSIL,URBAN,15357,1,8,,11535,3255,246,2,310
TANGI,CHARSADDA,TEHSIL,OVERALL,70613,,,3,57403,10668,1332,185,1025
TANGI,CHARSADDA,TEHSIL,RURAL,63589,,,3,52454,8865,1158,185,927
TANGI,CHARSADDA,TEHSIL,URBAN,7024,,,,4949,1803,174,,98
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,272208,22,10,6,218738,42313,2381,1682,7073
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,197635,2,1,1,164162,25688,1462,1558,4772
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,74573,20,9,5,54576,16625,919,124,2301
DARABAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,19945,,,,16373,2565,67,261,680
DARABAN,DERA ISMAIL KHAN,TEHSIL,RURAL,19945,,,,16373,2565,67,261,680
DARABAN,DERA ISMAIL KHAN,TEHSIL,URBAN,,,,,,,,,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,129692,17,10,6,100925,22315,1485,705,4236
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,RURAL,81454,,1,1,66857,11025,703,644,2224
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,URBAN,48238,17,9,5,34068,11290,782,61,2012
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,OVERALL,7338,,,,6377,693,55,47,166
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,RURAL,7338,,,,6377,693,55,47,166
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,URBAN,,,,,,,,,
KULACHI,DERA ISMAIL KHAN,TEHSIL,OVERALL,15721,,,,13359,2148,35,53,126
KULACHI,DERA ISMAIL KHAN,TEHSIL,RURAL,10394,,,,9104,1142,23,51,74
KULACHI,DERA ISMAIL KHAN,TEHSIL,URBAN,5327,,,,4255,1006,12,2,52
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,OVERALL,55717,2,,,46030,8073,426,281,913
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,RURAL,41445,,,,35150,4938,340,259,766
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,URBAN,14272,2,,,10880,3135,86,22,147
PAROA,DERA ISMAIL KHAN,TEHSIL,OVERALL,43795,3,,,35674,6519,313,335,952
PAROA,DERA ISMAIL KHAN,TEHSIL,RURAL,37059,2,,,30301,5325,274,296,862
PAROA,DERA ISMAIL KHAN,TEHSIL,URBAN,6736,1,,,5373,1194,39,39,90
HANGU,HANGU,DISTRICT,OVERALL,58789,12,2,1,47359,8622,968,97,1728
HANGU,HANGU,DISTRICT,RURAL,46469,11,,,38420,5861,664,84,1429
HANGU,HANGU,DISTRICT,URBAN,12320,1,2,1,8939,2761,304,13,299
HANGU,HANGU,TEHSIL,OVERALL,32746,2,2,1,27339,4056,416,50,880
HANGU,HANGU,TEHSIL,RURAL,25903,1,,,22289,2646,269,42,656
HANGU,HANGU,TEHSIL,URBAN,6843,1,2,1,5050,1410,147,8,224
TALL,HANGU,TEHSIL,OVERALL,26043,10,,,20020,4566,552,47,848
TALL,HANGU,TEHSIL,RURAL,20566,10,,,16131,3215,395,42,773
TALL,HANGU,TEHSIL,URBAN,5477,,,,3889,1351,157,5,75
HARIPUR,HARIPUR,DISTRICT,OVERALL,231847,230,32,45,190123,27273,5583,708,7854
HARIPUR,HARIPUR,DISTRICT,RURAL,203863,207,17,22,169028,23044,3948,682,6916
HARIPUR,HARIPUR,DISTRICT,URBAN,27984,23,15,23,21095,4229,1635,26,938
GHAZI,HARIPUR,TEHSIL,OVERALL,34856,74,,4,28401,5040,411,68,858
GHAZI,HARIPUR,TEHSIL,RURAL,34856,74,,4,28401,5040,411,68,858
GHAZI,HARIPUR,TEHSIL,URBAN,,,,,,,,,
HARIPUR,HARIPUR,TEHSIL,OVERALL,158514,155,27,39,129336,18344,4592,483,5539
HARIPUR,HARIPUR,TEHSIL,RURAL,130530,132,12,16,108241,14115,2957,457,4601
HARIPUR,HARIPUR,TEHSIL,URBAN,27984,23,15,23,21095,4229,1635,26,938
KHANPUR,HARIPUR,TEHSIL,OVERALL,38477,1,5,2,32386,3889,580,157,1457
KHANPUR,HARIPUR,TEHSIL,RURAL,38477,1,5,2,32386,3889,580,157,1457
KHANPUR,HARIPUR,TEHSIL,URBAN,,,,,,,,,
KARAK,KARAK,DISTRICT,OVERALL,113445,4,1,5,96209,13308,767,117,3049
KARAK,KARAK,DISTRICT,RURAL,103778,4,1,5,88246,11904,712,77,2844
KARAK,KARAK,DISTRICT,URBAN,9667,,,,7963,1404,55,40,205
BANDA DAUD SHAH,KARAK,TEHSIL,OVERALL,26562,,,,22040,3792,157,18,555
BANDA DAUD SHAH,KARAK,TEHSIL,RURAL,26562,,,,22040,3792,157,18,555
BANDA DAUD SHAH,KARAK,TEHSIL,URBAN,,,,,,,,,
KARAK,KARAK,TEHSIL,OVERALL,48208,2,,1,41656,5225,187,81,1060
KARAK,KARAK,TEHSIL,RURAL,38541,2,,1,33693,3821,132,41,855
KARAK,KARAK,TEHSIL,URBAN,9667,,,,7963,1404,55,40,205
TAKHT-E-NASRATI,KARAK,TEHSIL,OVERALL,38675,2,1,4,32513,4291,423,18,1434
TAKHT-E-NASRATI,KARAK,TEHSIL,RURAL,38675,2,1,4,32513,4291,423,18,1434
TAKHT-E-NASRATI,KARAK,TEHSIL,URBAN,,,,,,,,,
KHYBER,KHYBER,DISTRICT,OVERALL,113817,3,2,15,98909,10556,786,186,3368
KHYBER,KHYBER,DISTRICT,RURAL,103085,3,,,90145,9147,671,174,2953
KHYBER,KHYBER,DISTRICT,URBAN,10732,,2,15,8764,1409,115,12,415
BARA,KHYBER,TEHSIL,OVERALL,56565,1,,,48670,5649,454,113,1678
BARA,KHYBER,TEHSIL,RURAL,56565,1,,,48670,5649,454,113,1678
BARA,KHYBER,TEHSIL,URBAN,,,,,,,,,
JAMRUD,KHYBER,TEHSIL,OVERALL,25412,,,,22176,2161,99,53,931
JAMRUD,KHYBER,TEHSIL,RURAL,18323,,,,16276,1388,64,51,552
JAMRUD,KHYBER,TEHSIL,URBAN,7089,,,,5900,773,35,2,379
LANDI KOTAL,KHYBER,TEHSIL,OVERALL,27304,,2,15,24091,2405,197,11,583
LANDI KOTAL,KHYBER,TEHSIL,RURAL,23661,,,,21227,1769,117,1,547
LANDI KOTAL,KHYBER,TEHSIL,URBAN,3643,,2,15,2864,636,80,10,36
MULLA GORI,KHYBER,TEHSIL,OVERALL,4536,2,,,3972,341,36,9,176
MULLA GORI,KHYBER,TEHSIL,RURAL,4536,2,,,3972,341,36,9,176
MULLA GORI,KHYBER,TEHSIL,URBAN,,,,,,,,,
KOHAT,KOHAT,DISTRICT,OVERALL,182897,71,6,5,152862,20197,2884,298,6574
KOHAT,KOHAT,DISTRICT,RURAL,135494,,5,3,115165,13539,1975,257,4550
KOHAT,KOHAT,DISTRICT,URBAN,47403,71,1,2,37697,6658,909,41,2024
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,OVERALL,18595,,,,15969,1886,280,4,456
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,RURAL,18595,,,,15969,1886,280,4,456
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,URBAN,,,,,,,,,
GUMBAT,KOHAT,TEHSIL,OVERALL,19238,,,1,16793,1847,248,11,338
GUMBAT,KOHAT,TEHSIL,RURAL,19238,,,1,16793,1847,248,11,338
GUMBAT,KOHAT,TEHSIL,URBAN,,,,,,,,,
KOHAT,KOHAT,TEHSIL,OVERALL,117656,71,6,4,96455,13398,2235,240,5247
KOHAT,KOHAT,TEHSIL,RURAL,78953,,5,2,65676,8335,1354,200,3381
KOHAT,KOHAT,TEHSIL,URBAN,38703,71,1,2,30779,5063,881,40,1866
LACHI,KOHAT,TEHSIL,OVERALL,27408,,,,23645,3066,121,43,533
LACHI,KOHAT,TEHSIL,RURAL,18708,,,,16727,1471,93,42,375
LACHI,KOHAT,TEHSIL,URBAN,8700,,,,6918,1595,28,1,158
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,21006,16,,1,16829,2012,447,623,1078
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,21006,16,,1,16829,2012,447,623,1078
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,,,
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,12171,4,,,9551,1255,154,376,831
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,12171,4,,,9551,1255,154,376,831
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,8835,12,,1,7278,757,293,247,247
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,8835,12,,1,7278,757,293,247,247
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,
