name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Primary Completed,55824,30050,25749,25,,,,,55824,30050,25749,25
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Enrolment Primary,100326,52086,48240,,,,,,100326,52086,48240,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Enrolment Middle,40107,18980,21126,1,,,,,40107,18980,21126,1
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Enrolment Matric,27368,13722,13646,,,,,,27368,13722,13646,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Enrolment Intermidiate,19034,9841,9193,,,,,,19034,9841,9193,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Enrolment Graduation above,44260,22059,22199,2,,,,,44260,22059,22199,2
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Never to School (all),201820,89548,112246,26,,,,,201820,89548,112246,26
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Drop Out (5 - 16),18164,10182,7982,,,,,,18164,10182,7982,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Never to School (5-16),30819,14756,16063,,,,,,30819,14756,16063,
BAHAWALPUR CITY,BAHAWALPUR,TEHSIL,Out of School Children (5-16),48983,24938,24045,,,,,,48983,24938,24045,
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Population >=5,559862,287100,272662,100,441944,224878,217024,42,117918,62222,55638,58
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Population >=10,467981,240468,227413,100,367515,187167,180306,42,100466,53301,47107,58
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Literate >=10,245963,143725,102198,40,182842,107774,75056,12,63121,35951,27142,28
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Literate %,52.56,59.77,44.94,40,49.75,57.58,41.63,28.57,62.83,67.45,57.62,48.28
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Ever Attended,299178,171528,127615,35,223601,128912,94679,10,75577,42616,32936,25
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Primary Completed,50613,29071,21530,12,40796,23592,17203,1,9817,5479,4327,11
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Enrolment Primary,79920,40904,39016,,63611,32315,31296,,16309,8589,7720,
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Enrolment Middle,24891,12279,12606,6,18700,9294,9406,,6191,2985,3200,6
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Enrolment Matric,12570,6460,6110,,8803,4563,4240,,3767,1897,1870,
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Enrolment Intermidiate,7216,3713,3503,,4849,2502,2347,,2367,1211,1156,
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Enrolment Graduation above,8028,4079,3949,,5513,2826,2687,,2515,1253,1262,
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Never to School (all),260684,115572,145047,65,218343,95966,122345,32,42341,19606,22702,33
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Drop Out (5 - 16),21091,11303,9786,2,16590,8852,7737,1,4501,2451,2049,1
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Never to School (5-16),55734,27167,28556,11,47863,23345,24511,7,7871,3822,4045,4
BAHAWALPUR SADDAR,BAHAWALPUR,TEHSIL,Out of School Children (5-16),76825,38470,38342,13,64453,32197,32248,8,12372,6273,6094,5
HASILPUR,BAHAWALPUR,TEHSIL,Population >=5,440935,220639,220254,42,270088,135248,134833,7,170847,85391,85421,35
