name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,15 - 24,233,82,151,,233,82,151,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,15 - 49,233,82,151,,233,82,151,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,25 - 40,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,41 - 60,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,5 - 16,7906,2957,4949,,7906,2957,4949,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,5 - 9,5643,2115,3528,,5643,2115,3528,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,>18,53,19,34,,53,19,34,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Enrolment Primary,>60,,,,,,,,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,10 - 12,4097,1618,2479,,4097,1618,2479,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,13 - 14,1737,522,1215,,1737,522,1215,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,15 - 24,4851,1150,3701,,4851,1150,3701,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,15 - 49,8145,1421,6724,,8145,1421,6724,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,25 - 40,2783,258,2525,,2783,258,2525,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,41 - 60,762,21,741,,762,21,741,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,5 - 16,13164,4869,8295,,13164,4869,8295,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,5 - 9,5993,2299,3694,,5993,2299,3694,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,>18,6108,714,5394,,6108,714,5394,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Ever Attended,>60,86,2,84,,86,2,84,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,10 - 12,3903,1578,2325,,3903,1578,2325,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,13 - 14,1780,573,1207,,1780,573,1207,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,15 - 24,5354,1441,3913,,5354,1441,3913,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Literate,15 - 49,9577,2142,7435,,9577,2142,7435,,,,,
