name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BALOCHISTAN,PROVINCE,FATHER/MOTHER,MARRIED,46891,23629,,30395,15118,,16496,8511,
BALOCHISTAN,PROVINCE,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BALOCHISTAN,PROVINCE,FATHER/MOTHER,SEPARATION,583,81,,455,54,,128,27,
BALOCHISTAN,PROVINCE,FATHER/MOTHER,WIDOWED,61905,4665,,38279,3001,,23626,1664,
BALOCHISTAN,PROVINCE,GRAND FATHER/GRAND MOTHER,DIVORCED,27,11,,24,10,,3,1,
BALOCHISTAN,PROVINCE,GRAND FATHER/GRAND MOTHER,MARRIED,2248,2001,,1596,1421,,652,580,
BALOCHISTAN,PROVINCE,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,5,15,,1,14,,4,1,
BALOCHISTAN,PROVINCE,GRAND FATHER/GRAND MOTHER,SEPARATION,33,23,,24,16,,9,7,
BALOCHISTAN,PROVINCE,GRAND FATHER/GRAND MOTHER,WIDOWED,2388,567,,1802,432,,586,135,
BALOCHISTAN,PROVINCE,GRAND SON/GRAND DAUGHTER,DIVORCED,11,8,0,8,6,0,3,2,0
BALOCHISTAN,PROVINCE,GRAND SON/GRAND DAUGHTER,MARRIED,1705,3292,0,1075,2115,0,630,1177,0
BALOCHISTAN,PROVINCE,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,14833,19359,2,8096,11288,1,6737,8071,1
BALOCHISTAN,PROVINCE,GRAND SON/GRAND DAUGHTER,SEPARATION,13,12,0,6,10,0,7,2,0
BALOCHISTAN,PROVINCE,GRAND SON/GRAND DAUGHTER,WIDOWED,22,19,0,12,13,0,10,6,0
BALOCHISTAN,PROVINCE,HEAD,DIVORCED,1244,2040,0,898,1429,0,346,611,0
BALOCHISTAN,PROVINCE,HEAD,MARRIED,26892,2086680,0,19759,1499257,0,7133,587423,0
BALOCHISTAN,PROVINCE,HEAD,NEVER MARRIED,4159,119167,313,2834,81957,164,1325,37210,149
BALOCHISTAN,PROVINCE,HEAD,SEPARATION,901,2318,0,770,1812,0,131,506,0
BALOCHISTAN,PROVINCE,HEAD,WIDOWED,32979,23396,0,23911,16358,0,9068,7038,0
BALOCHISTAN,PROVINCE,NEPHEW/NIECE,DIVORCED,55,16,0,37,13,0,18,3,0
BALOCHISTAN,PROVINCE,NEPHEW/NIECE,MARRIED,3090,8418,0,1862,5125,0,1228,3293,0
BALOCHISTAN,PROVINCE,NEPHEW/NIECE,NEVER MARRIED,21269,29804,14,10830,15972,8,10439,13832,6
BALOCHISTAN,PROVINCE,NEPHEW/NIECE,SEPARATION,20,23,0,17,16,0,3,7,0
BALOCHISTAN,PROVINCE,NEPHEW/NIECE,WIDOWED,133,72,0,91,51,0,42,21,0
BALOCHISTAN,PROVINCE,NON-RELATIVE,DIVORCED,41,34,0,31,22,0,10,12,0
BALOCHISTAN,PROVINCE,NON-RELATIVE,MARRIED,3341,9380,0,2191,5160,0,1150,4220,0
BALOCHISTAN,PROVINCE,NON-RELATIVE,NEVER MARRIED,5192,18340,50,2236,9301,11,2956,9039,39
BALOCHISTAN,PROVINCE,NON-RELATIVE,SEPARATION,26,72,0,21,51,0,5,21,0
BALOCHISTAN,PROVINCE,NON-RELATIVE,WIDOWED,293,332,0,167,231,0,126,101,0
BALOCHISTAN,PROVINCE,OTHER RELATIVE,DIVORCED,302,109,0,210,74,0,92,35,0
BALOCHISTAN,PROVINCE,OTHER RELATIVE,MARRIED,24247,30784,0,15652,19990,0,8595,10794,0
BALOCHISTAN,PROVINCE,OTHER RELATIVE,NEVER MARRIED,21036,39201,42,12556,24089,25,8480,15112,17
BALOCHISTAN,PROVINCE,OTHER RELATIVE,SEPARATION,198,159,0,154,110,0,44,49,0
BALOCHISTAN,PROVINCE,OTHER RELATIVE,WIDOWED,4856,1576,0,3140,1122,0,1716,454,0
BALOCHISTAN,PROVINCE,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,59,2,0,42,2,0,17,0,0
BALOCHISTAN,PROVINCE,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,60972,2799,0,33156,1595,0,27816,1204,0
BALOCHISTAN,PROVINCE,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,4918,1405,6,2949,822,6,1969,583,0
BALOCHISTAN,PROVINCE,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,44,9,0,34,7,0,10,2,0
BALOCHISTAN,PROVINCE,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,2986,51,0,1803,33,0,1183,18,0
BALOCHISTAN,PROVINCE,SON/DAUGHTER,DIVORCED,1546,345,0,982,214,0,564,131,0
BALOCHISTAN,PROVINCE,SON/DAUGHTER,MARRIED,59258,207891,0,37326,120770,0,21932,87121,0
BALOCHISTAN,PROVINCE,SON/DAUGHTER,NEVER MARRIED,754762,924824,200,483583,605550,141,271179,319274,59
BALOCHISTAN,PROVINCE,SON/DAUGHTER,SEPARATION,544,433,0,363,321,0,181,112,0
BALOCHISTAN,PROVINCE,SON/DAUGHTER,WIDOWED,2930,1030,0,1869,676,0,1061,354,0
BALOCHISTAN,PROVINCE,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
BALOCHISTAN,PROVINCE,SPOUSE,MARRIED,2113878,11637,,1529064,8649,,584814,2988,
BALOCHISTAN,PROVINCE,SPOUSE,NEVER MARRIED,36,3,,22,2,,14,1,
BALOCHISTAN,PROVINCE,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
BALOCHISTAN,PROVINCE,SPOUSE,WIDOWED,7,0,,5,0,,2,0,
BARKHAN,DISTRICT,BROTHER/SISTER,DIVORCED,15,1,0,13,1,0,2,0,0
BARKHAN,DISTRICT,BROTHER/SISTER,MARRIED,268,3453,0,257,3163,0,11,290,0
BARKHAN,DISTRICT,BROTHER/SISTER,NEVER MARRIED,1183,2159,2,1029,1949,1,154,210,1
BARKHAN,DISTRICT,BROTHER/SISTER,SEPARATION,4,3,0,4,3,0,0,0,0
BARKHAN,DISTRICT,BROTHER/SISTER,WIDOWED,66,43,0,59,39,0,7,4,0
BARKHAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,3939,200,,3460,185,,479,15,
BARKHAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,34,0,,30,0,,4,0,
BARKHAN,DISTRICT,FATHER/MOTHER,DIVORCED,2,4,,2,4,,0,0,
BARKHAN,DISTRICT,FATHER/MOTHER,MARRIED,1114,601,,1028,553,,86,48,
BARKHAN,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,FATHER/MOTHER,SEPARATION,7,0,,7,0,,0,0,
BARKHAN,DISTRICT,FATHER/MOTHER,WIDOWED,1483,98,,1293,91,,190,7,
BARKHAN,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,1,0,,1,0,,0,0,
BARKHAN,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,56,45,,55,45,,1,0,
