name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
LAWA,CHAKWAL,TEHSIL,RURAL,19115,17997,565,553,74,305,17982,754,16717,1817
LAWA,CHAKWAL,TEHSIL,URBAN,3086,3005,57,24,69,122,2867,28,2814,130
TALA GANG,CHAKWAL,TEHSIL,OVERALL,79161,76659,1297,1205,24743,3470,48944,2004,70056,5785
TALA GANG,CHAKWAL,TEHSIL,RURAL,65357,63051,1203,1103,13469,2571,47418,1899,57684,5428
TALA GANG,CHAKWAL,TEHSIL,URBAN,13804,13608,94,102,11274,899,1526,105,12372,357
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,241660,3841,10937,63177,5561,166475,21225,128318,97811
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,160238,3319,9786,6925,1275,144853,20290,73414,80462
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,81422,522,1151,56252,4286,21622,935,54904,17349
BHAWANA,CHINIOT,TEHSIL,OVERALL,69433,63978,963,4492,3088,877,54079,11389,29108,32823
BHAWANA,CHINIOT,TEHSIL,RURAL,63333,57950,938,4445,260,382,51579,11112,25285,30975
BHAWANA,CHINIOT,TEHSIL,URBAN,6100,6028,25,47,2828,495,2500,277,3823,1848
CHINIOT,CHINIOT,TEHSIL,OVERALL,103876,100181,1230,2465,40276,2267,56409,4924,56571,33544
CHINIOT,CHINIOT,TEHSIL,RURAL,51227,48689,952,1586,4487,301,41966,4473,23780,21354
CHINIOT,CHINIOT,TEHSIL,URBAN,52649,51492,278,879,35789,1966,14443,451,32791,12190
LALIAN,CHINIOT,TEHSIL,OVERALL,83129,77501,1648,3980,19813,2417,55987,4912,42639,31444
LALIAN,CHINIOT,TEHSIL,RURAL,58783,53599,1429,3755,2178,592,51308,4705,24349,28133
LALIAN,CHINIOT,TEHSIL,URBAN,24346,23902,219,225,17635,1825,4679,207,18290,3311
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,366969,45273,42222,54723,13681,369099,16961,192504,198997
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,255705,43926,40234,7041,2115,315582,15127,117861,174174
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,111264,1347,1988,47682,11566,53517,1834,74643,24823
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,OVERALL,177702,164480,3669,9553,39448,10576,120174,7504,90294,59886
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,RURAL,104002,92237,3147,8618,2299,774,94494,6435,40008,46089
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,URBAN,73700,72243,522,935,37149,9802,25680,1069,50286,13797
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,OVERALL,41138,5921,25590,9627,263,31,39737,1107,10663,27440
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,RURAL,41138,5921,25590,9627,263,31,39737,1107,10663,27440
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,URBAN,,,,,,,,,,
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,OVERALL,114956,92972,6325,15659,575,1792,107149,5440,40795,54102
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,RURAL,99653,78286,6193,15174,434,915,93434,4870,33383,48949
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,URBAN,15303,14686,132,485,141,877,13715,570,7412,5153
TAUNSA,DERA GHAZI KHAN,TEHSIL,OVERALL,120668,103596,9689,7383,14437,1282,102039,2910,50752,57569
TAUNSA,DERA GHAZI KHAN,TEHSIL,RURAL,95072,79261,8996,6815,4045,395,87917,2715,33807,51696
TAUNSA,DERA GHAZI KHAN,TEHSIL,URBAN,25596,24335,693,568,10392,887,14122,195,16945,5873
