name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
HASAN ABDAL,TEHSIL,ATTOCK,RURAL,UN-INHABITED,1,,,,,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,OVERALL,75,323572,163256,160314,2,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,"5,000 AND ABOVE",23,196420,99276,97142,2,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,"2,000 -- 4,999",29,97765,49178,48587,,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,"1,000 -- 1,999",18,27644,13921,13723,,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,500 -- 999,1,916,468,448,,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,200 -- 499,2,746,368,378,,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,LESS THAN 200,1,81,45,36,,Rural Localities
HAZRO,TEHSIL,ATTOCK,RURAL,UN-INHABITED,1,,,,,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,OVERALL,78,274074,135158,138913,3,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,"5,000 AND ABOVE",20,182363,90050,92312,1,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,"2,000 -- 4,999",22,67352,33108,34242,2,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,"1,000 -- 1,999",14,19042,9363,9679,,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,500 -- 999,4,2705,1329,1376,,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,200 -- 499,5,1639,813,826,,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,LESS THAN 200,11,973,495,478,,Rural Localities
JAND,TEHSIL,ATTOCK,RURAL,UN-INHABITED,2,,,,,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,OVERALL,78,245068,121265,123801,2,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,"5,000 AND ABOVE",16,138851,68768,70082,1,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,"2,000 -- 4,999",23,70329,34692,35636,1,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,"1,000 -- 1,999",18,26854,13222,13632,,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,500 -- 999,11,8300,4207,4093,,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,200 -- 499,1,232,110,122,,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,LESS THAN 200,5,502,266,236,,Rural Localities
PINDI GHEB,TEHSIL,ATTOCK,RURAL,UN-INHABITED,4,,,,,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,OVERALL,1149,2576224,1339315,1236809,100,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",89,679390,353929,325412,49,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",413,1262671,655242,607391,38,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",327,499488,259363,240114,11,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,500 -- 999,140,105706,55293,50411,2,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,200 -- 499,65,22283,11774,10509,,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,LESS THAN 200,102,6686,3714,2972,,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,UN-INHABITED,13,,,,,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,OVERALL,232,695026,362469,332530,27,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",38,287199,149860,137320,19,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",87,283635,147494,136135,6,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",66,101896,53330,48564,2,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,500 -- 999,24,18199,9653,8546,,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,200 -- 499,11,3452,1795,1657,,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,LESS THAN 200,5,645,337,308,,Rural Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,RURAL,UN-INHABITED,1,,,,,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,OVERALL,208,615910,319728,296136,46,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",26,231115,120241,110849,25,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",97,295590,153062,142512,16,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",44,67732,35020,32709,3,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,500 -- 999,22,16378,8773,7603,2,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,200 -- 499,13,4425,2271,2154,,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,LESS THAN 200,6,670,361,309,,Rural Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,RURAL,UN-INHABITED,,,,,,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,OVERALL,281,376188,195960,180222,6,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",2,13130,6808,6322,,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",79,224031,116930,107097,4,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",71,108107,55896,52209,2,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,500 -- 999,27,20855,10756,10099,,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,200 -- 499,18,6155,3347,2808,,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,LESS THAN 200,77,3910,2223,1687,,Rural Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,RURAL,UN-INHABITED,7,,,,,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,OVERALL,170,404211,208409,195789,13,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",9,54807,28473,26332,2,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",84,244567,125725,118832,10,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",62,94664,49040,45623,1,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,500 -- 999,13,9747,4921,4826,,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,200 -- 499,1,238,147,91,,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,LESS THAN 200,1,188,103,85,,Rural Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,RURAL,UN-INHABITED,,,,,,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,OVERALL,258,484889,252749,232132,8,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",14,93139,48547,44589,3,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",66,214848,112031,102815,2,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",84,127089,66077,61009,3,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,500 -- 999,54,40527,21190,19337,,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,200 -- 499,22,8013,4214,3799,,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,LESS THAN 200,13,1273,690,583,,Rural Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,RURAL,UN-INHABITED,5,,,,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,OVERALL,1168,2665643,1351661,1313845,137,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,"5,000 AND ABOVE",181,1483726,752502,731146,78,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,"2,000 -- 4,999",263,831481,420384,411044,53,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,"1,000 -- 1,999",172,259948,131679,128263,6,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,500 -- 999,79,58795,30129,28666,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,200 -- 499,62,20481,10690,9791,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,LESS THAN 200,202,11212,6277,4935,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,UN-INHABITED,209,,,,,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,OVERALL,172,958883,488312,470552,19,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,"5,000 AND ABOVE",92,749987,381629,368346,12,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,"2,000 -- 4,999",47,168743,86277,82459,7,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,"1,000 -- 1,999",22,32924,16693,16231,,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,500 -- 999,7,6088,3131,2957,,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,200 -- 499,3,1100,564,536,,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,LESS THAN 200,1,41,18,23,,Rural Localities
AHMADPUR EAST,TEHSIL,BAHAWALPUR,RURAL,UN-INHABITED,,,,,,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,OVERALL,112,524996,266854,258100,42,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,"5,000 AND ABOVE",40,344303,174754,169526,23,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,"2,000 -- 4,999",47,152545,77827,74699,19,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,"1,000 -- 1,999",16,24583,12436,12147,,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,500 -- 999,2,1465,760,705,,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,200 -- 499,6,1966,1006,960,,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,LESS THAN 200,1,134,71,63,,Rural Localities
BAHAWALPUR SADDAR,TEHSIL,BAHAWALPUR,RURAL,UN-INHABITED,,,,,,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,OVERALL,104,311967,156123,155837,7,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,"5,000 AND ABOVE",13,118324,59711,58610,3,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,"2,000 -- 4,999",46,138067,68672,69392,3,Rural Localities
HASILPUR,TEHSIL,BAHAWALPUR,RURAL,"1,000 -- 1,999",32,47061,23467,23593,1,Rural Localities
