name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
KOHAT,KOHAT,DISTRICT,RURAL,127770,110567,88373,39397,39354,57506,12728,16,298,17868
KOHAT,KOHAT,DISTRICT,URBAN,41909,41157,30490,11419,19675,16462,1315,45,9,4403
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,OVERALL,18161,14889,9874,8287,8535,4623,1721,,79,3203
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,RURAL,18161,14889,9874,8287,8535,4623,1721,,79,3203
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,URBAN,,,,,,,,,,
GUMBAT,KOHAT,TEHSIL,OVERALL,18466,15868,12028,6438,6355,7893,920,15,22,3261
GUMBAT,KOHAT,TEHSIL,RURAL,18466,15868,12028,6438,6355,7893,920,15,22,3261
GUMBAT,KOHAT,TEHSIL,URBAN,,,,,,,,,,
KOHAT,KOHAT,TEHSIL,OVERALL,111368,103851,90467,20901,38973,56338,9413,44,170,6430
KOHAT,KOHAT,TEHSIL,RURAL,75605,68738,61523,14082,21217,40369,8139,,161,5719
KOHAT,KOHAT,TEHSIL,URBAN,35763,35113,28944,6819,17756,15969,1274,44,9,711
LACHI,KOHAT,TEHSIL,OVERALL,21684,17116,6494,15190,5166,5114,1989,2,36,9377
LACHI,KOHAT,TEHSIL,RURAL,15538,11072,4948,10590,3247,4621,1948,1,36,5685
LACHI,KOHAT,TEHSIL,URBAN,6146,6044,1546,4600,1919,493,41,1,,3692
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,33983,9014,5996,27987,8494,241,394,5,47,24802
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,33983,9014,5996,27987,8494,241,394,5,47,24802
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,0,,,,,,,,,
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,19313,5028,3630,15683,4714,152,208,1,30,14208
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,19313,5028,3630,15683,4714,152,208,1,30,14208
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,0,,,,,,,,,
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,14670,3986,2366,12304,3780,89,186,4,17,10594
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,14670,3986,2366,12304,3780,89,186,4,17,10594
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,0,,,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,94548,60938,49726,44822,38957,6767,14040,186,131,34467
KURRAM,KURRAM,DISTRICT,RURAL,89810,56735,46672,43138,37451,5899,12588,8,120,33744
KURRAM,KURRAM,DISTRICT,URBAN,4738,4203,3054,1684,1506,868,1452,178,11,723
CENTRAL KURRAM F.R,KURRAM,TEHSIL,OVERALL,41111,17100,15346,25765,15728,242,1743,1,44,23353
CENTRAL KURRAM F.R,KURRAM,TEHSIL,RURAL,41111,17100,15346,25765,15728,242,1743,1,44,23353
CENTRAL KURRAM F.R,KURRAM,TEHSIL,URBAN,0,,,,,,,,,
LOWER KURRAM,KURRAM,TEHSIL,OVERALL,19319,16180,13671,5648,5776,4074,7409,1,68,1991
LOWER KURRAM,KURRAM,TEHSIL,RURAL,15376,12769,10800,4576,4524,3213,5957,,57,1625
LOWER KURRAM,KURRAM,TEHSIL,URBAN,3943,3411,2871,1072,1252,861,1452,1,11,366
UPPER KURRAM,KURRAM,TEHSIL,OVERALL,34118,27658,20709,13409,17453,2451,4888,184,19,9123
UPPER KURRAM,KURRAM,TEHSIL,RURAL,33323,26866,20526,12797,17199,2444,4888,7,19,8766
UPPER KURRAM,KURRAM,TEHSIL,URBAN,795,792,183,612,254,7,,177,,357
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,131800,118298,86372,45428,50018,49970,8148,29,178,23457
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,117906,104891,74120,43786,43975,42934,7834,28,171,22964
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,13894,13407,12252,1642,6043,7036,314,1,7,493
BETTANI,LAKKI MARWAT,SUB-DIVISION,OVERALL,5016,3056,2143,2873,887,1778,494,1,2,1854
BETTANI,LAKKI MARWAT,SUB-DIVISION,RURAL,5016,3056,2143,2873,887,1778,494,1,2,1854
BETTANI,LAKKI MARWAT,SUB-DIVISION,URBAN,,,,,,,,,,
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,OVERALL,43615,39225,25596,18019,17248,9139,3847,14,127,13240
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,RURAL,43615,39225,25596,18019,17248,9139,3847,14,127,13240
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,URBAN,,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,OVERALL,45072,41083,30339,14733,12618,24521,3260,7,17,4649
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,RURAL,34902,31346,21430,13472,9076,18639,2959,6,10,4212
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,URBAN,10170,9737,8909,1261,3542,5882,301,1,7,437
SARAI NAURANG,LAKKI MARWAT,TEHSIL,OVERALL,38097,34934,28294,9803,19265,14532,547,7,32,3714
SARAI NAURANG,LAKKI MARWAT,TEHSIL,RURAL,34373,31264,24951,9422,16764,13378,534,7,32,3658
SARAI NAURANG,LAKKI MARWAT,TEHSIL,URBAN,3724,3670,3343,381,2501,1154,13,,,56
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,46028,38085,29480,16548,36037,772,1317,,87,7815
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,37673,30043,21703,15970,28228,615,1236,,87,7507
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,8355,8042,7777,578,7809,157,81,,,308
CHITRAL,LOWER CHITRAL,SUB-DIVISION,OVERALL,30425,28294,22241,8184,27554,365,453,,16,2037
CHITRAL,LOWER CHITRAL,SUB-DIVISION,RURAL,22070,20252,14464,7606,19745,208,372,,16,1729
CHITRAL,LOWER CHITRAL,SUB-DIVISION,URBAN,8355,8042,7777,578,7809,157,81,,,308
DROSH,LOWER CHITRAL,SUB-DIVISION,OVERALL,15603,9791,7239,8364,8483,407,864,,71,5778
DROSH,LOWER CHITRAL,SUB-DIVISION,RURAL,15603,9791,7239,8364,8483,407,864,,71,5778
DROSH,LOWER CHITRAL,SUB-DIVISION,URBAN,,,,,,,,,,
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,202836,147642,100703,102133,56392,44294,51530,34,97,50489
LOWER DIR,LOWER DIR,DISTRICT,RURAL,196763,141982,96274,100489,53294,42964,50354,33,91,50027
LOWER DIR,LOWER DIR,DISTRICT,URBAN,6073,5660,4429,1644,3098,1330,1176,1,6,462
ADENZAI,LOWER DIR,SUB-DIVISION,OVERALL,48639,36043,25760,22879,13077,8860,15409,26,43,11224
ADENZAI,LOWER DIR,SUB-DIVISION,RURAL,48639,36043,25760,22879,13077,8860,15409,26,43,11224
ADENZAI,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,,
LAL QILA,LOWER DIR,SUB-DIVISION,OVERALL,29037,20867,12698,16339,9314,4723,7002,,12,7986
LAL QILA,LOWER DIR,SUB-DIVISION,RURAL,29037,20867,12698,16339,9314,4723,7002,,12,7986
LAL QILA,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,,
SAMARBAGH,LOWER DIR,SUB-DIVISION,OVERALL,53470,38953,30900,22570,12912,13400,13680,2,11,13465
SAMARBAGH,LOWER DIR,SUB-DIVISION,RURAL,53470,38953,30900,22570,12912,13400,13680,2,11,13465
SAMARBAGH,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,,
TEMERGARA,LOWER DIR,SUB-DIVISION,OVERALL,71690,51779,31345,40345,21089,17311,15439,6,31,17814
TEMERGARA,LOWER DIR,SUB-DIVISION,RURAL,65617,46119,26916,38701,17991,15981,14263,5,25,17352
TEMERGARA,LOWER DIR,SUB-DIVISION,URBAN,6073,5660,4429,1644,3098,1330,1176,1,6,462
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,47347,21612,17371,29976,20718,216,1101,3,50,25259
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,47347,21612,17371,29976,20718,216,1101,3,50,25259
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,OVERALL,23752,10652,8968,14784,10086,107,823,,35,12701
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,RURAL,23752,10652,8968,14784,10086,107,823,,35,12701
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,URBAN,,,,,,,,,,
PATTAN,LOWER KOHISTAN,SUB-DIVISION,OVERALL,23595,10960,8403,15192,10632,109,278,3,15,12558
PATTAN,LOWER KOHISTAN,SUB-DIVISION,RURAL,23595,10960,8403,15192,10632,109,278,3,15,12558
PATTAN,LOWER KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,,
MALAKAND,MALAKAND,DISTRICT,OVERALL,113118,102648,89510,23608,27372,63429,13256,52,40,8969
MALAKAND,MALAKAND,DISTRICT,RURAL,102779,92779,80365,22414,23163,59069,11802,30,36,8679
MALAKAND,MALAKAND,DISTRICT,URBAN,10339,9869,9145,1194,4209,4360,1454,22,4,290
SAM RANI ZAI,MALAKAND,SUB-DIVISION,OVERALL,48618,46433,41954,6664,5333,37667,3984,2,7,1625
SAM RANI ZAI,MALAKAND,SUB-DIVISION,RURAL,48618,46433,41954,6664,5333,37667,3984,2,7,1625
SAM RANI ZAI,MALAKAND,SUB-DIVISION,URBAN,,,,,,,,,,
SWAT RANI ZAI,MALAKAND,SUB-DIVISION,OVERALL,64500,56215,47556,16944,22039,25762,9272,50,33,7344
SWAT RANI ZAI,MALAKAND,SUB-DIVISION,RURAL,54161,46346,38411,15750,17830,21402,7818,28,29,7054
SWAT RANI ZAI,MALAKAND,SUB-DIVISION,URBAN,10339,9869,9145,1194,4209,4360,1454,22,4,290
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,294052,232361,145344,148708,114024,76631,48966,170,207,54054
MANSEHRA,MANSEHRA,DISTRICT,RURAL,267481,206595,123557,143924,108318,58957,46970,44,162,53030
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26571,25766,21787,4784,5706,17674,1996,126,45,1024
BAFFA PAKHAL,MANSEHRA,TEHSIL,OVERALL,76612,61226,39104,37508,35839,9166,18988,2,40,12577
BAFFA PAKHAL,MANSEHRA,TEHSIL,RURAL,73704,58426,36876,36828,34188,8939,18050,2,40,12485
BAFFA PAKHAL,MANSEHRA,TEHSIL,URBAN,2908,2800,2228,680,1651,227,938,,,92
BALAKOT,MANSEHRA,TEHSIL,OVERALL,53597,38503,23314,30283,33874,3048,1704,1,13,14957
BALAKOT,MANSEHRA,TEHSIL,RURAL,53597,38503,23314,30283,33874,3048,1704,1,13,14957
BALAKOT,MANSEHRA,TEHSIL,URBAN,,,,,,,,,,
DARBAND,MANSEHRA,TEHSIL,OVERALL,7671,5178,3251,4420,4980,186,164,,4,2337
DARBAND,MANSEHRA,TEHSIL,RURAL,7671,5178,3251,4420,4980,186,164,,4,2337
DARBAND,MANSEHRA,TEHSIL,URBAN,,,,,,,,,,
MANSEHRA,MANSEHRA,TEHSIL,OVERALL,118936,101426,67193,51743,24655,60668,19144,154,142,14173
MANSEHRA,MANSEHRA,TEHSIL,RURAL,95273,78460,47634,47639,20600,43221,18086,28,97,13241
MANSEHRA,MANSEHRA,TEHSIL,URBAN,23663,22966,19559,4104,4055,17447,1058,126,45,932
OGHI,MANSEHRA,TEHSIL,OVERALL,37236,26028,12482,24754,14676,3563,8966,13,8,10010
OGHI,MANSEHRA,TEHSIL,RURAL,37236,26028,12482,24754,14676,3563,8966,13,8,10010
OGHI,MANSEHRA,TEHSIL,URBAN,,,,,,,,,,
MARDAN,MARDAN,DISTRICT,OVERALL,400859,390381,376225,24634,39456,342013,9929,142,102,9217
MARDAN,MARDAN,DISTRICT,RURAL,332734,323279,312023,20711,29621,285187,9639,130,89,8068
MARDAN,MARDAN,DISTRICT,URBAN,68125,67102,64202,3923,9835,56826,290,12,13,1149
GHARI KAPOORA,MARDAN,TEHSIL,OVERALL,48819,47475,46929,1890,4417,42375,826,,2,1199
GHARI KAPOORA,MARDAN,TEHSIL,RURAL,48819,47475,46929,1890,4417,42375,826,,2,1199
GHARI KAPOORA,MARDAN,TEHSIL,URBAN,,,,,,,,,,
KATLANG,MARDAN,TEHSIL,OVERALL,50733,48667,45417,5316,7687,38973,2451,3,13,1606
KATLANG,MARDAN,TEHSIL,RURAL,50733,48667,45417,5316,7687,38973,2451,3,13,1606
KATLANG,MARDAN,TEHSIL,URBAN,,,,,,,,,,
MARDAN,MARDAN,TEHSIL,OVERALL,152354,149580,146415,5939,15651,132227,1741,123,38,2574
MARDAN,MARDAN,TEHSIL,RURAL,97551,95458,94109,3442,7939,86071,1512,112,33,1884
MARDAN,MARDAN,TEHSIL,URBAN,54803,54122,52306,2497,7712,46156,229,11,5,690
RUSTAM,MARDAN,TEHSIL,OVERALL,40992,39001,35895,5097,3434,33288,2636,1,3,1630
RUSTAM,MARDAN,TEHSIL,RURAL,40992,39001,35895,5097,3434,33288,2636,1,3,1630
RUSTAM,MARDAN,TEHSIL,URBAN,,,,,,,,,,
TAKHT BHAI,MARDAN,TEHSIL,OVERALL,107961,105658,101569,6392,8267,95150,2275,15,46,2208
TAKHT BHAI,MARDAN,TEHSIL,RURAL,94639,92678,89673,4966,6144,84480,2214,14,38,1749
TAKHT BHAI,MARDAN,TEHSIL,URBAN,13322,12980,11896,1426,2123,10670,61,1,8,459
MOHMAND,MOHMAND,DISTRICT,OVERALL,63973,47984,26855,37118,12041,18478,20217,14,48,13175
MOHMAND,MOHMAND,DISTRICT,RURAL,63973,47984,26855,37118,12041,18478,20217,14,48,13175
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,,,,
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,OVERALL,10021,6974,3828,6193,1134,3174,3054,1,6,2652
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,RURAL,10021,6974,3828,6193,1134,3174,3054,1,6,2652
AMBAR UTMAN KHEL,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
HALIM ZAI,MOHMAND,TEHSIL,OVERALL,10149,9048,4464,5685,2448,1904,4193,,4,1600
HALIM ZAI,MOHMAND,TEHSIL,RURAL,10149,9048,4464,5685,2448,1904,4193,,4,1600
HALIM ZAI,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
PINDIALI,MOHMAND,TEHSIL,OVERALL,13364,10321,4764,8600,2029,4793,4407,1,6,2128
PINDIALI,MOHMAND,TEHSIL,RURAL,13364,10321,4764,8600,2029,4793,4407,1,6,2128
PINDIALI,MOHMAND,TEHSIL,URBAN,,,,,,,,,,
PRANG GHAR,MOHMAND,TEHSIL,OVERALL,4285,2623,780,3505,200,1492,995,1,,1597
