name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
QUETTA,QUETTA,SUB-DIVISION_CITY,RURAL,INSTITUTIONAL,5,2,3,,1,.01
QUETTA,QUETTA,SUB-DIVISION_CITY,RURAL,HOMELESS,23,17,6,,4,.02
QUETTA,QUETTA,SUB-DIVISION_CITY,RURAL,TOTAL,118704,59153,59546,5,16387,100
QUETTA,QUETTA,SUB-DIVISION_CITY,URBAN,REGULAR,1018346,521926,496348,72,127747,99.92
QUETTA,QUETTA,SUB-DIVISION_CITY,URBAN,INSTITUTIONAL,971,354,617,,49,.04
QUETTA,QUETTA,SUB-DIVISION_CITY,URBAN,HOMELESS,599,413,186,,47,.04
QUETTA,QUETTA,SUB-DIVISION_CITY,URBAN,TOTAL,1019916,522693,497151,72,127843,100
KUCHLAK,QUETTA,SUB-DIVISION,OVERALL,REGULAR,261350,133922,127422,6,37215,99.93000000000001
KUCHLAK,QUETTA,SUB-DIVISION,OVERALL,INSTITUTIONAL,1250,1203,47,,18,.05
KUCHLAK,QUETTA,SUB-DIVISION,OVERALL,HOMELESS,555,516,39,,8,.02
KUCHLAK,QUETTA,SUB-DIVISION,OVERALL,TOTAL,263155,135641,127508,6,37241,100
KUCHLAK,QUETTA,SUB-DIVISION,RURAL,REGULAR,220902,113224,107674,4,30681,99.93000000000001
KUCHLAK,QUETTA,SUB-DIVISION,RURAL,INSTITUTIONAL,1221,1187,34,,13,.04
KUCHLAK,QUETTA,SUB-DIVISION,RURAL,HOMELESS,555,516,39,,8,.03
KUCHLAK,QUETTA,SUB-DIVISION,RURAL,TOTAL,222678,114927,107747,4,30702,100
KUCHLAK,QUETTA,SUB-DIVISION,URBAN,REGULAR,40448,20698,19748,2,6534,99.92
KUCHLAK,QUETTA,SUB-DIVISION,URBAN,INSTITUTIONAL,29,16,13,,5,.08
KUCHLAK,QUETTA,SUB-DIVISION,URBAN,HOMELESS,,,,,,0
KUCHLAK,QUETTA,SUB-DIVISION,URBAN,TOTAL,40477,20714,19761,2,6539,100
