name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
JUDBA,TEHSIL,TORGHAR,URBAN,,,,,,,,,,,
KHANDER,TEHSIL,TORGHAR,OVERALL,305,86859,44129,42729,1,103.28,284.78,,6.4,71943,3.2
KHANDER,TEHSIL,TORGHAR,RURAL,,86859,44129,42729,1,103.28,,,6.4,71943,3.2
KHANDER,TEHSIL,TORGHAR,URBAN,,,,,,,,,,,
UPPER CHITRAL,DISTRICT,UPPER CHITRAL,OVERALL,8392,195528,100495,95033,,105.75,23.3,0,7.4,169297,2.44
UPPER CHITRAL,DISTRICT,UPPER CHITRAL,RURAL,,195528,100495,95033,,105.75,,,7.4,169297,2.44
UPPER CHITRAL,DISTRICT,UPPER CHITRAL,URBAN,,,,,,0,,,,,0
MASTUJ,SUB-DIVISION,UPPER CHITRAL,OVERALL,8392,195528,100495,95033,,105.75,23.3,,7.4,169297,2.44
MASTUJ,SUB-DIVISION,UPPER CHITRAL,RURAL,,195528,100495,95033,,105.75,,,7.4,169297,2.44
MASTUJ,SUB-DIVISION,UPPER CHITRAL,URBAN,,,,,,,,,,,
UPPER DIR,DISTRICT,UPPER DIR,OVERALL,3699,1083566,537290,546264,12,98.36,292.93,4.42,7.2,947401,2.27
UPPER DIR,DISTRICT,UPPER DIR,RURAL,,1035724,512983,522730,11,98.14,,,7.2,903301,2.31
UPPER DIR,DISTRICT,UPPER DIR,URBAN,,47842,24307,23534,1,103.28,,,7.2,44100,1.37
DIR,SUB-DIVISION,UPPER DIR,OVERALL,1012,384667,191767,192895,5,99.42,380.11,12.44,7.5,335029,2.34
DIR,SUB-DIVISION,UPPER DIR,RURAL,,336825,167460,169361,4,98.88,,,7.6,290929,2.48
DIR,SUB-DIVISION,UPPER DIR,URBAN,,47842,24307,23534,1,103.28,,,7.2,44100,1.37
LARJUM,SUB-DIVISION,UPPER DIR,OVERALL,1039,119396,59975,59418,3,100.94,114.91,,7.2,104496,2.25
LARJUM,SUB-DIVISION,UPPER DIR,RURAL,,119396,59975,59418,3,100.94,,,7.2,104496,2.25
LARJUM,SUB-DIVISION,UPPER DIR,URBAN,,,,,,,,,,,
SHARINGAL,SUB-DIVISION,UPPER DIR,OVERALL,1140,210356,105129,105227,,99.91,184.52,,6.8,185121,2.16
