name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
HANGU,HANGU,TEHSIL,URBAN,5639,4768,5482,47,110,4815,267
TALL,HANGU,TEHSIL,OVERALL,27714,18366,22564,2764,2386,20212,2272
TALL,HANGU,TEHSIL,RURAL,22619,14297,17856,2466,2297,16582,1641
TALL,HANGU,TEHSIL,URBAN,5095,4069,4708,298,89,3630,631
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,159505,177481,7555,7415,150595,18055
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,138111,153927,6667,7351,130337,16714
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,21394,23554,888,64,20258,1341
GHAZI,HARIPUR,TEHSIL,OVERALL,26243,20261,21542,1183,3518,20745,3018
GHAZI,HARIPUR,TEHSIL,RURAL,26243,20261,21542,1183,3518,20745,3018
GHAZI,HARIPUR,TEHSIL,URBAN,,,,,,,
HARIPUR,HARIPUR,TEHSIL,OVERALL,135282,112940,127994,4850,2438,106392,10350
HARIPUR,HARIPUR,TEHSIL,RURAL,110776,91546,104440,3962,2374,86134,9009
HARIPUR,HARIPUR,TEHSIL,URBAN,24506,21394,23554,888,64,20258,1341
KHANPUR,HARIPUR,TEHSIL,OVERALL,30926,26304,27945,1522,1459,23458,4687
KHANPUR,HARIPUR,TEHSIL,RURAL,30926,26304,27945,1522,1459,23458,4687
KHANPUR,HARIPUR,TEHSIL,URBAN,,,,,,,
KARAK,KARAK,DISTRICT,OVERALL,95997,80689,84662,11089,246,67712,13119
KARAK,KARAK,DISTRICT,RURAL,88061,73977,78506,9555,,61466,12294
KARAK,KARAK,DISTRICT,URBAN,7936,6712,6156,1534,246,6246,825
BANDA DAUD SHAH,KARAK,TEHSIL,OVERALL,22259,17479,18765,3494,,14271,3212
BANDA DAUD SHAH,KARAK,TEHSIL,RURAL,22259,17479,18765,3494,,14271,3212
BANDA DAUD SHAH,KARAK,TEHSIL,URBAN,,,,,,,
