name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
TALA GANG,CHAKWAL,TEHSIL,URBAN,19304,,6,3,14162,4069,460,92,512
CHINIOT,CHINIOT,DISTRICT,OVERALL,290429,111,2,12,218441,51364,15099,1038,4362
CHINIOT,CHINIOT,DISTRICT,RURAL,192925,54,,9,144896,34810,9919,798,2439
CHINIOT,CHINIOT,DISTRICT,URBAN,97504,57,2,3,73545,16554,5180,240,1923
BHAWANA,CHINIOT,TEHSIL,OVERALL,77516,5,,1,57127,14708,4664,193,818
BHAWANA,CHINIOT,TEHSIL,RURAL,68651,5,,1,51162,12383,4181,191,728
BHAWANA,CHINIOT,TEHSIL,URBAN,8865,,,,5965,2325,483,2,90
CHINIOT,CHINIOT,TEHSIL,OVERALL,119113,31,2,8,88957,21190,6358,416,2151
CHINIOT,CHINIOT,TEHSIL,RURAL,57792,2,,6,43304,10565,2611,295,1009
CHINIOT,CHINIOT,TEHSIL,URBAN,61321,29,2,2,45653,10625,3747,121,1142
LALIAN,CHINIOT,TEHSIL,OVERALL,93800,75,,3,72357,15466,4077,429,1393
LALIAN,CHINIOT,TEHSIL,RURAL,66482,47,,2,50430,11862,3127,312,702
LALIAN,CHINIOT,TEHSIL,URBAN,27318,28,,1,21927,3604,950,117,691
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,510080,37,21,41,397016,89393,11616,3716,8240
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,366768,14,2,19,290613,62978,5063,3031,5048
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,143312,23,19,22,106403,26415,6553,685,3192
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,OVERALL,197788,18,20,26,151277,34541,7398,771,3737
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,RURAL,110390,7,2,9,84468,21770,1847,585,1702
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,URBAN,87398,11,18,17,66809,12771,5551,186,2035
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,OVERALL,47086,,,,40795,4379,388,1350,174
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,RURAL,47086,,,,40795,4379,388,1350,174
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,URBAN,,,,,,,,,
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,OVERALL,121788,7,1,11,91317,25992,2062,480,1918
