name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
GARHI KHAIRO,JACOBABAD,TALUKA,URBAN,2549,2208,208,78,25,1,29,2383,111,1345,729,266,209
JACOBABAD,JACOBABAD,TALUKA,OVERALL,68861,50986,6835,6686,1767,440,2147,63046,1461,39371,17831,6161,5498
JACOBABAD,JACOBABAD,TALUKA,RURAL,35096,24870,518,6331,1103,401,1873,30885,834,25746,6935,1711,704
JACOBABAD,JACOBABAD,TALUKA,URBAN,33765,26116,6317,355,664,39,274,32161,627,13625,10896,4450,4794
THUL,JACOBABAD,TALUKA,OVERALL,95535,74937,2230,14307,176,102,3783,89037,2437,67827,20601,5020,2087
THUL,JACOBABAD,TALUKA,RURAL,75519,57393,646,13660,33,99,3688,69762,1937,57000,14528,2974,1017
THUL,JACOBABAD,TALUKA,URBAN,20016,17544,1584,647,143,3,95,19275,500,10827,6073,2046,1070
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,181014,17589,6580,4062,1100,3148,198263,6920,133085,54581,15896,9931
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,107513,2040,2555,1950,534,2578,108136,3972,88134,21321,4921,2794
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,73501,15549,4025,2112,566,570,90127,2948,44951,33260,10975,7137
KOTRI,JAMSHORO,TALUKA,OVERALL,86413,62741,13614,4196,3766,527,1569,77922,2629,40617,29837,9756,6203
KOTRI,JAMSHORO,TALUKA,RURAL,20489,15758,1005,672,1765,16,1273,16906,529,13429,5056,1323,681
KOTRI,JAMSHORO,TALUKA,URBAN,65924,46983,12609,3524,2001,511,296,61016,2100,27188,24781,8433,5522
MANJHAND,JAMSHORO,TALUKA,OVERALL,31713,29505,696,656,139,8,709,29491,1366,25787,4335,901,690
MANJHAND,JAMSHORO,TALUKA,RURAL,27063,25217,564,483,112,8,679,25090,1174,22279,3417,743,624
MANJHAND,JAMSHORO,TALUKA,URBAN,4650,4288,132,173,27,,30,4401,192,3508,918,158,66
SEHWAN,JAMSHORO,TALUKA,OVERALL,62229,57000,3066,1265,128,114,656,59367,1964,42043,14626,3574,1986
SEHWAN,JAMSHORO,TALUKA,RURAL,40380,38507,331,1013,53,59,417,38450,1401,30645,7822,1354,559
SEHWAN,JAMSHORO,TALUKA,URBAN,21849,18493,2735,252,75,55,239,20917,563,11398,6804,2220,1427
THANO BULA KHAN,JAMSHORO,TALUKA,OVERALL,33138,31768,213,463,29,451,214,31483,961,24638,5783,1665,1052
THANO BULA KHAN,JAMSHORO,TALUKA,RURAL,29238,28031,140,387,20,451,209,27690,868,21781,5026,1501,930
THANO BULA KHAN,JAMSHORO,TALUKA,URBAN,3900,3737,73,76,9,,5,3793,93,2857,757,164,122
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,242437,8504,12383,298,471,3460,254155,9169,165995,69715,19754,12089
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,177948,2209,10608,34,296,2932,183910,6855,130607,47193,11293,4934
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,64489,6295,1775,264,175,528,70245,2314,35388,22522,8461,7155
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,77853,73610,2064,1572,23,31,553,75212,2034,44029,22973,6857,3994
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,58643,56342,350,1475,10,26,440,56597,1570,35573,16741,4436,1893
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,19210,17268,1714,97,13,5,113,18615,464,8456,6232,2421,2101
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,29339,25782,734,2025,60,37,701,27575,966,19905,7057,1674,703
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,22390,19477,490,1768,6,35,614,21010,725,15535,5148,1233,474
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6949,6305,244,257,54,2,87,6565,241,4370,1909,441,229
