name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
MALAM,SUB-TEHSIL,DERA BUGTI,URBAN,,,,,,,,,,,
PIR KOH,SUB-TEHSIL,DERA BUGTI,OVERALL,1619,44396,23865,20530,1,116.24,27.42,,5.2,40629,1.49
PIR KOH,SUB-TEHSIL,DERA BUGTI,RURAL,,44396,23865,20530,1,116.24,,,5.2,40629,1.49
PIR KOH,SUB-TEHSIL,DERA BUGTI,URBAN,,,,,,,,,,,
QADIRABAD,SUB-DIVISION,DERA BUGTI,OVERALL,205,32226,18391,13835,,132.93,157.2,,8.300000000000001,28054,2.34
QADIRABAD,SUB-DIVISION,DERA BUGTI,RURAL,,32226,18391,13835,,132.93,,,8.300000000000001,28054,2.34
QADIRABAD,SUB-DIVISION,DERA BUGTI,URBAN,,,,,,,,,,,
SANGSILLAH,SUB-TEHSIL,DERA BUGTI,OVERALL,1533,12523,6634,5889,,112.65,8.17,,5,10217,3.46
SANGSILLAH,SUB-TEHSIL,DERA BUGTI,RURAL,,12523,6634,5889,,112.65,,,5,10217,3.46
SANGSILLAH,SUB-TEHSIL,DERA BUGTI,URBAN,,,,,,,,,,,
SUI,SUB-DIVISION,DERA BUGTI,OVERALL,3858,126725,68225,58497,3,116.63,32.85,62.79,5.2,120975,.78
SUI,SUB-DIVISION,DERA BUGTI,RURAL,,47158,26220,20936,2,125.24,,,4.9,48235,-.38
SUI,SUB-DIVISION,DERA BUGTI,URBAN,,79567,42005,37561,1,111.83,,,5.5,72740,1.51
DUKI,DISTRICT,DUKI,OVERALL,4233,205044,107221,97775,48,109.66,48.44,4.77,4.7,152977,5.02
DUKI,DISTRICT,DUKI,RURAL,,195261,101940,93276,45,109.29,,,4.8,142935,5.35
DUKI,DISTRICT,DUKI,URBAN,,9783,5281,4499,3,117.38,,,3.2,10042,-.44
DUKI,SUB-DIVISION,DUKI,OVERALL,938,137294,72365,64915,14,111.48,146.37,7.13,5.1,100604,5.33
DUKI,SUB-DIVISION,DUKI,RURAL,,127511,67084,60416,11,111.04,,,5.4,90562,5.89
DUKI,SUB-DIVISION,DUKI,URBAN,,9783,5281,4499,3,117.38,,,3.2,10042,-.44
LUNI,SUB-DIVISION,DUKI,OVERALL,553,13615,7144,6463,8,110.54,24.62,,4.6,10235,4.88
LUNI,SUB-DIVISION,DUKI,RURAL,,13615,7144,6463,8,110.54,,,4.6,10235,4.88
LUNI,SUB-DIVISION,DUKI,URBAN,,,,,,,,,,,
TALAO,SUB-TEHSIL,DUKI,OVERALL,1697,21930,11323,10584,23,106.98,12.92,,4.1,18155,3.21
TALAO,SUB-TEHSIL,DUKI,RURAL,,21930,11323,10584,23,106.98,,,4.1,18155,3.21
TALAO,SUB-TEHSIL,DUKI,URBAN,,,,,,,,,,,
THAL CHUTYALI,SUB-DIVISION,DUKI,OVERALL,1045,32205,16389,15813,3,103.64,30.82,,3.8,23983,5.05
