name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
KEAMARI,KEAMARI,DISTRICT,PAKKA,295235,,295235
KEAMARI,KEAMARI,DISTRICT,SEMI PAKKA,19630,,19630
KEAMARI,KEAMARI,DISTRICT,TOTAL,319121,,319121
KEAMARI,KEAMARI,SUB-DIVISION,KACHA,886,,886
KEAMARI,KEAMARI,SUB-DIVISION,PAKKA,64068,,64068
KEAMARI,KEAMARI,SUB-DIVISION,SEMI PAKKA,3617,,3617
KEAMARI,KEAMARI,SUB-DIVISION,TOTAL,68571,,68571
KETI BUNDER,THATTA,TALUKA,KACHA,11495,11495,
KETI BUNDER,THATTA,TALUKA,PAKKA,905,905,
KETI BUNDER,THATTA,TALUKA,SEMI PAKKA,587,587,
KETI BUNDER,THATTA,TALUKA,TOTAL,12987,12987,
KHAIRPUR,KHAIRPUR,DISTRICT,KACHA,222443,175776,46667
KHAIRPUR,KHAIRPUR,DISTRICT,PAKKA,163886,83775,80111
KHAIRPUR,KHAIRPUR,DISTRICT,SEMI PAKKA,65921,46181,19740
KHAIRPUR,KHAIRPUR,DISTRICT,TOTAL,452250,305732,146518
KHAIRPUR,KHAIRPUR,TALUKA,KACHA,26838,19346,7492
KHAIRPUR,KHAIRPUR,TALUKA,PAKKA,48875,14424,34451
KHAIRPUR,KHAIRPUR,TALUKA,SEMI PAKKA,11488,6728,4760
KHAIRPUR,KHAIRPUR,TALUKA,TOTAL,87201,40498,46703
KHAIRPUR NATHAN SHAH,DADU,TALUKA,KACHA,42356,38732,3624
KHAIRPUR NATHAN SHAH,DADU,TALUKA,PAKKA,21490,10492,10998
KHAIRPUR NATHAN SHAH,DADU,TALUKA,SEMI PAKKA,12998,10740,2258
KHAIRPUR NATHAN SHAH,DADU,TALUKA,TOTAL,76844,59964,16880
KHANGARH,GHOTKI,TALUKA,KACHA,17513,14989,2524
KHANGARH,GHOTKI,TALUKA,PAKKA,9317,6811,2506
KHANGARH,GHOTKI,TALUKA,SEMI PAKKA,5428,4035,1393
KHANGARH,GHOTKI,TALUKA,TOTAL,32258,25835,6423
KHANPUR,SHIKARPUR,TALUKA,KACHA,27237,26519,718
KHANPUR,SHIKARPUR,TALUKA,PAKKA,8119,6389,1730
KHANPUR,SHIKARPUR,TALUKA,SEMI PAKKA,8239,7088,1151
KHANPUR,SHIKARPUR,TALUKA,TOTAL,43595,39996,3599
KHARO CHAN,SUJAWAL,TALUKA,KACHA,2159,2159,
KHARO CHAN,SUJAWAL,TALUKA,PAKKA,4,4,
KHARO CHAN,SUJAWAL,TALUKA,SEMI PAKKA,3,3,
KHARO CHAN,SUJAWAL,TALUKA,TOTAL,2166,2166,
KHIPRO,SANGHAR,TALUKA,KACHA,46626,42808,3818
KHIPRO,SANGHAR,TALUKA,PAKKA,16833,11827,5006
KHIPRO,SANGHAR,TALUKA,SEMI PAKKA,5141,4158,983
KHIPRO,SANGHAR,TALUKA,TOTAL,68600,58793,9807
KINGRI,KHAIRPUR,TALUKA,KACHA,29408,24314,5094
KINGRI,KHAIRPUR,TALUKA,PAKKA,20434,12024,8410
KINGRI,KHAIRPUR,TALUKA,SEMI PAKKA,9666,7186,2480
KINGRI,KHAIRPUR,TALUKA,TOTAL,59508,43524,15984
KORANGI,KORANGI,DISTRICT,KACHA,6218,,6218
KORANGI,KORANGI,DISTRICT,PAKKA,475536,,475536
KORANGI,KORANGI,DISTRICT,SEMI PAKKA,11296,,11296
KORANGI,KORANGI,DISTRICT,TOTAL,493050,,493050
KORANGI,KORANGI,SUB-DIVISION,KACHA,3247,,3247
KORANGI,KORANGI,SUB-DIVISION,PAKKA,197818,,197818
KORANGI,KORANGI,SUB-DIVISION,SEMI PAKKA,6021,,6021
KORANGI,KORANGI,SUB-DIVISION,TOTAL,207086,,207086
KOT DIJI,KHAIRPUR,TALUKA,KACHA,31257,24306,6951
KOT DIJI,KHAIRPUR,TALUKA,PAKKA,23143,15981,7162
KOT DIJI,KHAIRPUR,TALUKA,SEMI PAKKA,8263,6528,1735
KOT DIJI,KHAIRPUR,TALUKA,TOTAL,62663,46815,15848
KOT GHULAM MUHAMMAD,MIRPUR KHAS,TALUKA,KACHA,41298,39865,1433
KOT GHULAM MUHAMMAD,MIRPUR KHAS,TALUKA,PAKKA,10115,6511,3604
KOT GHULAM MUHAMMAD,MIRPUR KHAS,TALUKA,SEMI PAKKA,7300,6656,644
KOT GHULAM MUHAMMAD,MIRPUR KHAS,TALUKA,TOTAL,58713,53032,5681
KOTRI,JAMSHORO,TALUKA,KACHA,10564,8385,2179
KOTRI,JAMSHORO,TALUKA,PAKKA,68430,9997,58433
KOTRI,JAMSHORO,TALUKA,SEMI PAKKA,7419,2107,5312
KOTRI,JAMSHORO,TALUKA,TOTAL,86413,20489,65924
KUNRI,UMER KOT,TALUKA,KACHA,28195,26691,1504
KUNRI,UMER KOT,TALUKA,PAKKA,12716,7607,5109
KUNRI,UMER KOT,TALUKA,SEMI PAKKA,2999,2512,487
KUNRI,UMER KOT,TALUKA,TOTAL,43910,36810,7100
LAKHI,SHIKARPUR,TALUKA,KACHA,23606,20677,2929
LAKHI,SHIKARPUR,TALUKA,PAKKA,11788,8559,3229
LAKHI,SHIKARPUR,TALUKA,SEMI PAKKA,7980,6114,1866
LAKHI,SHIKARPUR,TALUKA,TOTAL,43374,35350,8024
LANDHI,KORANGI,SUB-DIVISION,KACHA,1189,,1189
LANDHI,KORANGI,SUB-DIVISION,PAKKA,112478,,112478
LANDHI,KORANGI,SUB-DIVISION,SEMI PAKKA,2233,,2233
LANDHI,KORANGI,SUB-DIVISION,TOTAL,115900,,115900
LARKANA,LARKANA,DISTRICT,KACHA,121739,103561,18178
LARKANA,LARKANA,DISTRICT,PAKKA,150538,48822,101716
LARKANA,LARKANA,DISTRICT,SEMI PAKKA,49251,25518,23733
LARKANA,LARKANA,DISTRICT,TOTAL,321528,177901,143627
LARKANA,LARKANA,TALUKA,KACHA,37019,31414,5605
LARKANA,LARKANA,TALUKA,PAKKA,97594,19025,78569
LARKANA,LARKANA,TALUKA,SEMI PAKKA,22662,7608,15054
LARKANA,LARKANA,TALUKA,TOTAL,157275,58047,99228
LATIFABAD,HYDERABAD,TALUKA,KACHA,6464,,6464
LATIFABAD,HYDERABAD,TALUKA,PAKKA,140469,,140469
LATIFABAD,HYDERABAD,TALUKA,SEMI PAKKA,6415,,6415
LATIFABAD,HYDERABAD,TALUKA,TOTAL,153348,,153348
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,KACHA,686,,686
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,PAKKA,96033,,96033
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,SEMI PAKKA,841,,841
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,TOTAL,97560,,97560
LYARI,KARACHI SOUTH,SUB-DIVISION,KACHA,980,,980
LYARI,KARACHI SOUTH,SUB-DIVISION,PAKKA,162077,,162077
LYARI,KARACHI SOUTH,SUB-DIVISION,SEMI PAKKA,3886,,3886
LYARI,KARACHI SOUTH,SUB-DIVISION,TOTAL,166943,,166943
MALIR,MALIR,DISTRICT,KACHA,17359,14762,2597
MALIR,MALIR,DISTRICT,PAKKA,384794,199441,185353
MALIR,MALIR,DISTRICT,SEMI PAKKA,19273,12201,7072
MALIR,MALIR,DISTRICT,TOTAL,421426,226404,195022
MANGHOPIR,KARACHI WEST,SUB-DIVISION,KACHA,7086,1452,5634
MANGHOPIR,KARACHI WEST,SUB-DIVISION,PAKKA,165891,38330,127561
MANGHOPIR,KARACHI WEST,SUB-DIVISION,SEMI PAKKA,22395,3566,18829
MANGHOPIR,KARACHI WEST,SUB-DIVISION,TOTAL,195372,43348,152024
MANJHAND,JAMSHORO,TALUKA,KACHA,19257,17334,1923
MANJHAND,JAMSHORO,TALUKA,PAKKA,9442,7484,1958
