name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
TANGI,CHARSADDA,TEHSIL,RURAL,64587,57119,2947,3890,68,16,547,62581,1375,18147,21253,12910,12277
TANGI,CHARSADDA,TEHSIL,URBAN,6485,5773,567,136,5,,4,6219,257,1591,2453,1443,998
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,242541,16575,7694,1551,126,1534,259134,7676,107169,90115,39486,33251
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,191923,9806,6458,607,89,1347,203364,4823,88680,68518,29150,23882
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,50618,6769,1236,944,37,187,55770,2853,18489,21597,10336,9369
DARABAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,19400,18291,393,558,1,2,155,18799,443,7837,6331,2886,2346
DARABAN,DERA ISMAIL KHAN,TEHSIL,RURAL,19400,18291,393,558,1,2,155,18799,443,7837,6331,2886,2346
DARABAN,DERA ISMAIL KHAN,TEHSIL,URBAN,,,,,,,,,,,,,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,116498,97907,13238,3437,1336,46,534,110621,3961,40021,40295,18842,17340
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,RURAL,80760,69594,7449,2843,420,16,438,78058,1828,31780,26798,11675,10507
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,URBAN,35738,28313,5789,594,916,30,96,32563,2133,8241,13497,7167,6833
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,OVERALL,9765,9348,153,210,,7,47,9490,221,2815,3084,1994,1872
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,RURAL,9765,9348,153,210,,7,47,9490,221,2815,3084,1994,1872
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,URBAN,,,,,,,,,,,,,
KULACHI,DERA ISMAIL KHAN,TEHSIL,OVERALL,16119,15704,186,210,2,3,14,15708,392,6739,5511,2561,1308
KULACHI,DERA ISMAIL KHAN,TEHSIL,RURAL,12076,11815,71,177,1,1,11,11773,290,5413,4026,1837,800
KULACHI,DERA ISMAIL KHAN,TEHSIL,URBAN,4043,3889,115,33,1,2,3,3935,102,1326,1485,724,508
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,OVERALL,59461,56351,1196,1360,50,39,465,57350,1557,23522,20607,8565,6767
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,RURAL,45999,44003,519,997,23,36,421,44425,1094,17984,16124,6682,5209
PAHARPUR,DERA ISMAIL KHAN,TEHSIL,URBAN,13462,12348,677,363,27,3,44,12925,463,5538,4483,1883,1558
PAROA,DERA ISMAIL KHAN,TEHSIL,OVERALL,48778,44940,1409,1919,162,29,319,47166,1102,26235,14287,4638,3618
PAROA,DERA ISMAIL KHAN,TEHSIL,RURAL,42230,38872,1221,1673,162,27,275,40819,947,22851,12155,4076,3148
PAROA,DERA ISMAIL KHAN,TEHSIL,URBAN,6548,6068,188,246,,2,44,6347,155,3384,2132,562,470
HANGU,HANGU,DISTRICT,OVERALL,61148,48782,8128,3576,448,27,187,57917,2569,10735,16539,13245,20629
HANGU,HANGU,DISTRICT,RURAL,50414,41733,5015,3151,329,24,162,47632,2267,9239,13585,10809,16781
HANGU,HANGU,DISTRICT,URBAN,10734,7049,3113,425,119,3,25,10285,302,1496,2954,2436,3848
HANGU,HANGU,TEHSIL,OVERALL,33434,27190,4306,1693,128,10,107,31609,1580,5644,9107,7491,11192
HANGU,HANGU,TEHSIL,RURAL,27795,23404,2667,1593,29,8,94,26259,1405,4989,7695,6051,9060
HANGU,HANGU,TEHSIL,URBAN,5639,3786,1639,100,99,2,13,5350,175,655,1412,1440,2132
TALL,HANGU,TEHSIL,OVERALL,27714,21592,3822,1883,320,17,80,26308,989,5091,7432,5754,9437
TALL,HANGU,TEHSIL,RURAL,22619,18329,2348,1558,300,16,68,21373,862,4250,5890,4758,7721
TALL,HANGU,TEHSIL,URBAN,5095,3263,1474,325,20,1,12,4935,127,841,1542,996,1716
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,161744,18862,5462,4326,483,1574,177447,8621,26736,67354,48271,50090
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,144688,12663,5059,3590,419,1526,155156,7254,24364,59914,41495,42172
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,17056,6199,403,736,64,48,22291,1367,2372,7440,6776,7918
GHAZI,HARIPUR,TEHSIL,OVERALL,26243,21370,1952,1006,1821,20,74,22962,1366,5049,10651,5943,4600
GHAZI,HARIPUR,TEHSIL,RURAL,26243,21370,1952,1006,1821,20,74,22962,1366,5049,10651,5943,4600
GHAZI,HARIPUR,TEHSIL,URBAN,,,,,,,,,,,,,
HARIPUR,HARIPUR,TEHSIL,OVERALL,135282,111408,15651,3865,2471,441,1446,124911,6013,18347,46820,34361,35754
HARIPUR,HARIPUR,TEHSIL,RURAL,110776,94352,9452,3462,1735,377,1398,102620,4646,15975,39380,27585,27836
HARIPUR,HARIPUR,TEHSIL,URBAN,24506,17056,6199,403,736,64,48,22291,1367,2372,7440,6776,7918
KHANPUR,HARIPUR,TEHSIL,OVERALL,30926,28966,1259,591,34,22,54,29574,1242,3340,9883,7967,9736
KHANPUR,HARIPUR,TEHSIL,RURAL,30926,28966,1259,591,34,22,54,29574,1242,3340,9883,7967,9736
KHANPUR,HARIPUR,TEHSIL,URBAN,,,,,,,,,,,,,
KARAK,KARAK,DISTRICT,OVERALL,95997,91084,3154,1133,123,19,484,91989,3382,19805,27038,21845,27309
KARAK,KARAK,DISTRICT,RURAL,88061,84583,1896,1102,29,17,434,84458,3123,19032,25035,19609,24385
KARAK,KARAK,DISTRICT,URBAN,7936,6501,1258,31,94,2,50,7531,259,773,2003,2236,2924
BANDA DAUD SHAH,KARAK,TEHSIL,OVERALL,22259,20770,799,503,9,7,171,21285,787,5941,6942,4683,4693
BANDA DAUD SHAH,KARAK,TEHSIL,RURAL,22259,20770,799,503,9,7,171,21285,787,5941,6942,4683,4693
BANDA DAUD SHAH,KARAK,TEHSIL,URBAN,,,,,,,,,,,,,
KARAK,KARAK,TEHSIL,OVERALL,39930,37351,1978,368,102,7,124,38210,1487,6085,10932,9893,13020
