name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,URBAN,21074,17925,2491,658,12522,164,5987,2401,8554,1974
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,23046,4647,14025,4374,1556,74,6699,14717,11406,5139
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,RURAL,23046,4647,14025,4374,1556,74,6699,14717,11406,5139
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,URBAN,,,,,,,,,,
WARAH,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,48615,31968,10994,5653,3300,63,25348,19904,23053,11873
WARAH,KAMBAR SHAHDAD KOT,TALUKA,RURAL,34748,20770,9392,4586,692,35,18294,15727,16915,8327
WARAH,KAMBAR SHAHDAD KOT,TALUKA,URBAN,13867,11198,1602,1067,2608,28,7054,4177,6138,3546
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,645540,3744,1984,637338,5294,6009,2627,470496,9884
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,645540,3744,1984,637338,5294,6009,2627,470496,9884
GULBERG,KARACHI CENTRAL,SUB-DIVISION,OVERALL,106679,105434,608,637,104020,732,1405,522,73290,1814
GULBERG,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
GULBERG,KARACHI CENTRAL,SUB-DIVISION,URBAN,106679,105434,608,637,104020,732,1405,522,73290,1814
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,97560,96908,483,169,94721,1502,1074,263,75011,1544
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,97560,96908,483,169,94721,1502,1074,263,75011,1544
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,96275,95515,552,208,94621,746,588,320,69434,1057
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,96275,95515,552,208,94621,746,588,320,69434,1057
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,OVERALL,196488,194705,1210,573,192978,1127,1564,819,139478,2265
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,URBAN,196488,194705,1210,573,192978,1127,1564,819,139478,2265
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,154266,152978,891,397,150998,1187,1378,703,113283,3204
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,154266,152978,891,397,150998,1187,1378,703,113283,3204
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,644999,6813,7577,607341,20245,25694,6109,461357,14547
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,644999,6813,7577,607341,20245,25694,6109,461357,14547
FEROZABAD,KARACHI EAST,SUB-DIVISION,OVERALL,180708,178557,1001,1150,171650,5321,1906,1831,131689,2733
FEROZABAD,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
FEROZABAD,KARACHI EAST,SUB-DIVISION,URBAN,180708,178557,1001,1150,171650,5321,1906,1831,131689,2733
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,OVERALL,179357,176511,1285,1561,172899,1799,3556,1103,127529,3367
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,URBAN,179357,176511,1285,1561,172899,1799,3556,1103,127529,3367
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,OVERALL,193691,185172,3925,4594,158910,12204,19830,2747,131270,7382
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,URBAN,193691,185172,3925,4594,158910,12204,19830,2747,131270,7382
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,OVERALL,105633,104759,602,272,103882,921,402,428,70869,1065
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,URBAN,105633,104759,602,272,103882,921,402,428,70869,1065
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,420044,2694,2355,377339,35714,7932,4108,269076,8209
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,420044,2694,2355,377339,35714,7932,4108,269076,8209
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OVERALL,44611,44272,244,95,41532,2236,523,320,21901,1364
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,URBAN,44611,44272,244,95,41532,2236,523,320,21901,1364
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,OVERALL,95323,93970,803,550,87988,5540,857,938,62664,2148
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,URBAN,95323,93970,803,550,87988,5540,857,938,62664,2148
GARDEN,KARACHI SOUTH,SUB-DIVISION,OVERALL,89718,88042,514,1162,84240,3884,756,838,53360,1514
GARDEN,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
GARDEN,KARACHI SOUTH,SUB-DIVISION,URBAN,89718,88042,514,1162,84240,3884,756,838,53360,1514
LYARI,KARACHI SOUTH,SUB-DIVISION,OVERALL,166943,165416,1017,510,136390,22951,5707,1895,109481,2829
LYARI,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
LYARI,KARACHI SOUTH,SUB-DIVISION,URBAN,166943,165416,1017,510,136390,22951,5707,1895,109481,2829
SADDAR,KARACHI SOUTH,SUB-DIVISION,OVERALL,28498,28344,116,38,27189,1103,89,117,21670,354
SADDAR,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
SADDAR,KARACHI SOUTH,SUB-DIVISION,URBAN,28498,28344,116,38,27189,1103,89,117,21670,354
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,445924,8802,10030,377753,33445,48802,4756,348669,7386
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,37840,4035,1473,26470,5204,10598,1076,31092,824
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,408084,4767,8557,351283,28241,38204,3680,317577,6562
MANGHOPIR,KARACHI WEST,SUB-DIVISION,OVERALL,195372,179811,6958,8603,125952,25705,40316,3399,139996,5321
MANGHOPIR,KARACHI WEST,SUB-DIVISION,RURAL,43348,37840,4035,1473,26470,5204,10598,1076,31092,824
MANGHOPIR,KARACHI WEST,SUB-DIVISION,URBAN,152024,141971,2923,7130,99482,20501,29718,2323,108904,4497
MOMINABAD,KARACHI WEST,SUB-DIVISION,OVERALL,174256,171924,1058,1274,160927,5098,7135,1096,136197,1211
MOMINABAD,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,,
MOMINABAD,KARACHI WEST,SUB-DIVISION,URBAN,174256,171924,1058,1274,160927,5098,7135,1096,136197,1211
