name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,URBAN,179357,172175,98515,80842,84823,17147,813,25205,42706,8663
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,OVERALL,193691,187642,123935,69756,108647,26713,2638,17746,21244,16703
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,URBAN,193691,187642,123935,69756,108647,26713,2638,17746,21244,16703
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,OVERALL,105633,103925,81880,23753,66310,19370,670,6550,10995,1738
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,URBAN,105633,103925,81880,23753,66310,19370,670,6550,10995,1738
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,417644,298606,126487,213087,113018,1296,27592,47876,22224
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,417644,298606,126487,213087,113018,1296,27592,47876,22224
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OVERALL,44611,43909,33870,10741,25654,11662,199,2817,3522,757
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,URBAN,44611,43909,33870,10741,25654,11662,199,2817,3522,757
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,OVERALL,95323,92904,38026,57297,30713,12607,171,11566,26113,14153
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,URBAN,95323,92904,38026,57297,30713,12607,171,11566,26113,14153
GARDEN,KARACHI SOUTH,SUB-DIVISION,OVERALL,89718,88337,64657,25061,51698,20050,608,6846,8703,1813
GARDEN,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
GARDEN,KARACHI SOUTH,SUB-DIVISION,URBAN,89718,88337,64657,25061,51698,20050,608,6846,8703,1813
LYARI,KARACHI SOUTH,SUB-DIVISION,OVERALL,166943,164948,149349,17594,93817,64644,282,1547,4406,2247
LYARI,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,
