name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate,>60,36581,9204,27377,,21100,4780,16320,,15481,4424,11057,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,10 - 12,62,56,67,,56,49,63,,81,80,81,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,13 - 14,68,62,74,25,62,54,70,,86,86,86,100
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,15 - 24,53,45,61,63,47,37,57,31,72,69,75,72
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,15 - 49,46,36,57,46,40,28,52,18,65,59,71,56
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,25 - 40,43,32,55,29,36,23,49,7,62,56,69,39
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,41 - 60,35,22,47,10,28,15,41,,53,41,64,14
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,5 - 16,47,44,50,22,43,38,47,14,63,62,63,50
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,5 - 9,29.9,29.01,30.77,,27.46,26.28,28.61,,39.47,39.69,39.25,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,>18,40,29,51,43,33,21,45,15,59,51,67,52
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Literate %,>60,23,13,33,,18,9,26,,40,25,53,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),10 - 12,103547,58714,44833,,92854,53350,39504,,10693,5364,5329,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),13 - 14,51570,30320,21247,3,46332,27787,18542,3,5238,2533,2705,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),15 - 24,299172,173778,125363,31,254123,149038,105075,10,45049,24740,20288,21
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),15 - 49,841454,498871,342511,72,698242,415747,282471,24,143212,83124,60040,48
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),25 - 40,381895,230010,151847,38,313927,189652,124261,14,67968,40358,27586,24
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),41 - 60,298458,171827,126621,10,240248,137562,102683,3,58210,34265,23938,7
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),5 - 16,429447,242733,186707,7,383511,216959,166546,6,45936,25774,20161,1
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),5 - 9,214872,120844,94028,,193080,107113,85967,,21792,13731,8061,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),>18,989252,575319,413858,75,809723,470535,339165,23,179529,104784,74693,52
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Never to School (all),>60,128591,67337,61251,3,103384,53021,50361,2,25207,14316,10890,1
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,10 - 12,272487,134694,137793,,212072,104708,107364,,60415,29986,30429,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,13 - 14,159210,77734,81472,4,120629,58717,61909,3,38581,19017,19563,1
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,15 - 24,596285,296253,299976,56,446589,222041,224535,13,149696,74212,75441,43
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,15 - 49,1461488,732598,728783,107,1081325,542843,538454,28,380163,189755,190329,79
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,25 - 40,624408,318495,305865,48,458530,233843,224672,15,165878,84652,81193,33
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,41 - 60,425940,206217,219713,10,311390,151982,159405,3,114550,54235,60308,7
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,5 - 16,,540691,558119,9,858284,422058,436219,7,240535,118633,121900,2
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,5 - 9,527473,261208,266265,,420279,208049,212230,,107194,53159,54035,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,>18,1539100,764230,774765,105,1135989,565423,570540,26,403111,198807,204225,79
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,>60,157123,72984,84136,3,118354,55175,63177,2,38769,17809,20959,1
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,10 - 12,43233,20153,23080,,29815,13593,16222,,13418,6560,6858,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,13 - 14,19060,8712,10348,,14373,6599,7774,,4687,2113,2574,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,15 - 24,46046,20567,25472,7,35608,15752,19856,,10438,4815,5616,7
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,15 - 49,107518,43628,63881,9,79378,30342,49036,,28140,13286,14845,9
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,25 - 40,45761,18005,27754,2,32917,11716,21201,,12844,6289,6553,2
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,41 - 60,26168,8036,18132,,17520,4314,13206,,8648,3722,4926,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,5 - 16,75257,34860,40397,,54361,24968,29393,,20896,9892,11004,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,5 - 9,507,284,223,,379,220,159,,128,64,64,
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,>18,102948,38031,64911,6,73088,24361,48727,,29860,13670,16184,6
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Primary Completed,>60,6941,1672,5269,,4274,717,3557,,2667,955,1712,
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,Enrolment Graduation above,10 - 12,,,,,,,,,,,,
