name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,157351,14,2,7,123086,15542,1388,15697,1615
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,65957,26,1,11,46342,14638,2169,1670,1100
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,63011,17,,5,50382,8051,820,3105,631
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,46276,,,2,38223,4371,343,2990,347
KAMBAR ALI KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,16735,17,,3,12159,3680,477,115,284
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,26213,4,,5,19865,3518,272,2293,256
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,18563,4,,2,14611,1763,204,1761,218
MIRO KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,7650,,,3,5254,1755,68,532,38
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,22777,1,1,,17580,3777,421,677,320
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,RURAL,16112,,,,13445,1739,254,510,164
NASIRABAD,KAMBAR SHAHDAD KOT,TALUKA,URBAN,6665,1,1,,4135,2038,167,167,156
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,16374,,,,12511,2018,95,1537,213
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,RURAL,11286,,,,8755,1132,66,1219,114
QUBO SAEED KHAN,KAMBAR SHAHDAD KOT,TALUKA,URBAN,5088,,,,3756,886,29,318,99
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,34806,16,,6,26468,4677,1290,1948,401
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,RURAL,17301,8,,3,13708,1483,104,1820,175
SHAHDAD KOT,KAMBAR SHAHDAD KOT,TALUKA,URBAN,17505,8,,3,12760,3194,1186,128,226
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,20010,1,1,,15100,1936,189,2535,248
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,RURAL,20010,1,1,,15100,1936,189,2535,248
SUJAWAL JUNEJO,KAMBAR SHAHDAD KOT,TALUKA,URBAN,,,,,,,,,
WARAH,KAMBAR SHAHDAD KOT,TALUKA,OVERALL,40117,1,1,2,27522,6203,470,5272,646
WARAH,KAMBAR SHAHDAD KOT,TALUKA,RURAL,27803,1,1,,19244,3118,228,4862,349
WARAH,KAMBAR SHAHDAD KOT,TALUKA,URBAN,12314,,,2,8278,3085,242,410,297
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,276661,12433,305,4988,215588,18049,21251,652,3412
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,276661,12433,305,4988,215588,18049,21251,652,3412
GULBERG,KARACHI CENTRAL,SUB-DIVISION,OVERALL,40009,1969,56,930,29883,2635,3599,211,726
GULBERG,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,
GULBERG,KARACHI CENTRAL,SUB-DIVISION,URBAN,40009,1969,56,930,29883,2635,3599,211,726
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,36137,5489,105,1972,21522,2942,3463,220,425
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,36137,5489,105,1972,21522,2942,3463,220,425
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,39822,2844,8,936,30072,2393,2942,9,618
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,39822,2844,8,936,30072,2393,2942,9,618
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,OVERALL,102707,687,81,297,85960,7594,6965,100,1032
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,URBAN,102707,687,81,297,85960,7594,6965,100,1032
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,OVERALL,57986,1444,55,853,48151,2485,4282,112,611
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,RURAL,,,,,,,,,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,URBAN,57986,1444,55,853,48151,2485,4282,112,611
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,318394,11826,263,4380,247184,23967,15708,4445,10712
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,318394,11826,263,4380,247184,23967,15708,4445,10712
FEROZABAD,KARACHI EAST,SUB-DIVISION,OVERALL,81689,3679,168,1654,60958,6810,6963,126,1360
FEROZABAD,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,
FEROZABAD,KARACHI EAST,SUB-DIVISION,URBAN,81689,3679,168,1654,60958,6810,6963,126,1360
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,OVERALL,70140,3655,52,1021,55543,3990,2811,1542,1579
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,URBAN,70140,3655,52,1021,55543,3990,2811,1542,1579
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,OVERALL,128397,1800,13,767,102468,9553,3928,2735,7142
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,
