name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
MANKERA,BHAKKAR,TEHSIL,OVERALL,53000,52207,50498,2502,6992,45109,81,27,3,788
MANKERA,BHAKKAR,TEHSIL,RURAL,45358,44639,42991,2367,5843,38699,71,27,3,715
MANKERA,BHAKKAR,TEHSIL,URBAN,7642,7568,7507,135,1149,6410,10,,,73
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,275440,234788,54050,36486,225246,8457,1457,281,16911
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,207743,175118,43104,28428,168890,7270,515,149,12970
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,67697,59670,10946,8058,56356,1187,942,132,3941
CHAKWAL,CHAKWAL,TEHSIL,OVERALL,126901,121801,106993,19908,11431,104059,4568,888,148,5807
CHAKWAL,CHAKWAL,TEHSIL,RURAL,87472,83906,72853,14619,7591,71665,4182,420,53,3561
CHAKWAL,CHAKWAL,TEHSIL,URBAN,39429,37895,34140,5289,3840,32394,386,468,95,2246
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,OVERALL,26676,23922,15355,11321,6097,15719,1771,73,39,2977
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,RURAL,20571,18029,10705,9866,4955,11091,1694,51,10,2770
CHOA SAIDAN SHAH,CHAKWAL,TEHSIL,URBAN,6105,5893,4650,1455,1142,4628,77,22,29,207
KALLAR KAHAR,CHAKWAL,TEHSIL,OVERALL,33899,31903,20435,13464,10810,16982,1385,462,25,4235
KALLAR KAHAR,CHAKWAL,TEHSIL,RURAL,25707,24453,15506,10201,9135,12647,706,12,24,3183
KALLAR KAHAR,CHAKWAL,TEHSIL,URBAN,8192,7450,4929,3263,1675,4335,679,450,1,1052
LAWA,CHAKWAL,TEHSIL,OVERALL,22201,21293,19503,2698,1735,19292,201,24,35,914
LAWA,CHAKWAL,TEHSIL,RURAL,19115,18421,16988,2127,1259,16921,183,24,32,696
LAWA,CHAKWAL,TEHSIL,URBAN,3086,2872,2515,571,476,2371,18,,3,218
TALA GANG,CHAKWAL,TEHSIL,OVERALL,79161,76521,72502,6659,6413,69194,532,10,34,2978
TALA GANG,CHAKWAL,TEHSIL,RURAL,65357,62934,59066,6291,5488,56566,505,8,30,2760
TALA GANG,CHAKWAL,TEHSIL,URBAN,13804,13587,13436,368,925,12628,27,2,4,218
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,252125,224924,31514,48468,188925,528,13736,251,4530
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,170165,156745,16598,38320,127398,323,4113,43,3146
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,81960,68179,14916,10148,61527,205,9623,208,1384
BHAWANA,CHINIOT,TEHSIL,OVERALL,69433,67777,59450,9983,11388,51970,119,4290,20,1646
BHAWANA,CHINIOT,TEHSIL,RURAL,63333,61688,56180,7153,11048,48597,116,1924,14,1634
BHAWANA,CHINIOT,TEHSIL,URBAN,6100,6089,3270,2830,340,3373,3,2366,6,12
CHINIOT,CHINIOT,TEHSIL,OVERALL,103876,102168,96683,7193,14121,85212,218,2421,33,1871
CHINIOT,CHINIOT,TEHSIL,RURAL,51227,50218,46624,4603,9937,38551,111,1605,25,998
CHINIOT,CHINIOT,TEHSIL,URBAN,52649,51950,50059,2590,4184,46661,107,816,8,873
LALIAN,CHINIOT,TEHSIL,OVERALL,83129,82180,68791,14338,22959,51743,191,7025,198,1013
LALIAN,CHINIOT,TEHSIL,RURAL,58783,58259,53941,4842,17335,40250,96,584,4,514
LALIAN,CHINIOT,TEHSIL,URBAN,24346,23921,14850,9496,5624,11493,95,6441,194,499
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,414669,289171,165293,162258,186834,8818,47315,891,48348
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,302802,235488,104377,129790,153968,8507,7245,419,39936
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,111867,53683,60916,32468,32866,311,40070,472,8412
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,OVERALL,177702,171552,112396,65306,63206,60320,847,43704,455,9170
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,RURAL,104002,99041,85484,18518,50714,42643,663,4559,96,5327
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,URBAN,73700,72511,26912,46788,12492,17677,184,39145,359,3843
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,OVERALL,41138,18312,9103,32035,4671,11348,4504,16,36,20563
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,RURAL,41138,18312,9103,32035,4671,11348,4504,16,36,20563
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,URBAN,,,,,,,,,,
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,OVERALL,114956,111611,93552,21404,43019,61207,2223,855,180,7472
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,RURAL,99653,96464,83763,15890,36003,56586,2185,207,166,4506
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,URBAN,15303,15147,9789,5514,7016,4621,38,648,14,2966
TAUNSA,DERA GHAZI KHAN,TEHSIL,OVERALL,120668,113194,74120,46548,51362,53959,1244,2740,220,11143
TAUNSA,DERA GHAZI KHAN,TEHSIL,RURAL,95072,88985,57138,37934,38402,43391,1155,2463,121,9540
TAUNSA,DERA GHAZI KHAN,TEHSIL,URBAN,25596,24209,16982,8614,12960,10568,89,277,99,1603
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1286143,464914,917859,282845,506618,3627,303495,69612,216576
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,673918,279563,435009,175455,327485,1682,105533,8600,95817
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,612225,185351,482850,107390,179133,1945,197962,61012,120759
CHAK JHUMRA,FAISALABAD,TEHSIL,OVERALL,56658,54805,26334,30324,23363,25363,112,4263,69,3488
CHAK JHUMRA,FAISALABAD,TEHSIL,RURAL,47270,45693,21576,25694,20098,21611,95,2231,55,3180
CHAK JHUMRA,FAISALABAD,TEHSIL,URBAN,9388,9112,4758,4630,3265,3752,17,2032,14,308
FAISALABAD CITY,FAISALABAD,TEHSIL,OVERALL,556650,510036,148687,407963,80387,136815,1652,178282,57996,101518
FAISALABAD CITY,FAISALABAD,TEHSIL,RURAL,,,,,,,,,,
FAISALABAD CITY,FAISALABAD,TEHSIL,URBAN,556650,510036,148687,407963,80387,136815,1652,178282,57996,101518
FAISALABAD SADAR,FAISALABAD,TEHSIL,OVERALL,268685,256881,113672,155013,63700,130121,502,42678,2939,28745
FAISALABAD SADAR,FAISALABAD,TEHSIL,RURAL,253143,242514,104551,148592,55864,124771,446,42636,2801,26625
FAISALABAD SADAR,FAISALABAD,TEHSIL,URBAN,15542,14367,9121,6421,7836,5350,56,42,138,2120
JARANWALA,FAISALABAD,TEHSIL,OVERALL,264519,242437,79527,184992,71325,111096,532,30089,4732,46745
