name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
NAWAGAI,BAJAUR,TEHSIL,65 &  ABOVE,2186,1231,955,,2186,1231,955,,,,,
SALARZAI,BAJAUR,TEHSIL,ALL AGES,315745,158686,157056,3,315745,158686,157056,3,,,,
SALARZAI,BAJAUR,TEHSIL,UNDER 1,5274,2666,2608,,5274,2666,2608,,,,,
SALARZAI,BAJAUR,TEHSIL,UNDER 5,59542,29971,29571,,59542,29971,29571,,,,,
SALARZAI,BAJAUR,TEHSIL,UNDER 10,116641,58964,57677,,116641,58964,57677,,,,,
SALARZAI,BAJAUR,TEHSIL,UNDER 15,159430,80817,78612,1,159430,80817,78612,1,,,,
SALARZAI,BAJAUR,TEHSIL,05 - 24,153952,77644,76306,2,153952,77644,76306,2,,,,
SALARZAI,BAJAUR,TEHSIL,15 - 49,130735,64931,65803,1,130735,64931,65803,1,,,,
SALARZAI,BAJAUR,TEHSIL,15 - 64,149076,74049,75025,2,149076,74049,75025,2,,,,
SALARZAI,BAJAUR,TEHSIL,18 - 60,127437,63276,64159,2,127437,63276,64159,2,,,,
SALARZAI,BAJAUR,TEHSIL,18 &  ABOVE,138131,68815,69314,2,138131,68815,69314,2,,,,
SALARZAI,BAJAUR,TEHSIL,60 &  ABOVE,12056,6256,5800,,12056,6256,5800,,,,,
SALARZAI,BAJAUR,TEHSIL,65 &  ABOVE,7239,3820,3419,,7239,3820,3419,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,ALL AGES,123587,61998,61588,1,123587,61998,61588,1,,,,
UTMAN KHEL,BAJAUR,TEHSIL,UNDER 1,2453,1241,1212,,2453,1241,1212,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,UNDER 5,22681,11338,11343,,22681,11338,11343,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,UNDER 10,44736,22523,22213,,44736,22523,22213,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,UNDER 15,61973,31287,30686,,61973,31287,30686,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,05 - 24,61381,31019,30361,1,61381,31019,30361,1,,,,
UTMAN KHEL,BAJAUR,TEHSIL,15 - 49,51710,25702,26007,1,51710,25702,26007,1,,,,
UTMAN KHEL,BAJAUR,TEHSIL,15 - 64,58746,29212,29533,1,58746,29212,29533,1,,,,
UTMAN KHEL,BAJAUR,TEHSIL,18 - 60,49874,24821,25052,1,49874,24821,25052,1,,,,
UTMAN KHEL,BAJAUR,TEHSIL,18 &  ABOVE,54092,26967,27124,1,54092,26967,27124,1,,,,
UTMAN KHEL,BAJAUR,TEHSIL,60 &  ABOVE,4663,2376,2287,,4663,2376,2287,,,,,
UTMAN KHEL,BAJAUR,TEHSIL,65 &  ABOVE,2868,1499,1369,,2868,1499,1369,,,,,
BANNU,BANNU,DISTRICT,ALL AGES,1354674,704556,650099,19,1306578,678638,627928,12,48096,25918,22171,7
BANNU,BANNU,DISTRICT,UNDER 1,24864,12839,12025,,24118,12458,11660,,746,381,365,
BANNU,BANNU,DISTRICT,UNDER 5,227460,117963,109497,,221801,115049,106752,,5659,2914,2745,
BANNU,BANNU,DISTRICT,UNDER 10,445307,234418,210889,,433542,228377,205165,,11765,6041,5724,
BANNU,BANNU,DISTRICT,UNDER 15,616518,327500,289016,2,598651,318066,280584,1,17867,9434,8432,1
BANNU,BANNU,DISTRICT,05 - 24,639421,339614,299798,9,616668,326942,289720,6,22753,12672,10078,3
BANNU,BANNU,DISTRICT,15 - 49,604751,304300,300436,15,579624,290649,288966,9,25127,13651,11470,6
BANNU,BANNU,DISTRICT,15 - 64,699840,354199,345624,17,671023,338524,332488,11,28817,15675,13136,6
BANNU,BANNU,DISTRICT,18 - 60,596481,297895,298572,14,571805,284692,287104,9,24676,13203,11468,5
BANNU,BANNU,DISTRICT,18 &  ABOVE,653990,331413,322563,14,627250,317036,310205,9,26740,14377,12358,5
BANNU,BANNU,DISTRICT,60 &  ABOVE,64754,37551,27203,,62374,36194,26180,,2380,1357,1023,
BANNU,BANNU,DISTRICT,65 &  ABOVE,38316,22857,15459,,36904,22048,14856,,1412,809,603,
BAKKA KHEL,BANNU,TEHSIL,ALL AGES,192732,100004,92728,,192732,100004,92728,,,,,
BAKKA KHEL,BANNU,TEHSIL,UNDER 1,2962,1517,1445,,2962,1517,1445,,,,,
BAKKA KHEL,BANNU,TEHSIL,UNDER 5,34393,17914,16479,,34393,17914,16479,,,,,
BAKKA KHEL,BANNU,TEHSIL,UNDER 10,67553,35909,31644,,67553,35909,31644,,,,,
BAKKA KHEL,BANNU,TEHSIL,UNDER 15,92264,49730,42534,,92264,49730,42534,,,,,
BAKKA KHEL,BANNU,TEHSIL,05 - 24,93137,50135,43002,,93137,50135,43002,,,,,
BAKKA KHEL,BANNU,TEHSIL,15 - 49,82704,40917,41787,,82704,40917,41787,,,,,
BAKKA KHEL,BANNU,TEHSIL,15 - 64,95587,47428,48159,,95587,47428,48159,,,,,
BAKKA KHEL,BANNU,TEHSIL,18 - 60,81628,39520,42108,,81628,39520,42108,,,,,
BAKKA KHEL,BANNU,TEHSIL,18 &  ABOVE,89199,43830,45369,,89199,43830,45369,,,,,
BAKKA KHEL,BANNU,TEHSIL,60 &  ABOVE,8551,4872,3679,,8551,4872,3679,,,,,
