name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,93251,111346,1166,2087,86218,10392
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,OVERALL,177702,115376,149751,4526,23425,105268,37989
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,RURAL,104002,54541,77575,3718,22709,47664,33412
DERA GHAZI KHAN,DERA GHAZI KHAN,TEHSIL,URBAN,73700,60835,72176,808,716,57604,4577
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,OVERALL,41138,6805,5834,2397,32907,9647,29235
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,RURAL,41138,6805,5834,2397,32907,9647,29235
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,URBAN,,,,,,,
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,OVERALL,114956,49511,71514,3001,40441,43363,49258
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,RURAL,99653,38582,57217,2851,39585,34631,45811
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,URBAN,15303,10929,14297,150,856,8732,3447
TAUNSA,DERA GHAZI KHAN,TEHSIL,OVERALL,120668,73985,92838,5917,21913,65653,34010
TAUNSA,DERA GHAZI KHAN,TEHSIL,RURAL,95072,52498,67965,5709,21398,45771,31642
TAUNSA,DERA GHAZI KHAN,TEHSIL,URBAN,25596,21487,24873,208,515,19882,2368
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1133041,1287363,22274,73136,1114732,93347
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,560568,635806,13010,65756,549249,78572
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,572473,651557,9264,7380,565483,14775
CHAK JHUMRA,FAISALABAD,TEHSIL,OVERALL,56658,46681,51273,1761,3624,46453,3945
CHAK JHUMRA,FAISALABAD,TEHSIL,RURAL,47270,38576,42169,1634,3467,38342,3777
CHAK JHUMRA,FAISALABAD,TEHSIL,URBAN,9388,8105,9104,127,157,8111,168
FAISALABAD CITY,FAISALABAD,TEHSIL,OVERALL,556650,475021,543715,7743,5192,469101,11390
FAISALABAD CITY,FAISALABAD,TEHSIL,RURAL,,,,,,,
FAISALABAD CITY,FAISALABAD,TEHSIL,URBAN,556650,475021,543715,7743,5192,469101,11390
FAISALABAD SADAR,FAISALABAD,TEHSIL,OVERALL,268685,227607,254086,4348,10251,220437,18197
FAISALABAD SADAR,FAISALABAD,TEHSIL,RURAL,253143,214276,239378,4102,9663,207119,17608
FAISALABAD SADAR,FAISALABAD,TEHSIL,URBAN,15542,13331,14708,246,588,13318,589
JARANWALA,FAISALABAD,TEHSIL,OVERALL,264519,209181,239638,4085,20796,204748,25792
JARANWALA,FAISALABAD,TEHSIL,RURAL,222845,171654,198572,3854,20419,167800,24821
JARANWALA,FAISALABAD,TEHSIL,URBAN,41674,37527,41066,231,377,36948,971
SAMMUNDRI,FAISALABAD,TEHSIL,OVERALL,110873,96793,105389,1811,3673,95339,5272
SAMMUNDRI,FAISALABAD,TEHSIL,RURAL,79879,70332,75870,1097,2912,69369,3942
SAMMUNDRI,FAISALABAD,TEHSIL,URBAN,30994,26461,29519,714,761,25970,1330
TANDLIAN WALA,FAISALABAD,TEHSIL,OVERALL,125388,77758,93262,2526,29600,78654,28751
TANDLIAN WALA,FAISALABAD,TEHSIL,RURAL,111435,65730,79817,2323,29295,66619,28424
TANDLIAN WALA,FAISALABAD,TEHSIL,URBAN,13953,12028,13445,203,305,12035,327
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,726387,821732,14446,12999,721187,19336
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,278292,317748,7137,8304,276274,11257
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,448095,503984,7309,4695,444913,8079
GUJRANWALA CITY,GUJRANWALA,TEHSIL,OVERALL,356287,312275,347114,5962,3211,309314,5940
GUJRANWALA CITY,GUJRANWALA,TEHSIL,RURAL,,,,,,,
GUJRANWALA CITY,GUJRANWALA,TEHSIL,URBAN,356287,312275,347114,5962,3211,309314,5940
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,OVERALL,168704,144780,162099,3118,3487,145353,3280
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,RURAL,114033,96449,108448,2309,3276,97099,2978
