district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
CHAGAI,38,2556,1309,1247,,2360,1206,1154,,196,103,93,
CHAGAI,39,2424,1183,1241,,2201,1084,1117,,223,99,124,
CHAGAI,40,1985,1081,904,,1807,972,835,,178,109,69,
CHAGAI,41,2469,1313,1156,,2245,1199,1046,,224,114,110,
CHAGAI,42,2211,1257,954,,1993,1133,860,,218,124,94,
CHAGAI,43,2372,1308,1064,,2182,1200,982,,190,108,82,
CHAGAI,44,1779,1004,775,,1601,889,712,,178,115,63,
CHAGAI,45,1436,814,622,,1322,750,572,,114,64,50,
CHAGAI,46,1394,794,600,,1257,713,544,,137,81,56,
CHAGAI,47,1335,771,564,,1192,683,509,,143,88,55,
CHAGAI,48,1465,769,696,,1360,711,649,,105,58,47,
CHAGAI,49,1222,664,558,,1122,611,511,,100,53,47,
CHAGAI,50,993,548,445,,918,504,414,,75,44,31,
CHAGAI,51,1207,622,585,,1113,582,531,,94,40,54,
CHAGAI,52,1233,672,561,,1126,613,513,,107,59,48,
CHAGAI,53,1384,731,653,,1276,674,602,,108,57,51,
CHAGAI,54,972,567,405,,870,520,350,,102,47,55,
CHAGAI,55,826,442,384,,753,399,354,,73,43,30,
CHAGAI,56,850,526,324,,774,481,293,,76,45,31,
CHAGAI,57,834,477,357,,773,444,329,,61,33,28,
CHAGAI,58,928,557,371,,847,510,337,,81,47,34,
CHAGAI,59,730,451,279,,649,404,245,,81,47,34,
CHAGAI,60,632,362,270,,577,330,247,,55,32,23,
CHAGAI,61,596,378,218,,547,352,195,,49,26,23,
CHAGAI,62,496,318,178,,451,287,164,,45,31,14,
CHAGAI,63,700,385,315,,646,353,293,,54,32,22,
CHAGAI,64,477,280,197,,429,254,175,,48,26,22,
CHAGAI,65,573,329,244,,521,303,218,,52,26,26,
CHAGAI,66,414,230,184,,372,208,164,,42,22,20,
CHAGAI,67,409,234,175,,369,211,158,,40,23,17,
CHAGAI,68,423,218,205,,371,192,179,,52,26,26,
CHAGAI,69,332,174,158,,299,159,140,,33,15,18,
CHAGAI,70,420,242,178,,387,224,163,,33,18,15,
CHAGAI,71,327,182,145,,303,171,132,,24,11,13,
CHAGAI,72,274,157,117,,244,142,102,,30,15,15,
CHAGAI,73,311,181,130,,288,164,124,,23,17,6,
CHAGAI,74,221,127,94,,196,118,78,,25,9,16,
CHAGAI,75 & ABOVE,1613,983,630,,1522,930,592,,91,53,38,
CHAMAN,ALL AGES,466218,261194,205011,13,336079,189666,146401,12,130139,71528,58610,1
CHAMAN,BELOW 1,10705,6280,4425,,7983,4646,3337,,2722,1634,1088,
