name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,LESS THAN 200,7,289,200,89,,Rural Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,OVERALL,71,200329,99396,100931,2,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,"5,000 AND ABOVE",9,95348,47525,47822,1,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,"2,000 -- 4,999",21,63194,31070,32123,1,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,"1,000 -- 1,999",19,28563,14185,14378,,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,500 -- 999,16,11078,5571,5507,,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,200 -- 499,6,2146,1045,1101,,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,LESS THAN 200,,,,,,Rural Localities
HAVELIAN,TEHSIL,ABBOTTABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,OVERALL,37,98717,48662,50054,1,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,"5,000 AND ABOVE",5,44160,21954,22205,1,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,"2,000 -- 4,999",13,41448,20290,21158,,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,"1,000 -- 1,999",3,4002,1903,2099,,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,500 -- 999,9,7264,3577,3687,,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,200 -- 499,6,1699,858,841,,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,LESS THAN 200,1,144,80,64,,Rural Localities
LORA,TEHSIL,ABBOTTABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
LOWER TANAWAL,TEHSIL,ABBOTTABAD,RURAL,OVERALL,64,60262,29960,30300,2,Rural Localities
