name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BAJAUR,DISTRICT,30 - 34,SEPERATION,26,17,9,,26,17,9,,,,,
BAJAUR,DISTRICT,30 - 34,WIDOWED,250,222,28,,250,222,28,,,,,
BAJAUR,DISTRICT,35 - 39,DIVORCED,20,19,1,,20,19,1,,,,,
BAJAUR,DISTRICT,35 - 39,MARRIED,59994,27543,32451,,59994,27543,32451,,,,,
BAJAUR,DISTRICT,35 - 39,NEVER MARRIED,972,501,471,,972,501,471,,,,,
BAJAUR,DISTRICT,35 - 39,SEPERATION,28,27,1,,28,27,1,,,,,
BAJAUR,DISTRICT,35 - 39,WIDOWED,371,349,22,,371,349,22,,,,,
BAJAUR,DISTRICT,40 - 44,DIVORCED,18,15,3,,18,15,3,,,,,
BAJAUR,DISTRICT,40 - 44,MARRIED,45329,22173,23156,,45329,22173,23156,,,,,
BAJAUR,DISTRICT,40 - 44,NEVER MARRIED,465,260,205,,465,260,205,,,,,
BAJAUR,DISTRICT,40 - 44,SEPERATION,29,28,1,,29,28,1,,,,,
BAJAUR,DISTRICT,40 - 44,WIDOWED,595,555,40,,595,555,40,,,,,
BAJAUR,DISTRICT,45 - 49,DIVORCED,17,16,1,,17,16,1,,,,,
BAJAUR,DISTRICT,45 - 49,MARRIED,35631,17293,18338,,35631,17293,18338,,,,,
BAJAUR,DISTRICT,45 - 49,NEVER MARRIED,238,127,111,,238,127,111,,,,,
BAJAUR,DISTRICT,45 - 49,SEPERATION,40,36,4,,40,36,4,,,,,
BAJAUR,DISTRICT,45 - 49,WIDOWED,641,596,45,,641,596,45,,,,,
BAJAUR,DISTRICT,50 - 54,DIVORCED,11,10,1,,11,10,1,,,,,
BAJAUR,DISTRICT,50 - 54,MARRIED,29908,14722,15186,,29908,14722,15186,,,,,
BAJAUR,DISTRICT,50 - 54,NEVER MARRIED,124,74,50,,124,74,50,,,,,
BAJAUR,DISTRICT,50 - 54,SEPERATION,37,34,3,,37,34,3,,,,,
BAJAUR,DISTRICT,50 - 54,WIDOWED,1151,1075,76,,1151,1075,76,,,,,
BAJAUR,DISTRICT,55 - 59,DIVORCED,3,3,,,3,3,,,,,,
BAJAUR,DISTRICT,55 - 59,MARRIED,21577,10334,11243,,21577,10334,11243,,,,,
BAJAUR,DISTRICT,55 - 59,NEVER MARRIED,64,39,24,1,64,39,24,1,,,,
BAJAUR,DISTRICT,55 - 59,SEPERATION,29,27,2,,29,27,2,,,,,
