name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
MAMUND,BAJAUR,TEHSIL,RURAL,TOTAL,357135,181487,175644,4,48703,100
MAMUND,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
MAMUND,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
MAMUND,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
MAMUND,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
NAWAGAI,BAJAUR,TEHSIL,OVERALL,REGULAR,93706,47593,46109,4,13131,100
NAWAGAI,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,OVERALL,HOMELESS,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,OVERALL,TOTAL,93706,47593,46109,4,13131,100
NAWAGAI,BAJAUR,TEHSIL,RURAL,REGULAR,93706,47593,46109,4,13131,100
NAWAGAI,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,RURAL,HOMELESS,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,RURAL,TOTAL,93706,47593,46109,4,13131,100
NAWAGAI,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
NAWAGAI,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
SALARZAI,BAJAUR,TEHSIL,OVERALL,REGULAR,315665,158609,157053,3,47565,99.98999999999999
SALARZAI,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,80,77,3,,5,.01
SALARZAI,BAJAUR,TEHSIL,OVERALL,HOMELESS,,,,,,0
SALARZAI,BAJAUR,TEHSIL,OVERALL,TOTAL,315745,158686,157056,3,47570,100
SALARZAI,BAJAUR,TEHSIL,RURAL,REGULAR,315665,158609,157053,3,47565,99.98999999999999
SALARZAI,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,80,77,3,,5,.01
SALARZAI,BAJAUR,TEHSIL,RURAL,HOMELESS,,,,,,0
SALARZAI,BAJAUR,TEHSIL,RURAL,TOTAL,315745,158686,157056,3,47570,100
SALARZAI,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
SALARZAI,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
SALARZAI,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
SALARZAI,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,REGULAR,123531,61953,61577,1,15718,99.97
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,INSTITUTIONAL,49,41,8,,3,.02
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,HOMELESS,7,4,3,,1,.01
UTMAN KHEL,BAJAUR,TEHSIL,OVERALL,TOTAL,123587,61998,61588,1,15722,100
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,REGULAR,123531,61953,61577,1,15718,99.97
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,INSTITUTIONAL,49,41,8,,3,.02
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,HOMELESS,7,4,3,,1,.01
UTMAN KHEL,BAJAUR,TEHSIL,RURAL,TOTAL,123587,61998,61588,1,15722,100
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,REGULAR,,,,,,0
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,HOMELESS,,,,,,0
UTMAN KHEL,BAJAUR,TEHSIL,URBAN,TOTAL,,,,,,100
BANNU,BANNU,DISTRICT,OVERALL,REGULAR,1349374,700306,649049,19,183130,99.94
BANNU,BANNU,DISTRICT,OVERALL,INSTITUTIONAL,5229,4211,1018,,102,.06
BANNU,BANNU,DISTRICT,OVERALL,HOMELESS,71,39,32,,14,.01
BANNU,BANNU,DISTRICT,OVERALL,TOTAL,1354674,704556,650099,19,183246,100
BANNU,BANNU,DISTRICT,RURAL,REGULAR,1302905,675787,627106,12,176054,99.95
