name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
THANO BULA KHAN,TEHSIL,JAMSHORO,RURAL,,144038,74529,69506,3,107.23,,,4.9,130318,1.69
THANO BULA KHAN,TEHSIL,JAMSHORO,URBAN,,17462,9123,8337,2,109.43,,,4.4,14944,2.64
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,OVERALL,5475,1514869,791116,723710,43,109.31,276.69,27.85,5.6,1338035,2.1
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,,1093004,571677,521312,15,109.66,,,5.6,941232,2.53
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,URBAN,,421865,219439,202398,28,108.42,,,5.7,396803,1.03
KAMBAR ALI KHAN,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,2260,448990,234516,214459,15,109.35,198.67,25.01,5.7,393374,2.23
KAMBAR ALI KHAN,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,336677,176244,160427,6,109.86,,,5.7,292404,2.38
KAMBAR ALI KHAN,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,112313,58272,54032,9,107.85,,,5.8,100970,1.8
MIRO KHAN,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,374,182461,96091,86368,2,111.26,487.86,25.82,6.2,157934,2.44
MIRO KHAN,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,135354,71361,63993,,111.51,,,6,115622,2.67
MIRO KHAN,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,47107,24730,22375,2,110.53,,,6.7,42312,1.81
NASIRABAD,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,309,174708,91575,83127,6,110.16,565.4,21.81,5.8,151410,2.42
NASIRABAD,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,136603,71440,65160,3,109.64,,,5.8,113591,3.13
NASIRABAD,TEHSIL,KAMBAR SHAHDAD KOT,URBAN,,38105,20135,17967,3,112.07,,,5.8,37819,.13
QUBO SAEED KHAN,TEHSIL,KAMBAR SHAHDAD KOT,OVERALL,1033,99308,51360,47946,2,107.12,96.14,30.86,5.3,85767,2.48
QUBO SAEED KHAN,TEHSIL,KAMBAR SHAHDAD KOT,RURAL,,68662,35528,33134,,107.23,,,5.3,58144,2.82
