name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,218368,19326,32327,32224,4279,205792,27726,122273,96055
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,161675,18275,30280,6972,1759,177577,23922,85229,82671
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,56693,1051,2047,25252,2520,28215,3804,37044,13384
DARABAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,19400,11882,2979,4539,50,6,17709,1635,5391,11176
DARABAN,DERA ISMAIL KHAN,TEHSIL,RURAL,19400,11882,2979,4539,50,6,17709,1635,5391,11176
DARABAN,DERA ISMAIL KHAN,TEHSIL,URBAN,,,,,,,,,,
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,OVERALL,116498,103960,3874,8664,31712,3642,69292,11852,66911,25002
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,RURAL,80760,69064,3320,8376,6539,1279,61925,11017,39660,21879
DERA ISMAIL KHAN,DERA ISMAIL KHAN,TEHSIL,URBAN,35738,34896,554,288,25173,2363,7367,835,27251,3123
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,OVERALL,9765,4249,3584,1932,25,1,9149,590,4645,3202
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,RURAL,9765,4249,3584,1932,25,1,9149,590,4645,3202
DRAZANDA,DERA ISMAIL KHAN,SUB-DIVISION,URBAN,,,,,,,,,,
KULACHI,DERA ISMAIL KHAN,TEHSIL,OVERALL,16119,14097,485,1537,45,1,14596,1477,5923,5694
KULACHI,DERA ISMAIL KHAN,TEHSIL,RURAL,12076,10518,473,1085,28,,11113,935,4273,3990
KULACHI,DERA ISMAIL KHAN,TEHSIL,URBAN,4043,3579,12,452,17,1,3483,542,1650,1704
