name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
TALAO,DUKI,SUB-TEHSIL,RURAL,5256,235,4511,510,20,24,5046,166,2940,1017
TALAO,DUKI,SUB-TEHSIL,URBAN,,,,,,,,,,
THAL CHUTYALI,DUKI,SUB-DIVISION,OVERALL,8290,5444,1912,934,79,13,7991,207,3016,1421
THAL CHUTYALI,DUKI,SUB-DIVISION,RURAL,8290,5444,1912,934,79,13,7991,207,3016,1421
THAL CHUTYALI,DUKI,SUB-DIVISION,URBAN,,,,,,,,,,
GWADAR,GWADAR,DISTRICT,OVERALL,50357,40346,5795,4216,2932,5015,41588,822,33476,1282
GWADAR,GWADAR,DISTRICT,RURAL,22539,13662,5382,3495,266,897,20745,631,16699,948
GWADAR,GWADAR,DISTRICT,URBAN,27818,26684,413,721,2666,4118,20843,191,16777,334
GWADAR,GWADAR,SUB-DIVISION,OVERALL,24533,22571,778,1184,2785,3075,18441,232,15930,317
GWADAR,GWADAR,SUB-DIVISION,RURAL,10503,9424,545,534,218,520,9650,115,7088,146
GWADAR,GWADAR,SUB-DIVISION,URBAN,14030,13147,233,650,2567,2555,8791,117,8842,171
JIWANI,GWADAR,TEHSIL,OVERALL,4420,3996,360,64,21,390,3994,15,3137,54
JIWANI,GWADAR,TEHSIL,RURAL,1586,1257,281,48,4,360,1217,5,889,10
JIWANI,GWADAR,TEHSIL,URBAN,2834,2739,79,16,17,30,2777,10,2248,44
ORMARA,GWADAR,TEHSIL,OVERALL,5415,3665,789,961,50,901,4303,161,3396,560
ORMARA,GWADAR,TEHSIL,RURAL,1789,94,739,956,11,2,1640,136,1238,533
ORMARA,GWADAR,TEHSIL,URBAN,3626,3571,50,5,39,899,2663,25,2158,27
PASNI,GWADAR,SUB-DIVISION,OVERALL,13708,9685,2295,1728,51,635,12639,383,8975,333
PASNI,GWADAR,SUB-DIVISION,RURAL,6380,2458,2244,1678,8,1,6027,344,5446,241
PASNI,GWADAR,SUB-DIVISION,URBAN,7328,7227,51,50,43,634,6612,39,3529,92
SUNTSER,GWADAR,SUB-TEHSIL,OVERALL,2281,429,1573,279,25,14,2211,31,2038,18
SUNTSER,GWADAR,SUB-TEHSIL,RURAL,2281,429,1573,279,25,14,2211,31,2038,18
SUNTSER,GWADAR,SUB-TEHSIL,URBAN,,,,,,,,,,
HARNAI,HARNAI,DISTRICT,OVERALL,16393,11546,2347,2500,105,127,14978,1183,5837,4606
HARNAI,HARNAI,DISTRICT,RURAL,11891,7496,2023,2372,66,27,10742,1056,3611,4400
HARNAI,HARNAI,DISTRICT,URBAN,4502,4050,324,128,39,100,4236,127,2226,206
HARNAI,HARNAI,SUB-DIVISION,OVERALL,10170,7023,1339,1808,45,105,9357,663,2813,3715
HARNAI,HARNAI,SUB-DIVISION,RURAL,8051,4909,1335,1807,36,23,7334,658,2099,3640
HARNAI,HARNAI,SUB-DIVISION,URBAN,2119,2114,4,1,9,82,2023,5,714,75
KHOAST,HARNAI,SUB-DIVISION,OVERALL,2212,1496,583,133,17,2,2124,69,1127,197
KHOAST,HARNAI,SUB-DIVISION,RURAL,2212,1496,583,133,17,2,2124,69,1127,197
KHOAST,HARNAI,SUB-DIVISION,URBAN,,,,,,,,,,
SHAHRIG,HARNAI,TEHSIL,OVERALL,4011,3027,425,559,43,20,3497,451,1897,694
SHAHRIG,HARNAI,TEHSIL,RURAL,1628,1091,105,432,13,2,1284,329,385,563
SHAHRIG,HARNAI,TEHSIL,URBAN,2383,1936,320,127,30,18,2213,122,1512,131
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,81562,60832,7773,12957,11216,298,43183,26865,22471,42732
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,62763,45232,6270,11261,2262,184,36777,23540,15219,36754
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,18799,15600,1503,1696,8954,114,6406,3325,7252,5978
GANDAKHA,JAFFARABAD,TEHSIL,OVERALL,14259,10571,1651,2037,37,62,9385,4775,4027,8660
GANDAKHA,JAFFARABAD,TEHSIL,RURAL,14259,10571,1651,2037,37,62,9385,4775,4027,8660
GANDAKHA,JAFFARABAD,TEHSIL,URBAN,,,,,,,,,,
