name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1143970,193265,29527,7069,2337,6605,1308747,58015,285470,486630,304166,306507
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,640202,48953,19272,834,1230,4081,680705,27722,165526,257722,149727,141597
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,503768,144312,10255,6235,1107,2524,628042,30293,119944,228908,154439,164910
CHAK JHUMRA,FAISALABAD,TEHSIL,OVERALL,56658,51217,3535,1494,68,41,303,53849,2397,10350,18592,13253,14463
CHAK JHUMRA,FAISALABAD,TEHSIL,RURAL,47270,43486,2230,1236,33,36,249,45019,1933,8417,15289,11100,12464
CHAK JHUMRA,FAISALABAD,TEHSIL,URBAN,9388,7731,1305,258,35,5,54,8830,464,1933,3303,2153,1999
FAISALABAD CITY,FAISALABAD,TEHSIL,OVERALL,556650,413771,125585,8679,5823,898,1894,523094,24941,99294,189775,127411,140170
FAISALABAD CITY,FAISALABAD,TEHSIL,RURAL,,,,,,,,,,,,,
FAISALABAD CITY,FAISALABAD,TEHSIL,URBAN,556650,413771,125585,8679,5823,898,1894,523094,24941,99294,189775,127411,140170
FAISALABAD SADAR,FAISALABAD,TEHSIL,OVERALL,268685,229964,30155,6727,348,352,1139,256777,10069,60010,95065,57981,55629
FAISALABAD SADAR,FAISALABAD,TEHSIL,RURAL,253143,216393,28523,6488,331,346,1062,242043,9361,57281,89528,54012,52322
FAISALABAD SADAR,FAISALABAD,TEHSIL,URBAN,15542,13571,1632,239,17,6,77,14734,708,2729,5537,3969,3307
JARANWALA,FAISALABAD,TEHSIL,OVERALL,264519,231876,23994,6067,477,813,1292,251354,10583,65313,99535,53508,46163
JARANWALA,FAISALABAD,TEHSIL,RURAL,222845,200587,14541,5617,316,650,1134,212049,8696,57557,84645,43615,37028
JARANWALA,FAISALABAD,TEHSIL,URBAN,41674,31289,9453,450,161,163,158,39305,1887,7756,14890,9893,9135
SAMMUNDRI,FAISALABAD,TEHSIL,OVERALL,110873,100932,6716,2326,159,67,673,105048,4926,19004,38129,26654,27086
SAMMUNDRI,FAISALABAD,TEHSIL,RURAL,79879,75475,2036,1898,57,55,358,76147,3262,13293,27732,18872,19982
SAMMUNDRI,FAISALABAD,TEHSIL,URBAN,30994,25457,4680,428,102,12,315,28901,1664,5711,10397,7782,7104
TANDLIAN WALA,FAISALABAD,TEHSIL,OVERALL,125388,116210,3280,4234,194,166,1304,118625,5099,31499,45534,25359,22996
TANDLIAN WALA,FAISALABAD,TEHSIL,RURAL,111435,104261,1623,4033,97,143,1278,105447,4470,28978,40528,22128,19801
TANDLIAN WALA,FAISALABAD,TEHSIL,URBAN,13953,11949,1657,201,97,23,26,13178,629,2521,5006,3231,3195
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,716119,107582,16160,5855,543,2918,806383,33478,102975,250026,225850,270326
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,304827,17444,9209,386,153,1170,319148,12332,46455,100814,85770,100150
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,411292,90138,6951,5469,390,1748,487235,21146,56520,149212,140080,170176
