name_admin_unit,admin_units,part_of_district,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
NAL,SUB-DIVISION,KHUZDAR,URBAN,48481,26917,21563,1,33321,6.46738141,7.86,Urban Localities
WADH,SUB-DIVISION,KHUZDAR,URBAN,26875,14284,12591,,22209,3.23834602,5.38,Urban Localities
KILLA ABDULLAH,SUB-DIVISION,KILLA ABDULLAH,URBAN,35384,19725,15657,2,26124,5.20135615,5.55,Urban Localities
KILLA SAIFULLAH,SUB-DIVISION,KILLA SAIFULLAH,URBAN,35043,18163,16880,,34865,.08514225,4.86,Urban Localities
MUSLIM BAGH,TEHSIL,KILLA SAIFULLAH,URBAN,29132,14464,14668,,28428,.40966401,6.2,Urban Localities
KOHLU,SUB-DIVISION,KOHLU,URBAN,18978,9057,9921,,17443,1.41952964,6.01,Urban Localities
HUB,SUB-DIVISION,LASBELA,URBAN,195661,99983,95672,6,177823,1.61044062,6.49,Urban Localities
BELA,SUB-DIVISION,LASBELA,URBAN,29380,15877,13502,1,24603,3.00993684,7.38,Urban Localities
UTHAL,SUB-DIVISION,LASBELA,URBAN,37071,19480,17590,1,29423,3.93704135,6.37,Urban Localities
SONMIANI/WINDER,TEHSIL,LASBELA,URBAN,35245,17812,17432,1,29515,3.00958018,4.81,Urban Localities
DUREJI,SUB-DIVISION,LASBELA,URBAN,15688,8090,7595,3,12855,3.38448945,5.12,Urban Localities
GADDANI,TEHSIL,LASBELA,URBAN,17540,8806,8734,,7679,14.80245756,4.5,Urban Localities
BORI,SUB-DIVISION,LORALAI,URBAN,56613,29553,27059,1,47098,3.12297131,7.69,Urban Localities
BORI,SUB-DIVISION,LORALAI,URBAN,2988,1469,1519,,7751,-14.72634113,12.3,Urban Localities
MASTUNG,SUB-DIVISION,MASTUNG,URBAN,40374,21358,19016,,34997,2.41733839,7.43,Urban Localities
MUSAKHEL,TEHSIL,MUSAKHEL,URBAN,15805,8501,7304,,14135,1.88382615,6.7,Urban Localities
DERA MURAD JAMALI,SUB-DIVISION,NASIRABAD,URBAN,106952,53432,53518,2,96316,1.76595305,7.49,Urban Localities
NUSHKI,SUB-DIVISION,NUSHKI,URBAN,48572,25470,23101,1,46396,.76893252,6.69,Urban Localities
PANJGUR,SUB-DIVISION,PANJGUR,URBAN,66030,37944,28079,7,35798,10.77329818,3.68,Urban Localities
PANJGUR,SUB-DIVISION,PANJGUR,URBAN,47034,23951,23077,6,44613,.88708042,8.359999999999999,Urban Localities
PANJGUR,SUB-DIVISION,PANJGUR,URBAN,44629,22915,21664,50,,,7.98,Urban Localities
PISHIN,SUB-DIVISION,PISHIN,URBAN,107646,55613,52027,6,35547,20.34242049,5.08,Urban Localities
HURRAM ZAI,SUB-DIVISION,PISHIN,URBAN,42945,21605,21340,,29402,6.53632349,7.65,Urban Localities
KAREZAT,SUB-DIVISION,PISHIN,URBAN,46682,23597,23084,1,39997,2.61660354,6.74,Urban Localities
SARANAN,TEHSIL,PISHIN,URBAN,46512,23428,23083,1,37850,3.50405467,5.68,Urban Localities
QUETTA,SUB-DIVISION_CITY,QUETTA,URBAN,1077191,547883,529236,72,907925,2.89817441,9.050000000000001,Urban Localities
SADDAR TEHSIL,SUB-DIVISION,QUETTA,URBAN,206445,104500,101937,8,,,10.52,Urban Localities
QUETTA CANTONMENT,SUB-DIVISION_CITY,QUETTA,URBAN,164184,81112,83072,,91460,10.27216298,18.9,Urban Localities
KUCHLAK,SUB-DIVISION,QUETTA,URBAN,50810,25675,25133,2,,,7.78,Urban Localities
SARIAB,SUB-DIVISION,QUETTA,URBAN,66916,34284,32632,,,,9.279999999999999,Urban Localities
SIBI,SUB-DIVISION,SIBI,URBAN,69300,35094,34206,,64674,1.16127095,6.01,Urban Localities
SOHBATPUR,SUB-DIVISION,SOHBATPUR,URBAN,14728,7484,7244,,12867,2.28324957,8.210000000000001,Urban Localities
SURAB,SUB-DIVISION,SURAB,URBAN,36468,17131,19337,,35597,.40481696,5.9,Urban Localities
WASHUK,SUB-DIVISION,WASHUK,URBAN,41107,21028,20079,,21835,11.15247764,5.79,Urban Localities
ZHOB,SUB-DIVISION,ZHOB,URBAN,44251,24071,20180,,39914,1.73883232,7.5,Urban Localities
ZHOB,SUB-DIVISION,ZHOB,URBAN,2725,1369,1356,,6250,-12.9537832,5.19,Urban Localities
SINJAWI,SUB-DIVISION,ZIARAT,URBAN,45539,23489,22049,1,,,9.26,Urban Localities
ZIARAT,SUB-DIVISION,ZIARAT,URBAN,3863,1923,1939,1,3392,2.19678794,5.69,Urban Localities
