name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
KHANGARH,TALUKA,GHOTKI,RURAL,200 -- 499,,,,,,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
KHANGARH,TALUKA,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,OVERALL,55,275996,142822,133169,5,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,"5,000 AND ABOVE",22,175612,90861,84749,2,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,"2,000 -- 4,999",26,90506,46815,43688,3,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,"1,000 -- 1,999",6,9268,4830,4438,,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,500 -- 999,1,610,316,294,,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,200 -- 499,,,,,,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
MIRPUR MATHELO,TALUKA,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,OVERALL,63,332579,172705,159865,9,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,"5,000 AND ABOVE",28,220909,115076,105824,9,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,"2,000 -- 4,999",28,102669,52972,49697,,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,"1,000 -- 1,999",5,7160,3734,3426,,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,500 -- 999,2,1841,923,918,,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,200 -- 499,,,,,,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
UBAURO,TALUKA,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,OVERALL,60,410161,216720,193434,7,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,"5,000 AND ABOVE",38,339434,179527,159903,4,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,"2,000 -- 4,999",19,68562,35995,32564,3,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,"1,000 -- 1,999",1,1391,775,616,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,500 -- 999,1,633,336,297,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,200 -- 499,,,,,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,LESS THAN 200,1,141,87,54,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,OVERALL,60,410161,216720,193434,7,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,"5,000 AND ABOVE",38,339434,179527,159903,4,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,"2,000 -- 4,999",19,68562,35995,32564,3,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,"1,000 -- 1,999",1,1391,775,616,,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,500 -- 999,1,633,336,297,,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,200 -- 499,,,,,,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,LESS THAN 200,1,141,87,54,,Rural Localities
HYDERABAD,TALUKA,HYDERABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,OVERALL,208,812180,411783,400369,28,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,"5,000 AND ABOVE",44,375827,191574,184240,13,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,"2,000 -- 4,999",107,358419,180481,177932,6,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,"1,000 -- 1,999",44,68946,35167,33771,8,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,500 -- 999,9,7114,3634,3479,1,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,200 -- 499,4,1874,927,947,,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,LESS THAN 200,,,,,,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,OVERALL,60,173290,86937,86350,3,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,"5,000 AND ABOVE",7,51362,25934,25427,1,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,"2,000 -- 4,999",27,87759,43628,44131,,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,"1,000 -- 1,999",20,29621,15043,14577,1,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,500 -- 999,5,4064,2097,1966,1,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,200 -- 499,1,484,235,249,,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,LESS THAN 200,,,,,,Rural Localities
GARHI KHAIRO,TALUKA,JACOBABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,OVERALL,56,228332,115765,112560,7,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,"5,000 AND ABOVE",11,107692,55057,52629,6,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,"2,000 -- 4,999",29,96293,48091,48202,,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,"1,000 -- 1,999",14,23430,12153,11276,1,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,500 -- 999,,,,,,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,200 -- 499,2,917,464,453,,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,LESS THAN 200,,,,,,Rural Localities
JACOBABAD,TALUKA,JACOBABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,OVERALL,92,410558,209081,201459,18,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,"5,000 AND ABOVE",26,216773,110583,106184,6,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,"2,000 -- 4,999",51,174367,88762,85599,6,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,"1,000 -- 1,999",10,15895,7971,7918,6,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,500 -- 999,4,3050,1537,1513,,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,200 -- 499,1,473,228,245,,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,LESS THAN 200,,,,,,Rural Localities
THUL,TALUKA,JACOBABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,OVERALL,171,595562,309656,285897,9,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,"5,000 AND ABOVE",42,376273,195495,180772,6,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,"2,000 -- 4,999",41,134761,69764,64995,2,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,"1,000 -- 1,999",42,64725,33990,30735,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,500 -- 999,13,10474,5505,4969,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,200 -- 499,22,7965,4163,3801,1,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,LESS THAN 200,11,1364,739,625,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,UN-INHABITED,,,,,,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,OVERALL,26,107585,56585,50999,1,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,"5,000 AND ABOVE",6,84646,44785,39860,1,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,"2,000 -- 4,999",3,10606,5387,5219,,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,"1,000 -- 1,999",5,7244,3706,3538,,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,500 -- 999,3,2594,1366,1228,,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,200 -- 499,6,2187,1175,1012,,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,LESS THAN 200,3,308,166,142,,Rural Localities
KOTRI,TALUKA,JAMSHORO,RURAL,UN-INHABITED,,,,,,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,OVERALL,47,140203,73515,66686,2,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,"5,000 AND ABOVE",9,79961,42163,37797,1,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,"2,000 -- 4,999",13,42122,21712,20410,,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,"1,000 -- 1,999",8,12388,6629,5759,,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,500 -- 999,2,1304,714,590,,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,200 -- 499,11,3854,1988,1865,1,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,LESS THAN 200,4,574,309,265,,Rural Localities
MANJHAND,TALUKA,JAMSHORO,RURAL,UN-INHABITED,,,,,,Rural Localities
SEHWAN,TALUKA,JAMSHORO,RURAL,OVERALL,70,203736,105027,98706,3,Rural Localities
SEHWAN,TALUKA,JAMSHORO,RURAL,"5,000 AND ABOVE",14,99990,51189,48800,1,Rural Localities
SEHWAN,TALUKA,JAMSHORO,RURAL,"2,000 -- 4,999",19,63851,33091,30758,2,Rural Localities
SEHWAN,TALUKA,JAMSHORO,RURAL,"1,000 -- 1,999",21,31884,16577,15307,,Rural Localities
