name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
HYDERABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,747,274,0,146,27,0,601,247,0
HYDERABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,17,10,0,2,2,0,15,8,0
HYDERABAD,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,983,29,0,164,5,0,819,24,0
HYDERABAD,DISTRICT,SON/DAUGHTER,DIVORCED,1478,590,0,117,43,0,1361,547,0
HYDERABAD,DISTRICT,SON/DAUGHTER,MARRIED,6458,55208,0,972,6529,0,5486,48679,0
HYDERABAD,DISTRICT,SON/DAUGHTER,NEVER MARRIED,150528,219251,21,19027,29548,4,131501,189703,17
HYDERABAD,DISTRICT,SON/DAUGHTER,SEPARATION,375,191,0,79,28,0,296,163,0
HYDERABAD,DISTRICT,SON/DAUGHTER,WIDOWED,1009,553,0,109,77,0,900,476,0
HYDERABAD,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,SPOUSE,MARRIED,381701,1546,,67663,196,,314038,1350,
HYDERABAD,DISTRICT,SPOUSE,NEVER MARRIED,0,1,,0,0,,0,1,
HYDERABAD,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
HYDERABAD,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
JACOBABAD,DISTRICT,BROTHER/SISTER,DIVORCED,86,17,0,55,8,0,31,9,0
JACOBABAD,DISTRICT,BROTHER/SISTER,MARRIED,494,3700,0,267,2244,0,227,1456,0
JACOBABAD,DISTRICT,BROTHER/SISTER,NEVER MARRIED,5507,7297,4,2542,3782,0,2965,3515,4
JACOBABAD,DISTRICT,BROTHER/SISTER,SEPARATION,34,20,0,24,10,0,10,10,0
JACOBABAD,DISTRICT,BROTHER/SISTER,WIDOWED,560,158,0,327,93,0,233,65,0
JACOBABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
JACOBABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,6514,694,,3732,466,,2782,228,
JACOBABAD,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
