name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
LOIBAND,KILLA SAIFULLAH,TEHSIL,RURAL,4921,,,,4046,688,69,15,103
LOIBAND,KILLA SAIFULLAH,TEHSIL,URBAN,,,,,,,,,
MUSLIM BAGH,KILLA SAIFULLAH,TEHSIL,OVERALL,12248,,,1,9880,1983,122,44,218
MUSLIM BAGH,KILLA SAIFULLAH,TEHSIL,RURAL,8340,,,,7037,1095,33,9,166
MUSLIM BAGH,KILLA SAIFULLAH,TEHSIL,URBAN,3908,,,1,2843,888,89,35,52
SHINKI,KILLA SAIFULLAH,SUB-TEHSIL,OVERALL,9064,,,,7974,936,49,11,94
SHINKI,KILLA SAIFULLAH,SUB-TEHSIL,RURAL,9064,,,,7974,936,49,11,94
SHINKI,KILLA SAIFULLAH,SUB-TEHSIL,URBAN,,,,,,,,,
KOHLU,KOHLU,DISTRICT,OVERALL,30545,9,1,11,20254,2428,637,6651,554
KOHLU,KOHLU,DISTRICT,RURAL,27884,9,1,11,18373,1964,596,6649,281
KOHLU,KOHLU,DISTRICT,URBAN,2661,,,,1881,464,41,2,273
GRISANI,KOHLU,SUB-TEHSIL,OVERALL,868,,,,550,168,128,7,15
GRISANI,KOHLU,SUB-TEHSIL,RURAL,868,,,,550,168,128,7,15
GRISANI,KOHLU,SUB-TEHSIL,URBAN,,,,,,,,,
KAHAN,KOHLU,SUB-DIVISION,OVERALL,9970,3,1,2,7287,110,80,2424,63
KAHAN,KOHLU,SUB-DIVISION,RURAL,9970,3,1,2,7287,110,80,2424,63
KAHAN,KOHLU,SUB-DIVISION,URBAN,,,,,,,,,
