name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
MIAN CHANNU,KHANEWAL,TEHSIL,URBAN,HOMELESS,175,162,13,,25,.08
MIAN CHANNU,KHANEWAL,TEHSIL,URBAN,TOTAL,175104,88929,86128,47,30074,100
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,REGULAR,1496339,764469,731829,41,248306,99.94
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,INSTITUTIONAL,3486,2862,617,7,82,.03
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,HOMELESS,1010,675,334,1,61,.02
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,TOTAL,1500835,768006,732780,49,248449,100
KHUSHAB,KHUSHAB,DISTRICT,RURAL,REGULAR,1080015,550746,529254,15,180585,99.95
KHUSHAB,KHUSHAB,DISTRICT,RURAL,INSTITUTIONAL,1313,1104,209,,40,.02
KHUSHAB,KHUSHAB,DISTRICT,RURAL,HOMELESS,796,525,270,1,45,.02
KHUSHAB,KHUSHAB,DISTRICT,RURAL,TOTAL,1082124,552375,529733,16,180670,100
KHUSHAB,KHUSHAB,DISTRICT,URBAN,REGULAR,416324,213723,202575,26,67721,99.91
KHUSHAB,KHUSHAB,DISTRICT,URBAN,INSTITUTIONAL,2173,1758,408,7,42,.06
KHUSHAB,KHUSHAB,DISTRICT,URBAN,HOMELESS,214,150,64,,16,.02
KHUSHAB,KHUSHAB,DISTRICT,URBAN,TOTAL,418711,215631,203047,33,67779,100
KHUSHAB,KHUSHAB,TEHSIL,OVERALL,REGULAR,813667,418790,394851,26,132389,99.93000000000001
KHUSHAB,KHUSHAB,TEHSIL,OVERALL,INSTITUTIONAL,2258,1864,387,7,46,.03
KHUSHAB,KHUSHAB,TEHSIL,OVERALL,HOMELESS,729,494,234,1,47,.04
KHUSHAB,KHUSHAB,TEHSIL,OVERALL,TOTAL,816654,421148,395472,34,132482,100
KHUSHAB,KHUSHAB,TEHSIL,RURAL,REGULAR,460252,237140,223107,5,74821,99.94
KHUSHAB,KHUSHAB,TEHSIL,RURAL,INSTITUTIONAL,325,308,17,,10,.01
KHUSHAB,KHUSHAB,TEHSIL,RURAL,HOMELESS,548,362,185,1,32,.04
KHUSHAB,KHUSHAB,TEHSIL,RURAL,TOTAL,461125,237810,223309,6,74863,100
KHUSHAB,KHUSHAB,TEHSIL,URBAN,REGULAR,353415,181650,171744,21,57568,99.91
KHUSHAB,KHUSHAB,TEHSIL,URBAN,INSTITUTIONAL,1933,1556,370,7,36,.06
KHUSHAB,KHUSHAB,TEHSIL,URBAN,HOMELESS,181,132,49,,15,.03
KHUSHAB,KHUSHAB,TEHSIL,URBAN,TOTAL,355529,183338,172163,28,57619,100
NOOR PUR,KHUSHAB,TEHSIL,OVERALL,REGULAR,264161,133604,130552,5,51109,99.97
NOOR PUR,KHUSHAB,TEHSIL,OVERALL,INSTITUTIONAL,373,261,112,,16,.03
NOOR PUR,KHUSHAB,TEHSIL,OVERALL,HOMELESS,1,,1,,1,0
NOOR PUR,KHUSHAB,TEHSIL,OVERALL,TOTAL,264535,133865,130665,5,51126,100
NOOR PUR,KHUSHAB,TEHSIL,RURAL,REGULAR,244080,123435,120640,5,47470,99.97
NOOR PUR,KHUSHAB,TEHSIL,RURAL,INSTITUTIONAL,354,242,112,,15,.03
NOOR PUR,KHUSHAB,TEHSIL,RURAL,HOMELESS,1,,1,,1,0
NOOR PUR,KHUSHAB,TEHSIL,RURAL,TOTAL,244435,123677,120753,5,47486,100
NOOR PUR,KHUSHAB,TEHSIL,URBAN,REGULAR,20081,10169,9912,,3639,99.97
NOOR PUR,KHUSHAB,TEHSIL,URBAN,INSTITUTIONAL,19,19,,,1,.03
NOOR PUR,KHUSHAB,TEHSIL,URBAN,HOMELESS,,,,,,0
NOOR PUR,KHUSHAB,TEHSIL,URBAN,TOTAL,20100,10188,9912,,3640,100
NOWSHERA,KHUSHAB,TEHSIL,OVERALL,REGULAR,144550,71435,73113,2,22280,99.95999999999999
NOWSHERA,KHUSHAB,TEHSIL,OVERALL,INSTITUTIONAL,189,157,32,,6,.03
NOWSHERA,KHUSHAB,TEHSIL,OVERALL,HOMELESS,58,32,26,,3,.01
NOWSHERA,KHUSHAB,TEHSIL,OVERALL,TOTAL,144797,71624,73171,2,22289,100
NOWSHERA,KHUSHAB,TEHSIL,RURAL,REGULAR,126006,62464,63541,1,19128,99.95999999999999
NOWSHERA,KHUSHAB,TEHSIL,RURAL,INSTITUTIONAL,189,157,32,,6,.03
NOWSHERA,KHUSHAB,TEHSIL,RURAL,HOMELESS,25,14,11,,2,.01
NOWSHERA,KHUSHAB,TEHSIL,RURAL,TOTAL,126220,62635,63584,1,19136,100
NOWSHERA,KHUSHAB,TEHSIL,URBAN,REGULAR,18544,8971,9572,1,3152,99.97
NOWSHERA,KHUSHAB,TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
NOWSHERA,KHUSHAB,TEHSIL,URBAN,HOMELESS,33,18,15,,1,.03
NOWSHERA,KHUSHAB,TEHSIL,URBAN,TOTAL,18577,8989,9587,1,3153,100
QUAIDABAD,KHUSHAB,TEHSIL,OVERALL,REGULAR,273961,140640,133313,8,42528,99.94
QUAIDABAD,KHUSHAB,TEHSIL,OVERALL,INSTITUTIONAL,666,580,86,,14,.03
QUAIDABAD,KHUSHAB,TEHSIL,OVERALL,HOMELESS,222,149,73,,10,.02
QUAIDABAD,KHUSHAB,TEHSIL,OVERALL,TOTAL,274849,141369,133472,8,42552,100
QUAIDABAD,KHUSHAB,TEHSIL,RURAL,REGULAR,249677,127707,121966,4,39166,99.95
QUAIDABAD,KHUSHAB,TEHSIL,RURAL,INSTITUTIONAL,445,397,48,,9,.02
QUAIDABAD,KHUSHAB,TEHSIL,RURAL,HOMELESS,222,149,73,,10,.03
QUAIDABAD,KHUSHAB,TEHSIL,RURAL,TOTAL,250344,128253,122087,4,39185,100
QUAIDABAD,KHUSHAB,TEHSIL,URBAN,REGULAR,24284,12933,11347,4,3362,99.84999999999999
QUAIDABAD,KHUSHAB,TEHSIL,URBAN,INSTITUTIONAL,221,183,38,,5,.15
QUAIDABAD,KHUSHAB,TEHSIL,URBAN,HOMELESS,,,,,,0
QUAIDABAD,KHUSHAB,TEHSIL,URBAN,TOTAL,24505,13116,11385,4,3367,100
LAHORE,LAHORE,DISTRICT,OVERALL,REGULAR,12917048,6822744,6091153,3151,2010253,99.89
LAHORE,LAHORE,DISTRICT,OVERALL,INSTITUTIONAL,48606,36055,12551,,1153,.06
LAHORE,LAHORE,DISTRICT,OVERALL,HOMELESS,13007,10775,2007,225,1120,.06
LAHORE,LAHORE,DISTRICT,OVERALL,TOTAL,12978661,6869574,6105711,3376,2012526,100
LAHORE,LAHORE,DISTRICT,RURAL,REGULAR,,,,,,0
LAHORE,LAHORE,DISTRICT,RURAL,INSTITUTIONAL,,,,,,0
LAHORE,LAHORE,DISTRICT,RURAL,HOMELESS,,,,,,0
LAHORE,LAHORE,DISTRICT,RURAL,TOTAL,,,,,,100
LAHORE,LAHORE,DISTRICT,URBAN,REGULAR,12917048,6822744,6091153,3151,2010253,99.89
LAHORE,LAHORE,DISTRICT,URBAN,INSTITUTIONAL,48606,36055,12551,,1153,.06
LAHORE,LAHORE,DISTRICT,URBAN,HOMELESS,13007,10775,2007,225,1120,.06
LAHORE,LAHORE,DISTRICT,URBAN,TOTAL,12978661,6869574,6105711,3376,2012526,100
LAHORE CANTT,LAHORE,TEHSIL,OVERALL,REGULAR,1855901,990022,865608,271,296528,99.94
LAHORE CANTT,LAHORE,TEHSIL,OVERALL,INSTITUTIONAL,2892,2454,438,,64,.02
LAHORE CANTT,LAHORE,TEHSIL,OVERALL,HOMELESS,1634,1351,268,15,118,.04
LAHORE CANTT,LAHORE,TEHSIL,OVERALL,TOTAL,1860427,993827,866314,286,296710,100
LAHORE CANTT,LAHORE,TEHSIL,RURAL,REGULAR,,,,,,0
LAHORE CANTT,LAHORE,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
LAHORE CANTT,LAHORE,TEHSIL,RURAL,HOMELESS,,,,,,0
LAHORE CANTT,LAHORE,TEHSIL,RURAL,TOTAL,,,,,,100
LAHORE CANTT,LAHORE,TEHSIL,URBAN,REGULAR,1855901,990022,865608,271,296528,99.94
LAHORE CANTT,LAHORE,TEHSIL,URBAN,INSTITUTIONAL,2892,2454,438,,64,.02
LAHORE CANTT,LAHORE,TEHSIL,URBAN,HOMELESS,1634,1351,268,15,118,.04
LAHORE CANTT,LAHORE,TEHSIL,URBAN,TOTAL,1860427,993827,866314,286,296710,100
LAHORE CITY,LAHORE,TEHSIL,OVERALL,REGULAR,4103774,2188588,1913400,1786,628604,99.84999999999999
LAHORE CITY,LAHORE,TEHSIL,OVERALL,INSTITUTIONAL,14346,10488,3858,,489,.08
LAHORE CITY,LAHORE,TEHSIL,OVERALL,HOMELESS,5234,4700,465,69,451,.07
LAHORE CITY,LAHORE,TEHSIL,OVERALL,TOTAL,4123354,2203776,1917723,1855,629544,100
LAHORE CITY,LAHORE,TEHSIL,RURAL,REGULAR,,,,,,0
LAHORE CITY,LAHORE,TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
LAHORE CITY,LAHORE,TEHSIL,RURAL,HOMELESS,,,,,,0
LAHORE CITY,LAHORE,TEHSIL,RURAL,TOTAL,,,,,,100
