name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
LIAQUATABAD,KARACHI CENTRAL,SUB-DIVISION,65 &  ABOVE,19380,10610,8769,1,,,,,19380,10610,8769,1
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,ALL AGES,572740,304391,268273,76,,,,,572740,304391,268273,76
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 1,10341,5298,5043,,,,,,10341,5298,5043,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 5,73724,39080,34644,,,,,,73724,39080,34644,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 10,137826,73198,64628,,,,,,137826,73198,64628,
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 15,202948,108819,94126,3,,,,,202948,108819,94126,3
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,05 - 24,232664,124781,107864,19,,,,,232664,124781,107864,19
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,15 - 49,288002,150685,137257,60,,,,,288002,150685,137257,60
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,15 - 64,347178,183249,163859,70,,,,,347178,183249,163859,70
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,18 - 60,299647,157223,142359,65,,,,,299647,157223,142359,65
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,18 &  ABOVE,333467,175786,157613,68,,,,,333467,175786,157613,68
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,60 &  ABOVE,37588,20712,16872,4,,,,,37588,20712,16872,4
NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,65 &  ABOVE,22614,12323,10288,3,,,,,22614,12323,10288,3
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,ALL AGES,1165742,611178,554387,177,,,,,1165742,611178,554387,177
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,UNDER 1,22595,11584,11011,,,,,,22595,11584,11011,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,UNDER 5,154935,79888,75047,,,,,,154935,79888,75047,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,UNDER 10,291810,150676,141134,,,,,,291810,150676,141134,
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,UNDER 15,425051,220486,204563,2,,,,,425051,220486,204563,2
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,05 - 24,483533,251455,232027,51,,,,,483533,251455,232027,51
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,15 - 49,601385,313415,287830,140,,,,,601385,313415,287830,140
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,15 - 64,703321,370235,332914,172,,,,,703321,370235,332914,172
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,18 - 60,612947,322025,290771,151,,,,,612947,322025,290771,151
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,18 &  ABOVE,668278,352246,315874,158,,,,,668278,352246,315874,158
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,60 &  ABOVE,62137,34144,27986,7,,,,,62137,34144,27986,7
NEW KARACHI,KARACHI CENTRAL,SUB-DIVISION,65 &  ABOVE,37370,20457,16910,3,,,,,37370,20457,16910,3
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,ALL AGES,920476,485300,435029,147,,,,,920476,485300,435029,147
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 1,15333,7954,7379,,,,,,15333,7954,7379,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 5,110395,57369,53026,,,,,,110395,57369,53026,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 10,206400,107974,98426,,,,,,206400,107974,98426,
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,UNDER 15,305713,162228,143481,4,,,,,305713,162228,143481,4
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,05 - 24,362297,193820,168442,35,,,,,362297,193820,168442,35
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,15 - 49,473590,246355,227111,124,,,,,473590,246355,227111,124
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,15 - 64,571584,299581,271863,140,,,,,571584,299581,271863,140
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,18 - 60,496010,258238,237648,124,,,,,496010,258238,237648,124
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,18 &  ABOVE,558473,292140,266205,128,,,,,558473,292140,266205,128
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,60 &  ABOVE,68855,37474,31377,4,,,,,68855,37474,31377,4
NORTH NAZIMABAD,KARACHI CENTRAL,SUB-DIVISION,65 &  ABOVE,43179,23491,19685,3,,,,,43179,23491,19685,3
KARACHI EAST,KARACHI EAST,DISTRICT,ALL AGES,3913656,2080839,1832391,426,,,,,3913656,2080839,1832391,426
KARACHI EAST,KARACHI EAST,DISTRICT,UNDER 1,63562,33492,30070,,,,,,63562,33492,30070,
KARACHI EAST,KARACHI EAST,DISTRICT,UNDER 5,495370,260646,234724,,,,,,495370,260646,234724,
KARACHI EAST,KARACHI EAST,DISTRICT,UNDER 10,933514,490148,443366,,,,,,933514,490148,443366,
KARACHI EAST,KARACHI EAST,DISTRICT,UNDER 15,1370325,724574,645735,16,,,,,1370325,724574,645735,16
KARACHI EAST,KARACHI EAST,DISTRICT,05 - 24,1610361,862459,747755,147,,,,,1610361,862459,747755,147
KARACHI EAST,KARACHI EAST,DISTRICT,15 - 49,2005044,1061336,943331,377,,,,,2005044,1061336,943331,377
KARACHI EAST,KARACHI EAST,DISTRICT,15 - 64,2380846,1266253,1114187,406,,,,,2380846,1266253,1114187,406
KARACHI EAST,KARACHI EAST,DISTRICT,18 - 60,2053667,1085282,968011,374,,,,,2053667,1085282,968011,374
KARACHI EAST,KARACHI EAST,DISTRICT,18 &  ABOVE,2289354,1215106,1073868,380,,,,,2289354,1215106,1073868,380
KARACHI EAST,KARACHI EAST,DISTRICT,60 &  ABOVE,260303,143842,116453,8,,,,,260303,143842,116453,8
KARACHI EAST,KARACHI EAST,DISTRICT,65 &  ABOVE,162485,90012,72469,4,,,,,162485,90012,72469,4
FEROZABAD,KARACHI EAST,SUB-DIVISION,ALL AGES,1165794,626963,538647,184,,,,,1165794,626963,538647,184
FEROZABAD,KARACHI EAST,SUB-DIVISION,UNDER 1,23559,12729,10830,,,,,,23559,12729,10830,
FEROZABAD,KARACHI EAST,SUB-DIVISION,UNDER 5,171144,90698,80446,,,,,,171144,90698,80446,
FEROZABAD,KARACHI EAST,SUB-DIVISION,UNDER 10,300201,158165,142036,,,,,,300201,158165,142036,
FEROZABAD,KARACHI EAST,SUB-DIVISION,UNDER 15,431320,228390,202922,8,,,,,431320,228390,202922,8
FEROZABAD,KARACHI EAST,SUB-DIVISION,05 - 24,478914,258379,220473,62,,,,,478914,258379,220473,62
FEROZABAD,KARACHI EAST,SUB-DIVISION,15 - 49,584887,315341,269388,158,,,,,584887,315341,269388,158
FEROZABAD,KARACHI EAST,SUB-DIVISION,15 - 64,689983,373669,316140,174,,,,,689983,373669,316140,174
FEROZABAD,KARACHI EAST,SUB-DIVISION,18 - 60,590375,317509,272712,154,,,,,590375,317509,272712,154
FEROZABAD,KARACHI EAST,SUB-DIVISION,18 &  ABOVE,654605,353390,301058,157,,,,,654605,353390,301058,157
FEROZABAD,KARACHI EAST,SUB-DIVISION,60 &  ABOVE,70969,39733,31232,4,,,,,70969,39733,31232,4
FEROZABAD,KARACHI EAST,SUB-DIVISION,65 &  ABOVE,44491,24904,19585,2,,,,,44491,24904,19585,2
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,ALL AGES,973314,505800,467387,127,,,,,973314,505800,467387,127
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,UNDER 1,12670,6554,6116,,,,,,12670,6554,6116,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,UNDER 5,101313,53176,48137,,,,,,101313,53176,48137,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,UNDER 10,196201,102240,93961,,,,,,196201,102240,93961,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,UNDER 15,295693,154802,140887,4,,,,,295693,154802,140887,4
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,05 - 24,372819,195613,177162,44,,,,,372819,195613,177162,44
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,15 - 49,511479,262829,248538,112,,,,,511479,262829,248538,112
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,15 - 64,623932,321944,301866,122,,,,,623932,321944,301866,122
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,18 - 60,541233,277903,263214,116,,,,,541233,277903,263214,116
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,18 &  ABOVE,618376,319291,298968,117,,,,,618376,319291,298968,117
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,60 &  ABOVE,84385,45418,38965,2,,,,,84385,45418,38965,2
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,65 &  ABOVE,53689,29054,24634,1,,,,,53689,29054,24634,1
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,ALL AGES,1118534,601404,517052,78,,,,,1118534,601404,517052,78
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,UNDER 1,17573,9199,8374,,,,,,17573,9199,8374,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,UNDER 5,146531,77159,69372,,,,,,146531,77159,69372,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,UNDER 10,292634,154853,137781,,,,,,292634,154853,137781,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,UNDER 15,426880,228163,198713,4,,,,,426880,228163,198713,4
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,05 - 24,494927,267818,227077,32,,,,,494927,267818,227077,32
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,15 - 49,570263,304518,265672,73,,,,,570263,304518,265672,73
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,15 - 64,659456,354421,304962,73,,,,,659456,354421,304962,73
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,18 - 60,573021,305876,267074,71,,,,,573021,305876,267074,71
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,18 &  ABOVE,621383,333799,287512,72,,,,,621383,333799,287512,72
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,60 &  ABOVE,54426,31478,22947,1,,,,,54426,31478,22947,1
