name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BAJAUR,DISTRICT,NEPHEW/NIECE,DIVORCED,0,0,0,0,0,0,0,0,0
BAJAUR,DISTRICT,NEPHEW/NIECE,MARRIED,146,812,0,146,812,0,0,0,0
BAJAUR,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,1352,1822,0,1352,1822,0,0,0,0
BAJAUR,DISTRICT,NEPHEW/NIECE,SEPARATION,0,0,0,0,0,0,0,0,0
BAJAUR,DISTRICT,NEPHEW/NIECE,WIDOWED,5,0,0,5,0,0,0,0,0
BAJAUR,DISTRICT,NON-RELATIVE,DIVORCED,0,0,0,0,0,0,0,0,0
BAJAUR,DISTRICT,NON-RELATIVE,MARRIED,76,71,0,76,71,0,0,0,0
BAJAUR,DISTRICT,NON-RELATIVE,NEVER MARRIED,26,186,0,26,186,0,0,0,0
BAJAUR,DISTRICT,NON-RELATIVE,SEPARATION,0,1,0,0,1,0,0,0,0
BAJAUR,DISTRICT,NON-RELATIVE,WIDOWED,14,8,0,14,8,0,0,0,0
BAJAUR,DISTRICT,OTHER RELATIVE,DIVORCED,12,0,0,12,0,0,0,0,0
BAJAUR,DISTRICT,OTHER RELATIVE,MARRIED,1820,650,0,1820,650,0,0,0,0
BAJAUR,DISTRICT,OTHER RELATIVE,NEVER MARRIED,406,317,1,406,317,1,0,0,0
BAJAUR,DISTRICT,OTHER RELATIVE,SEPARATION,8,0,0,8,0,0,0,0,0
BAJAUR,DISTRICT,OTHER RELATIVE,WIDOWED,279,22,0,279,22,0,0,0,0
BAJAUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,3,0,0,3,0,0,0,0,0
BAJAUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,10593,347,0,10593,347,0,0,0,0
BAJAUR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,464,80,0,464,80,0,0,0,0
