name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
CHAGAI,CHAGAI,TEHSIL,OVERALL,11064,9493,4803,6261,922,3734,4234,4,19,2151
CHAGAI,CHAGAI,TEHSIL,RURAL,11064,9493,4803,6261,922,3734,4234,4,19,2151
CHAGAI,CHAGAI,TEHSIL,URBAN,,,,,,,,,,
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,17642,15651,7827,9815,6547,1484,5997,4,264,3346
DALBANDIN,CHAGAI,SUB-DIVISION,RURAL,15069,13088,5336,9733,4075,1448,5997,4,228,3317
DALBANDIN,CHAGAI,SUB-DIVISION,URBAN,2573,2563,2491,82,2472,36,,,36,29
NOKUNDI,CHAGAI,TEHSIL,OVERALL,3141,2849,1655,1486,1104,179,1395,,1,462
NOKUNDI,CHAGAI,TEHSIL,RURAL,3141,2849,1655,1486,1104,179,1395,,1,462
NOKUNDI,CHAGAI,TEHSIL,URBAN,,,,,,,,,,
TAFTAN,CHAGAI,SUB-DIVISION,OVERALL,2694,2672,2066,628,1629,567,298,84,1,115
TAFTAN,CHAGAI,SUB-DIVISION,RURAL,2694,2672,2066,628,1629,567,298,84,1,115
TAFTAN,CHAGAI,SUB-DIVISION,URBAN,,,,,,,,,,
YAK MACHH,CHAGAI,SUB-TEHSIL,OVERALL,3672,3180,722,2950,495,297,2449,,1,430
YAK MACHH,CHAGAI,SUB-TEHSIL,RURAL,3672,3180,722,2950,495,297,2449,,1,430
YAK MACHH,CHAGAI,SUB-TEHSIL,URBAN,,,,,,,,,,
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,47049,34045,27870,29634,4164,6955,18,103,21041
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,29805,21788,21022,18266,2892,5476,12,65,16099
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,17244,12257,6848,11368,1272,1479,6,38,4942
CHAMAN CITY,CHAMAN,SUB-DIVISION,OVERALL,19105,17244,12257,6848,11368,1272,1479,6,38,4942
CHAMAN CITY,CHAMAN,SUB-DIVISION,RURAL,,,,,,,,,,
CHAMAN CITY,CHAMAN,SUB-DIVISION,URBAN,19105,17244,12257,6848,11368,1272,1479,6,38,4942
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,OVERALL,42810,29805,21788,21022,18266,2892,5476,12,65,16099
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,RURAL,42810,29805,21788,21022,18266,2892,5476,12,65,16099
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,URBAN,,,,,,,,,,
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,33049,16557,45710,15787,7499,11151,5,130,27695
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,14609,4245,38194,3064,5007,11038,4,83,23243
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,18440,12312,7516,12723,2492,113,1,47,4452
BAIKER,DERA BUGTI,SUB-TEHSIL,OVERALL,4831,2241,214,4617,301,1190,1354,1,4,1981
BAIKER,DERA BUGTI,SUB-TEHSIL,RURAL,4831,2241,214,4617,301,1190,1354,1,4,1981
BAIKER,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
DERA BUGTI,DERA BUGTI,SUB-DIVISION,OVERALL,9607,6263,4507,5100,4817,1222,289,,9,3270
DERA BUGTI,DERA BUGTI,SUB-DIVISION,RURAL,4178,1417,561,3617,628,575,283,,7,2685
DERA BUGTI,DERA BUGTI,SUB-DIVISION,URBAN,5429,4846,3946,1483,4189,647,6,,2,585
LOTI,DERA BUGTI,SUB-TEHSIL,OVERALL,4565,498,530,4035,227,39,2583,,17,1699
LOTI,DERA BUGTI,SUB-TEHSIL,RURAL,4565,498,530,4035,227,39,2583,,17,1699
LOTI,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
MALAM,DERA BUGTI,SUB-TEHSIL,OVERALL,4435,819,311,4124,111,47,1550,2,7,2718
MALAM,DERA BUGTI,SUB-TEHSIL,RURAL,4435,819,311,4124,111,47,1550,2,7,2718
MALAM,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
PIR KOH,DERA BUGTI,SUB-TEHSIL,OVERALL,8519,2298,1096,7423,301,580,571,,10,7057
PIR KOH,DERA BUGTI,SUB-TEHSIL,RURAL,8519,2298,1096,7423,301,580,571,,10,7057
PIR KOH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
QADIRABAD,DERA BUGTI,SUB-DIVISION,OVERALL,3848,1932,823,3025,468,453,1037,,1,1889
QADIRABAD,DERA BUGTI,SUB-DIVISION,RURAL,3848,1932,823,3025,468,453,1037,,1,1889
QADIRABAD,DERA BUGTI,SUB-DIVISION,URBAN,,,,,,,,,,
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,OVERALL,2494,781,28,2466,2,20,90,,17,2365
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,RURAL,2494,781,28,2466,2,20,90,,17,2365
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,,,,
SUI,DERA BUGTI,SUB-DIVISION,OVERALL,23968,18217,9048,14920,9560,3948,3677,2,65,6716
SUI,DERA BUGTI,SUB-DIVISION,RURAL,9569,4623,682,8887,1026,2103,3570,1,20,2849
SUI,DERA BUGTI,SUB-DIVISION,URBAN,14399,13594,8366,6033,8534,1845,107,1,45,3867
DUKI,DUKI,DISTRICT,OVERALL,43059,35091,25780,17279,19222,10392,6044,6,142,7253
DUKI,DUKI,DISTRICT,RURAL,40066,32183,23761,16305,17205,9536,5957,6,142,7220
DUKI,DUKI,DISTRICT,URBAN,2993,2908,2019,974,2017,856,87,,,33
DUKI,DUKI,SUB-DIVISION,OVERALL,26606,22111,15887,10719,10893,7248,2736,3,113,5613
DUKI,DUKI,SUB-DIVISION,RURAL,23613,19203,13868,9745,8876,6392,2649,3,113,5580
DUKI,DUKI,SUB-DIVISION,URBAN,2993,2908,2019,974,2017,856,87,,,33
